非晶态装甲云	Nimboarmadura amorfa
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>盖瑞位于“爱心区域”以外时，移动速度降低<s val="Coop_Prestige_Tooltip"><d ref="$UpgradeEffectArrayValue:CommanderPrestigeStetmannGary:Unit,,GaryStetmann,Speed$/Unit,GaryStetmann,Speed*100" player="0"/></s>%。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> La velocidad de movimiento de Gary se reduce un <s val="Coop_Prestige_Tooltip"><d ref="$UpgradeEffectArrayValue:CommanderPrestigeStetmannGary:Unit,,GaryStetmann,Speed$/Unit,GaryStetmann,Speed*100" player="0"/></s>% fuera de las Stetzonas.
对空飞行单位。可以使用集束咆哮弹和泰伦超洁降解液。<n/><n/><c val="#ColorAttackInfo">可以对空。</c>	Unidad voladora antiaérea. Puede usar Destructores superiores y Solvente Terralimp.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades aéreas.</c>
使<c val="ffff8a">机械腐化者</c>的集束咆哮弹的搜索范围扩大<d ref="$UpgradeEffectArrayValue:CorruptorStetmannBiggerAoE:Effect,HurricaneMissileDamageStetmann,AreaArray[0].Radius$/Effect,HurricaneMissileDamageStetmann,AreaArray[0].Radius*100"/>%。	Aumenta el radio de búsqueda de los Destructores superiores del <c val="ffff8a">Mecacorruptor</c> un <d ref="$UpgradeEffectArrayValue:CorruptorStetmannBiggerAoE:Effect,HurricaneMissileDamageStetmann,AreaArray[0].Radius$/Effect,HurricaneMissileDamageStetmann,AreaArray[0].Radius*100"/>%.
发射一次飞弹乱射，对目标区域内的敌方空中单位造成<d ref="Effect,HurricaneMissileDamageStetmann,Amount * Effect,HurricaneMissileDamagePersistentStetmann,PeriodCount"/> (+<d ref="Effect,HurricaneMissileDamageStetmann,AttributeBonus[0] * Effect,HurricaneMissileDamagePersistentStetmann,PeriodCount"/> 对轻甲)点伤害。	Lanza una andanada de misiles que inflige <d ref="Effect,HurricaneMissileDamageStetmann,Amount * Effect,HurricaneMissileDamagePersistentStetmann,PeriodCount"/> de daño a las unidades aéreas enemigas que están en el área objetivo (+<d ref="Effect,HurricaneMissileDamageStetmann,AttributeBonus[0] * Effect,HurricaneMissileDamagePersistentStetmann,PeriodCount"/> contra unidades ligeras).
机械尖塔使你可以变形机械腐化者。	La Mecaespira permite crear Mecacorruptores.
<c val="ffff8a">艾星</c>、<c val="ffff8a">盖瑞</c>或<c val="ffff8a">超级盖瑞</c>每搜集<d ref="-1/Effect,CorruptorStetmannDeathRespawnAddCharge,Cost.Charge.CountUse"/>份<c val="ffff8a">机械腐化者残骸</c>，一只<c val="ffff8a">机械腐化者</c>就会无消耗重生在此处。<n/>	Por cada <d ref="-1/Effect,CorruptorStetmannDeathRespawnAddCharge,Cost.Charge.CountUse"/> <c val="ffff8a">resto de Mecacorruptor</c> que recojan los <c val="ffff8a">Stetélites</c>, <c val="ffff8a">Gary</c> y <c val="ffff8a">Súper Gary</c>, se reengendrará un <c val="ffff8a">Mecacorruptor</c> aquí sin costo alguno.<n/>
如果该单位在激活的艾星、盖瑞或超级盖瑞附近被摧毁时，它将掉落1份<c val="ffff8a">机械腐化者残骸</c>。	Cuando se destruye cerca de un Stetélite activo, de Gary, o de Súper Gary, esta unidad desprende 1 <c val="ffff8a">resto de Mecacorruptor</c>.
基础工作单位。用于采集晶体矿和高能瓦斯。可以变形为建筑。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Unidad trabajadora básica. Recolecta minerales y gas vespeno. Puede mutar en estructuras.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres.</c>
这些虫茧为包裹在其中进行变形的机械异虫单位提供保护。	Las unidades mecazerg se transforman dentro del resguardo de estos capullos.
为机械异虫地面单位提供升级方案。	Contiene mejoras para las unidades terrestres mecazerg.
使机械爆虫在原地自爆，对附近的敌方单位和建筑造成伤害。	El Mecauetzi explota en su lugar e inflige daño a las unidades y estructuras enemigas cercanas.
使一名友方单位的攻击速度提高<d ref="(Behavior,FASTOverloadStetmann,Modification.AttackSpeedMultiplier-1)*100"/>%。效果持续<d ref="Behavior,FASTOverloadStetmann,Duration"/>秒。	Aumenta la velocidad de ataque de una unidad aliada un <d ref="(Behavior,FASTOverloadStetmann,Modification.AttackSpeedMultiplier-1)*100"/>%. El efecto dura <d ref="Behavior,FASTOverloadStetmann,Duration"/> segundos.
斯台特曼最好的朋友！可以使用E-Gorb、艾星超载、半稳定物质传送和超级盖瑞变形程序。<n/><n/><c val="#ColorAttackInfo">可以对空和对地。</c>	¡El mejor amigo de Stetmann! Puede usar E-Gorbe, Sobrecarga Stetelital, Transporte masivo semiestable y Secuencia de transformación de Súper Gary.<n/><n/><c val="#ColorAttackInfo">Ataca unidades terrestres y aéreas.</c>
斯台特曼的机械异虫被摧毁时会在该单位旁边掉落机械残骸。收集机械残骸后可以在相应的科技建筑处重构被摧毁的机械异虫单位。	Cuando uno de los mecazerg de Stetmann es destruido y desprende sus mecarrestos cerca de esta unidad, esta los recoge y permite que se reconstruyan en la edificación de tecnología correspondiente.
释放一颗移动电球，每秒对沿途的敌人造成<d ref="Effect,GaryStetmannOrbDamage,Amount/Behavior,GaryStetmannOrb,Period"/>点伤害。如果盖瑞处于“爱心区域”内，他则会释放三颗电球。	Libera un orbe eléctrico que inflige <d ref="Effect,GaryStetmannOrbDamage,Amount/Behavior,GaryStetmannOrb,Period"/> de daño por segundo a todos los enemigos en su camino. Si Gary se encuentra en una Stetzona, libera tres orbes en lugar de uno.
将盖瑞和附近所有你控制的单位传送至目标艾星所在位置。	Teletransporta a Gary y a todas las unidades cercanas que controlas hacia la ubicación de un Stetélite objetivo.
盖瑞可以自行产生能量，并且不会受“爱心区域”被动加成效果的影响。他每秒恢复<d ref="Unit,GaryStetmann,LifeRegenRate"/>点生命。	Gary genera su propia energía y no se ve afectado por las bonificaciones pasivas de una Stetzona. Regenera <d ref="Unit,GaryStetmann,LifeRegenRate"/> de vida por segundo.
当超级盖瑞吸收一份机械残骸时，他会获得<d ref="Behavior,SuperGaryStetmannTheBestOilAttribute,Modification.AdditiveAttackSpeedFactor*100"/>%攻击速度加成以及额外<d ref="Behavior,SuperGaryStetmannTheBestOilAttribute,Modification.VitalRegenArray[Life]"/>点每秒的生命恢复，持续<d ref="Behavior,SuperGaryStetmannTheBestOil,Duration"/>秒。	Cuando Súper Gary absorbe un mecarresto, obtiene un <d ref="Behavior,SuperGaryStetmannTheBestOilAttribute,Modification.AdditiveAttackSpeedFactor*100"/>% de velocidad de ataque y regenera <d ref="Behavior,SuperGaryStetmannTheBestOilAttribute,Modification.VitalRegenArray[Life]"/> más de vida por segundo durante <d ref="Behavior,SuperGaryStetmannTheBestOil,Duration"/> segundos.
盖瑞会在这个房间中“复活”。	Gary "revivirá" dentro de esta sala.
为机械异虫空中单位提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使机械腐化者可以变形成机械巢式战列空母	Contiene mejoras para las unidades aéreas mecazerg.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Transformación de Mecacorruptores en Amos Mecaportanaves
给一名单位施加护盾，可以吸收最多<d ref="Behavior,HUGSOverloadStetmann,DamageResponse.ModifyLimit"/>点伤害。效果持续<d ref="Behavior,HUGSOverloadStetmann,Duration"/>秒。	Rodea a la unidad con un escudo que puede absorber hasta <d ref="Behavior,HUGSOverloadStetmann,DamageResponse.ModifyLimit"/> de daño. El efecto dura <d ref="Behavior,HUGSOverloadStetmann,Duration"/> segundos.
基础建筑，能够孵化所有机械异虫单位并接收采集到的资源。可以生成“爱心区域”。可以进化为机械虫穴。	Estructura primaria. Se usa para engendrar todas las unidades mecazerg y para recibir recursos recolectados. Genera una Stetzona. Puede mutar en una Mecaguarida.
可以变形成机械潜伏者巢穴。</n></n><c val="ffff8a">开启：</c><n/>- 使机械幼虫可以变形成机械刺蛇	Puede mutar en un Mecacubil de Acechadores.</n></n><c val="ffff8a">Habilita:</c><n/>- Transformación de Mecalarvas en Mecahidraliscos
切换成威力稍弱的飞弹武器，以节省艾能。	Cambia a un armamento de misiles menos poderoso para conservar egonergía.
使该单位的对空伤害加倍。每次攻击消耗10点艾能。	Duplica el daño antiaéreo de esta unidad. Consume 10 de egonergía por cada ataque.
移动速度提高<d ref="$UpgradeEffectArrayValue:HydraliskStetmannMovementSpeed:Unit,HydraliskStetmann,Speed$/Unit,HydraliskStetmann,Speed*100" player = "0"/>%。	Aumenta la velocidad de movimiento un <d ref="$UpgradeEffectArrayValue:HydraliskStetmannMovementSpeed:Unit,HydraliskStetmann,Speed$/Unit,HydraliskStetmann,Speed*100" player = "0"/>%.
机械刺蛇巢使你可以变形机械刺蛇。	El Mecacubil de Hidraliscos te permite crear Mecahidraliscos.
对空武器射程增加<d ref="$UpgradeEffectArrayValue:HydraliskStetmannRange:Weapon,HydraliskHellfireMissilesStetmann,Range$"/>。	Aumenta el alcance de las armas antiaéreas en <d ref="$UpgradeEffectArrayValue:HydraliskStetmannRange:Weapon,HydraliskHellfireMissilesStetmann,Range$"/>.
<c val="ffff8a">艾星</c>、<c val="ffff8a">盖瑞</c>或<c val="ffff8a">超级盖瑞</c>每搜集<d ref="-1/Effect,HydraliskStetmannDeathRespawnAddCharge,Cost.Charge.CountUse"/>份<c val="ffff8a">机械刺蛇残骸</c>，一只<c val="ffff8a">机械刺蛇</c>就会无消耗重生在此处。<n/>	Por cada <d ref="-1/Effect,HydraliskStetmannDeathRespawnAddCharge,Cost.Charge.CountUse"/> <c val="ffff8a">resto de Mecahidralisco</c> que recojan los <c val="ffff8a">Stetélites</c>, <c val="ffff8a">Gary</c> y <c val="ffff8a">Súper Gary</c>, se reengendrará un <c val="ffff8a">Mecahidralisco</c> aquí sin costo alguno.<n/>
如果该单位在激活的艾星、盖瑞或超级盖瑞附近被摧毁时，它将掉落1份<c val="ffff8a">机械刺蛇残骸</c>。	Cuando se destruye cerca de un Stetélite activo, de Gary, o de Súper Gary, esta unidad desprende 1 <c val="ffff8a">resto de Mecahidralisco</c>.
<c val="ffff8a">开启：</c><n/>- 使机械幼虫可以变形为机械感染者	<c val="ffff8a">Habilita:</c><n/>- Transformación de Mecalarvas en Mecainfestadores
被感染的人类能够造成中等水平的伤害。<n/><n/><c val="FFFF8A">可以对地</c>	Los Terran infestados provocan un daño moderado.<n/><n/><c val="FFFF8A">Atacan a unidades terrestres.</c>
善于感染的虫类。可以使用“蟑螂出击！”、解构型蟑螂机器人以及UMI-C充能协议技能。	Especialista en infestación. Puede usar las habilidades ¡Adelante, cucarachas!, Nanocucarachas deconstructivas y Protocolo de carga UMI-C.
允许<c val="ffff8a">机械感染者</c>的“蟑螂出击！”和解构型蟑螂机器人可以额外孵化一只<c val="ffff8a">机械破坏者</c>。	Permite que las habilidades ¡Adelante, cucarachas! y Nanocucarachas deconstructivas del <c val="ffff8a">Mecainfestador</c> engendren un <c val="ffff8a">Mecadevastador</c> adicional.
产生<d ref="Effect,InfestorStetmannEggLaunch,PeriodCount" player = "0"/>只机械蟑螂。生成的单位只能持续存在<d ref="Behavior,InfestorStetmannTimedLife,Duration"/>秒。	Engendra <d ref="Effect,InfestorStetmannEggLaunch,PeriodCount" player = "0"/> Mecacucarachas. Las unidades engendradas duran <d ref="Behavior,InfestorStetmannTimedLife,Duration"/> segundos.
<n/><n/><c val="FFFF8A">“赠品”破坏者!:</c>还会产生一只机械破坏者。	<n/><n/><c val="FFFF8A">¡Devastador BONIFICADO!:</c> También engendra un Mecadevastador.
机械感染者朝一名友方单位伸出一根机械神经束，立即为其恢复<d ref="Effect,InfestorStetmannHealingTentacleHeal,VitalArray[Life].Change"/>点生命、<d ref="Effect,InfestorStetmannHealingTentacleHeal,VitalArray[Energy].Change"/>点艾能和<d ref="Effect,InfestorStetmannHealingTentacleHeal,VitalArray[Energy].Change"/>点能量，并在<d ref="Behavior,InfestorStetmannHealingTentacle,Duration"/>秒内额外恢复<d ref="Behavior,InfestorStetmannHealingTentacle,Modification.VitalRegenArray[Life]*(Behavior,InfestorStetmannHealingTentacle,Duration-0.0625)"/>点生命、<d ref="Behavior,InfestorStetmannHealingTentacle,Modification.VitalRegenArray[Energy]*(Behavior,InfestorStetmannHealingTentacle,Duration-0.0625)"/>点艾能和<d ref="Behavior,InfestorStetmannHealingTentacle,Modification.VitalRegenArray[Energy]*(Behavior,InfestorStetmannHealingTentacle,Duration-0.0625)"/>点能量。该单位的技能冷却速度提高<d ref="(Behavior,InfestorStetmannHealingTentacle,Modification.RateMultiplierArray[Cooldown]-1)*100"/>%	El Mecainfestador lanza un cordón neural mecánico a una unidad aliada para restaurarle <d ref="Effect,InfestorStetmannHealingTentacleHeal,VitalArray[Life].Change"/> de vida, <d ref="Effect,InfestorStetmannHealingTentacleHeal,VitalArray[Energy].Change"/> de egonergía y <d ref="Effect,InfestorStetmannHealingTentacleHeal,VitalArray[Energy].Change"/> de energía al instante. Además regenera <d ref="Behavior,InfestorStetmannHealingTentacle,Modification.VitalRegenArray[Life]*(Behavior,InfestorStetmannHealingTentacle,Duration-0.0625)"/> de vida, <d ref="Behavior,InfestorStetmannHealingTentacle,Modification.VitalRegenArray[Energy]*(Behavior,InfestorStetmannHealingTentacle,Duration-0.0625)"/> de egonergía y <d ref="Behavior,InfestorStetmannHealingTentacle,Modification.VitalRegenArray[Energy]*(Behavior,InfestorStetmannHealingTentacle,Duration-0.0625)"/> de energía durante <d ref="Behavior,InfestorStetmannHealingTentacle,Duration"/> segundos. La tasa de recuperación de las habilidades de esta unidad aumenta un <d ref="(Behavior,InfestorStetmannHealingTentacle,Modification.RateMultiplierArray[Cooldown]-1)*100"/>%
感染目标敌方建筑，在<d ref="Behavior,InfestorStetmannInfestBuilding,Duration"/>秒内造成<d ref="Effect,InfestorStetmannInfestBuildingDamage,Amount*Behavior,InfestorStetmannInfestBuilding,Duration/Behavior,InfestorStetmannInfestBuilding,Period"/>点伤害并使其在效果持续时间内处于瘫痪状态。如果该建筑在受到“解构型蟑螂机器人”效果影响时被摧毁，它还会孵化出<d ref="Effect,InfestorStetmannInfestBuildingEggs,PeriodCount" player = "0"/>只机械蟑螂。	Infesta una estructura enemiga objetivo, le inflige <d ref="Effect,InfestorStetmannInfestBuildingDamage,Amount*Behavior,InfestorStetmannInfestBuilding,Duration/Behavior,InfestorStetmannInfestBuilding,Period"/> de daño durante <d ref="Behavior,InfestorStetmannInfestBuilding,Duration"/> segundos y la desactiva durante el transcurso del efecto. Si la estructura es destruida mientras está bajo el efecto de Nanocucarachas deconstructivas, engendrará <d ref="Effect,InfestorStetmannInfestBuildingEggs,PeriodCount" player = "0"/> Mecacucarachas.
机械感染深渊使你可以变形机械感染者。	El Mecafoso de infestación te permite crear Mecainfestadores.
使<c val="ffff8a">机械感染者</c>朝一名友方单位伸出一根机械神经束，立即为其恢复<d ref="Effect,InfestorStetmannHealingTentacleHeal,VitalArray[Life].Change"/>点生命、<d ref="Effect,InfestorStetmannHealingTentacleHeal,VitalArray[Energy].Change"/>点艾能和<d ref="Effect,InfestorStetmannHealingTentacleHeal,VitalArray[Energy].Change"/>点能量，并在<d ref="Behavior,InfestorStetmannHealingTentacle,Duration"/>秒内额外恢复<d ref="Behavior,InfestorStetmannHealingTentacle,Modification.VitalRegenArray[Life]*(Behavior,InfestorStetmannHealingTentacle,Duration-0.0625)"/>点生命、<d ref="Behavior,InfestorStetmannHealingTentacle,Modification.VitalRegenArray[Energy]*(Behavior,InfestorStetmannHealingTentacle,Duration-0.0625)"/>点艾能和<d ref="Behavior,InfestorStetmannHealingTentacle,Modification.VitalRegenArray[Energy]*(Behavior,InfestorStetmannHealingTentacle,Duration-0.0625)"/>点能量。该单位的技能冷却速度提高<d ref="(Behavior,InfestorStetmannHealingTentacle,Modification.RateMultiplierArray[Cooldown]-1)*100"/>%	Permite que el <c val="ffff8a">Mecainfestador</c> lance un cordón neural mecánico a una unidad aliada para restaurarle <d ref="Effect,InfestorStetmannHealingTentacleHeal,VitalArray[Life].Change"/> de vida, <d ref="Effect,InfestorStetmannHealingTentacleHeal,VitalArray[Energy].Change"/> de egonergía y <d ref="Effect,InfestorStetmannHealingTentacleHeal,VitalArray[Energy].Change"/> de energía al instante. Además regenera <d ref="Behavior,InfestorStetmannHealingTentacle,Modification.VitalRegenArray[Life]*(Behavior,InfestorStetmannHealingTentacle,Duration-0.0625)"/> de vida, <d ref="Behavior,InfestorStetmannHealingTentacle,Modification.VitalRegenArray[Energy]*(Behavior,InfestorStetmannHealingTentacle,Duration-0.0625)"/> de egonergía y <d ref="Behavior,InfestorStetmannHealingTentacle,Modification.VitalRegenArray[Energy]*(Behavior,InfestorStetmannHealingTentacle,Duration-0.0625)"/> más de energía durante <d ref="Behavior,InfestorStetmannHealingTentacle,Duration"/> segundos. La tasa de recuperación de las habilidades de esta unidad aumenta un <d ref="(Behavior,InfestorStetmannHealingTentacle,Modification.RateMultiplierArray[Cooldown]-1)*100"/>%
<c val="ffff8a">艾星</c>、<c val="ffff8a">盖瑞</c>或<c val="ffff8a">超级盖瑞</c>每搜集<d ref="-1/Effect,InfestorStetmannDeathRespawnAddCharge,Cost.Charge.CountUse"/>份<c val="ffff8a">机械感染者残骸</c>，一只<c val="ffff8a">机械感染者</c>就会无消耗重生在此处。<n/>	Por cada <d ref="-1/Effect,InfestorStetmannDeathRespawnAddCharge,Cost.Charge.CountUse"/> <c val="ffff8a">resto de Mecainfestador</c> que recojan los <c val="ffff8a">Stetélites</c>, <c val="ffff8a">Gary</c> y <c val="ffff8a">Súper Gary</c>, se reengendrará un <c val="ffff8a">Mecainfestador</c> aquí sin costo alguno.<n/>
如果该单位在激活的艾星、盖瑞或超级盖瑞附近被摧毁时，它将掉落1份<c val="ffff8a">机械感染者残骸</c>。	Cuando se destruye cerca de un Stetélite activo, de Gary, o de Súper Gary, esta unidad desprende 1 <c val="ffff8a">resto de Mecainfestador</c>.
能够自动攻击机械巢式战列空母目标的战斗无人机。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Drones de combate que atacan automáticamente al objetivo de su Amo Mecaportanaves.<n/><n/><c val="#ColorAttackInfo">Atacan a unidades terrestres.</c>
在<d ref="Behavior,JUICEOverloadStetmann,Duration"/>秒内恢复友方单位<d ref="Behavior,JUICEOverloadStetmann,Modification.VitalRegenArray[Energy]*Behavior,JUICEOverloadStetmann,Duration"/>点艾能和能量。	Restaura <d ref="Behavior,JUICEOverloadStetmann,Modification.VitalRegenArray[Energy]*Behavior,JUICEOverloadStetmann,Duration"/> de egonergía y energía a una unidad aliada durante <d ref="Behavior,JUICEOverloadStetmann,Duration"/> segundos.
变形成机械异虫单位。	Se transforma en unidades mecazerg.
<c val="ffff8a">开启：</c><n/>- 使机械刺蛇可以变形成机械潜伏者	<c val="ffff8a">Habilita:</c><n/>- Transformación de Mecahidraliscos en Mecacechadores
反地面伏击单位。拥有脊刺攻击能力，可对火力线上的所有敌方单位造成伤害。<n/><n/><c val="ffff8a">可以对地。<n/>必须潜地后才能发动攻击。</c>	Emboscador antiterrestre. Su ataque de espinas daña a todas las unidades enemigas que encuentra en su línea de fuego.<n/><n/><c val="ffff8a">Ataca a unidades terrestres.<n/>Se debe enterrar para atacar.</c>
反地面伏击单位。拥有脊刺攻击能力，可对火力线上的所有敌方单位造成伤害。可以使用恐怖钻击算法和集火强击算法。<n/><n/><c val="ffff8a">可以对地。<n/>必须潜地后才能发动攻击。</c>	Emboscador antiterrestre. Su ataque de espinas daña a todas las unidades enemigas que encuentra en su línea de fuego. Puede usar Algoritmo de túnel del TERROR y Algoritmo de golpe focalizado.<n/><n/><c val="ffff8a">Ataca a unidades terrestres.<n/>Debe enterrarse para atacar.</c>
机械潜伏者将火力集中于目标单位，对该单位周围的一小块区域造成<d ref="Effect,LurkerStetmannChannelingSpinesDamage,Amount"/>点伤害，持续<d ref="Effect,LurkerStetmannChannelingSpinesCP,PeriodCount*Effect,LurkerStetmannChannelingSpinesCP,PeriodicPeriodArray[0]"/>秒或者直到该单位被摧毁。	El Mecacechador concentra su ataque en una unidad objetivo, lo que inflige <d ref="Effect,LurkerStetmannChannelingSpinesDamage,Amount"/> de daño en un área pequeña alrededor de esa unidad durante <d ref="Effect,LurkerStetmannChannelingSpinesCP,PeriodCount*Effect,LurkerStetmannChannelingSpinesCP,PeriodicPeriodArray[0]"/> segundos o hasta que la unidad se destruye.
茧中包裹的机械刺蛇正在变形为一台机械潜伏者。	Este capullo contiene un Mecahidralisco que se está transformando en un Mecacechador.
机械潜伏者巢穴使你可以将机械刺蛇变形成机械潜伏者。	El Mecacubil de Acechadores te permite transformar Mecahidraliscos en Mecacechadores.
如果该单位在激活的艾星、盖瑞或超级盖瑞附近被摧毁时，它将掉落2份<c val="ffff8a">机械刺蛇残骸</c>。	Cuando se destruye cerca de un Stetélite activo, de Gary, o de Súper Gary, esta unidad desprende 2 <c val="ffff8a">restos de Mecahidralisco</c>.
钻地前往附近一处目标位置，对沿途的敌人造成<d ref="Effect,LurkerStetmannTunnelingBurstDamage,Amount"/>点伤害。	Crea un túnel hasta una ubicación objetivo cercana e inflige <d ref="Effect,LurkerStetmannTunnelingBurstDamage,Amount"/> de daño a los enemigos en el camino.
<n/><n/><c val="FFFF8A">精通：</c>生成速度提高<c val="FFFF8A"><d ref="Effect,MasteryKerriganLarvaRateDisplayDummy,Amount"/></c>%。	<n/><n/><c val="FFFF8A">Maestría:</c> Aumenta la velocidad de generación un <c val="FFFF8A"><d ref="Effect,MasteryKerriganLarvaRateDisplayDummy,Amount"/></c>%.
<n/><n/><c val="FFFF8A">精通：</c>冷却时间缩短<c val="FFFF8A"><d ref="Effect,MasteryStetmannDeployStetelliteCooldownDisplayDummy,Amount" player="current" precision="1"/></c>秒。	<n/><n/><c val="FFFF8A">Maestría:</c> Reduce <c val="FFFF8A"><d ref="Effect,MasteryStetmannDeployStetelliteCooldownDisplayDummy,Amount" player="current" precision="1"/></c> segundos el tiempo de recuperación.
<n/><n/><c val="FFFF8A">精通：</c>冷却时间缩短<c val="FFFF8A"><d ref="Effect,MasteryStetmannGaryAbilityCooldownDisplayDummy,Amount" player = "current"/></c>%。	<n/><n/><c val="FFFF8A">Maestría:</c> Reduce un <c val="FFFF8A"><d ref="Effect,MasteryStetmannGaryAbilityCooldownDisplayDummy,Amount" player = "current"/></c>% el tiempo de recuperación.
<n/><n/><c val="FFFF8A">精通：</c>机械单位的艾能池上限增加<c val="FFFF8A"><d ref="Effect,MasteryStetmannMaximumEgonergyPoolDisplayDummy,Amount"/></c>%。	<n/><n/><c val="FFFF8A">Maestría:</c> Aumenta un <c val="FFFF8A"><d ref="Effect,MasteryStetmannMaximumEgonergyPoolDisplayDummy,Amount"/></c>% el máximo de reservas de egonergía de las mecaunidades.
<n/><n/><c val="FFFF8A">精通：</c>“爱心区域”加成效果提高<c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesDisplayDummy,Amount" player = "current"/></c>%。	<n/><n/><c val="FFFF8A">Maestría:</c> Aumenta un <c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesDisplayDummy,Amount" player = "current"/></c>% las bonificaciones.
<n/><n/><c val="FFFF8A">精通：</c>艾能恢复速度加成提高<c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationSelfDisplayDummy,Amount" player = "current" precision = "2"/></c>点每秒 (<c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationAllyDisplayDummy,Amount" player = "current" precision = "2"/></c>点为盟友)。	<n/><n/><c val="FFFF8A">Maestría:</c> Aumenta la bonificación de regeneración de egonergía en <c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationSelfDisplayDummy,Amount" player = "current" precision = "2"/></c> por segundo (<c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesEnergyRegenerationAllyDisplayDummy,Amount" player = "current" precision = "2"/></c> para aliados).
<n/><n/><c val="FFFF8A">精通：</c>生命恢复速度加成提高<c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesHPRegenerationSelfDisplayDummy,Amount" player = "current" precision = "2"/></c>点每秒 (<c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesHPRegenerationAllyDisplayDummy,Amount" player = "current" precision = "2"/></c>点为盟友)。	<n/><n/><c val="FFFF8A">Maestría:</c> Aumenta la bonificación de regeneración de vida en <c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesHPRegenerationSelfDisplayDummy,Amount" player = "current" precision = "2"/></c> por segundo (<c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesHPRegenerationAllyDisplayDummy,Amount" player = "current" precision = "2"/></c> para aliados).
<n/><n/><c val="FFFF8A">精通：</c>移动速度加成提高<c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesMovementSpeedSelfDisplayDummy,Amount" player = "current"/></c>% (<c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesMovementSpeedAllyDisplayDummy,Amount" player = "current"/></c>%为盟友)。	<n/><n/><c val="FFFF8A">Maestría:</c> Aumenta un <c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesMovementSpeedSelfDisplayDummy,Amount" player = "current"/></c>% la bonificación de velocidad de movimiento (<c val="FFFF8A"><d ref="Effect,MasteryStetmannStetzoneBonusesMovementSpeedAllyDisplayDummy,Amount" player = "current"/></c>% para aliados).
<n/><n/><c val="FFFF8A">精通：</c>建筑的变形时间缩短<c val="FFFF8A"><d ref="Effect,MasteryStetmannStructureMorphRateDisplayDummy,Amount"/></c>%。	<n/><n/><c val="FFFF8A">Maestría:</c> Reduce un <c val="FFFF8A"><d ref="Effect,MasteryStetmannStructureMorphRateDisplayDummy,Amount"/></c>% los tiempos de transformación de las estructuras.
高级空中侦察单位。 能够维持机械王虫形态时所控制的单位上限。<n/><n/><c val="FFE303">侦测单位</c>	Observador aéreo avanzado. Brinda la misma cantidad de suministros que un Mecaamo supremo.<n/><n/><c val="FFE303">Detector</c>
变形为超级盖瑞。增加E-Gorb、艾星超载、半稳定物质传送的最大使用次数。还可以使用盖瑞区域。	Se transforma en Súper Gary. Aumenta el máximo de cargas de E-Gorbe, Sobrecarga Stetelital y Transporte masivo semiestable. También puede usar Gary-zona.
恢复机械眼虫的移动能力，并使其视野回到正常范围。	Restablece el movimiento del Mecavigía supremo y restituye su visión al radio normal.
使机械眼虫的视野范围扩大50%，但失去移动能力。该技能在激活后可以取消。	Otorga un 50% más de radio de visión al Mecavigía supremo, pero elimina su capacidad de moverse. Esta habilidad se puede cancelar después de la activación.
为友方单位提供护盾，可吸收最多<d ref="Behavior,NovaCoopCasterDefensiveMatrix,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,NovaDefensiveMatrixDroneTimedLife,Duration"/>秒。	Brinda un escudo a las unidades aliadas que absorbe hasta <d ref="Behavior,NovaCoopCasterDefensiveMatrix,DamageResponse.ModifyLimit"/> de daño. Dura <d ref="Behavior,NovaDefensiveMatrixDroneTimedLife,Duration"/> segundos.
提供补给。提高本方单位数量上限。<n/><n/><c val="ffff8a">无法攻击。</c>	Aumenta los suministros, que permiten crear más unidades.<n/><n/><c val="ffff8a">No puede atacar.</c>
提高机械王虫和机械眼虫的移动速度。	Aumenta la velocidad de movimiento de los Mecaamos supremos y Mecavigías supremos.
将单位装载进机械王虫的腹舱中。	Carga unidades en las vainas ventrales del Mecaamo supremo.
