非晶态装甲云	무정형 방어구름
对目标区域进行一次短时间的扫射，伤害地面和空中单位。	일정 시간 후 특정 지역을 집중 포격하여 공중 및 지상 유닛에게 피해를 줍니다.
积蓄能量，并释放EMP震晕附近的非英雄单位。	에너지를 모은 후 EMP를 방출하여 주위의 영웅이 아닌 적 유닛을 기절시킵니다.
为战车提供升级方案。	차량을 업그레이드합니다.
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员	보병 생산 시설입니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 해병
基础建筑，用于接收采集到的资源。自体可以升空，可以升级为轨道控制基地。<n/><n/><c val="ffff8a">开启：</c><n/>- SCV	주 건물입니다. 채취한 자원을 수집합니다. 이륙을 사용할 수 있고, 궤도 사령부로 업그레이드할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 건설로봇
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 秃鹫	차량 생산 시설입니다. <n/><n/><c val="ffff8a">사용 가능:</c><n/>- 시체매
空中单位生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 维京战机	공중 유닛 생산 시설입니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 바이킹
步兵研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 兵营可以训练劫掠者<n/>- 兵营可以训练医疗兵<n/>- 兵营可以训练火蝠	보병 기술을 연구합니다. 기술실은 모든 생산 건물에 부착할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 불곰 (병영)<n/>- 의무관 (병영)<n/>- 화염방사병 (병영)
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 建造重工厂可开启攻城坦克	차량 기술을 연구합니다. 기술실은 모든 생산 건물에 부착할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 공성 전차 (군수공장)
空中单位研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港生产女妖	항공기 기술을 연구합니다. 기술실은 모든 생산 건물에 부착할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 밴시 (우주공항)
空中单位研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港制造女妖<n/>- 建造聚变芯体后可在星港制造战列巡航舰	항공기 기술을 연구합니다. 기술실은 모든 생산 건물에 부착할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 밴시 (우주공항)<n/>- 전투순양함 (우주공항, 융합로 필요)
为重工厂和星港制造的单位提供武器和护甲升级方案。 <n/><n/><c val="ffff8a">开启：</c><n/>- 可以在重工厂中制造雷神	군수공장과 우주공항에서 생산하는 유닛의 무기와 장갑을 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 토르 (군수공장)
为建筑提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使SCV可以建造导弹塔	구조물을 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 미사일 포탑 (건설로봇 건설)
为建筑提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使SCV可以建造转转小子	구조물을 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 회전 화포 (건설로봇 건설)
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶蝠<n/>- 歌利亚武装机器人<n/>- 使SCV可以建造末日炮塔<n/>- 使SCV可以建造毁灭炮塔	차량 생산 시설입니다. <n/><n/><c val="ffff8a">사용 가능:</c><n/>- 화염기갑병<n/>- 골리앗<n/>- 지옥 포탑 (건설로봇 건설)<n/>- 초토화 포탑 (건설로봇 건설)
空中单位生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 怨灵战机	공중 유닛 생산 시설입니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 망령
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 建造重工厂可开启攻城坦克<n/>- 建造重工厂可开启飓风	차량 기술을 연구합니다. 기술실은 모든 생산 건물에 부착할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 공성 전차 (군수공장)<n/>- 사이클론 (군수공장)
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 建造重工厂可开启攻城坦克<n/>- 建造重工厂可开启飓风<n/>- 建造军械库可开启雷神	차량 기술을 연구합니다. 기술실은 모든 생산 건물에 부착할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 공성 전차 (군수공장)<n/>- 사이클론 (군수공장)<n/>- 토르 (군수공장, 무기고 필요)
空中单位研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港生产大力神<n/>- 可在星港生产科学船	항공기 기술을 연구합니다. 기술실은 모든 생산 건물에 부착할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 헤라클레스 (우주공항)<n/>- 과학선 (우주공항)
研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在重工厂建造攻城坦克<n/>- 可在重工厂建造飓风<n/>- 附加军械库后可在重工厂建造雷神	연구 시설입니다. 기술실은 모든 생산 건물에 부착할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 공성 전차 (군수공장)<n/>- 사이클론 (군수공장)<n/>- 토르 (군수공장, 무기고 필요)
专业感染生物体。孵化易爆感染体进行自卫。<n/><n/><c val="ffff8a">可以对空和对地。</c>	특수 감염 유기체입니다. 폭발성 감염체를 생성해 자신을 보호합니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c>
为星灵空中单位提供武器和护甲升级方案，并为传送门提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃追猎者	프로토스 공중 유닛의 무기와 장갑을 업그레이드합니다. 관문을 업그레이드할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 추적자 (관문)
为黑暗圣堂武士提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使传送门可以折跃黑暗圣堂武士	암흑 기사를 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 암흑 기사 (관문)
为黑暗圣堂武士和黑暗执政官提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使传送门可以折跃黑暗圣堂武士<n/>- 使传送门可以折跃黑暗执政官	암흑 기사와 암흑 집정관을 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 암흑 기사 (관문)<n/>- 암흑 집정관 (관문)
为海盗船、先知和虚空辉光舰提供升级方案。	해적선, 예언자, 공허 포격기를 업그레이드합니다.
折跃星灵地面单位。<n/><n/><c val="ffff8a">开启：</c><n/>- 百夫长	프로토스 지상 유닛을 소환합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 백인대장
折跃星灵空中单位。<n/><n/><c val="ffff8a">开启：</c><n/>- 海盗船<n/>- 虚空辉光舰<n/>- 先知	프로토스 공중 유닛을 소환할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 해적선<n/>- 공허 포격기<n/>- 예언자
为狂热者和追猎者提供升级方案。	광전사, 추적자를 업그레이드합니다.
为百夫长和追猎者提供升级方案。	백인대장과 추적자를 업그레이드합니다.
允许折跃星灵地面单位。<n/><n/><c val="ffff8a">开启：</c><n/>- 百夫长	프로토스 지상 유닛을 소환할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 백인대장
为异虫地面单位和扎加拉提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使有主巢和虫穴的幼虫可以变异为畸变体	저그 지상 유닛과 자가라를 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 변형체 (애벌레에서 변태)
为跳虫和胆汁喷射体提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使孵化场、虫穴和主巢可以孵化虫后<n/>- 使幼虫可以变异为跳虫<n/>- 使工蜂可以变异为脊针爬虫<n/>- 使工蜂可以变异为孢子爬虫<n/>- 使工蜂可以变异为胆汁喷射体	저글링과 부패 주둥이를 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 여왕 (부화장, 번식지, 군락)<n/>- 저글링 (애벌레에서 변태)<n/>- 가시 촉수 (일벌레에서 변이)<n/>- 포자 촉수 (일벌레에서 변이)<n/>- 부패 주둥이 (일벌레에서 변이)
“我不想再使用“菲尼克斯”这个名字了。”	"난 이제 피닉스라는 이름으로 불리길 원치 않네."
获得一个拥有下列技能的共生体：<n/><n/><c val="ffff00">刺击：</c>每<d ref="Abil,SymbioteStab,Cost[0].Cooldown.TimeUse" precision="1"/>秒攻击周围的敌人，造成<d ref="Effect,SymbioteStabDamage,Amount"/>点伤害。<n/><c val="ffff00">甲壳：</c>每<d ref="Abil,SymbioteCarapace,Cost[0].Cooldown.TimeUse" precision="1"/>秒为宿主吸收<d ref="Behavior,SymbioteCarapace,Modification.VitalMaxArray[Shields]"/>点伤害。	공생체를 얻어 다음과 같은 능력을 사용합니다.<n/><n/><c val="ffff00">찌르기:</c> 주위 적들을 공격해 <d ref="Abil,SymbioteStab,Cost[0].Cooldown.TimeUse" precision="1"/>초마다 <d ref="Effect,SymbioteStabDamage,Amount"/>의 피해를 줍니다.<n/><c val="ffff00">보호막:</c> <d ref="Abil,SymbioteCarapace,Cost[0].Cooldown.TimeUse" precision="1"/>초마다 <d ref="Behavior,SymbioteCarapace,Modification.VitalMaxArray[Shields]"/>의 피해를 흡수합니다.
快速潜地前往可见目标位置。	시야가 확보된 곳으로 빠르게 잠복해 이동합니다.
穿刺者潜地或扎根时生成菌毯。	관통 촉수가 잠복 또는 뿌리 박기 중 점막을 생성합니다.
立即治疗友方生物和机械单位以及建筑<d ref="Effect,AbathurMendInitialHealer,RechargeVitalRate" player="current"/>点生命值。在<d ref="Behavior,AbathurMendPeriodicHeal,Duration" player="current"/>秒内额外恢复<d ref="Effect,AbathurMendSecondaryHealer,RechargeVitalRate*Behavior,AbathurMendPeriodicHeal,Duration" player="current"/>点生命值。	아군 생체 유닛 및 구조물의 체력이 <d ref="Effect,AbathurMendInitialHealer,RechargeVitalRate" player="current"/>만큼 즉시 회복됩니다. <d ref="Behavior,AbathurMendPeriodicHeal,Duration" player="current"/>초에 걸쳐 <d ref="Effect,AbathurMendSecondaryHealer,RechargeVitalRate*Behavior,AbathurMendPeriodicHeal,Duration" player="current"/>의 체력이 추가적으로 재생됩니다.
立即治疗友方生物和机械单位以及建筑<d ref="Effect,AbathurMendInitialHealer,RechargeVitalRate"  player="current"/>点生命值。在<d ref="Behavior,AbathurMendPeriodicHeal,Duration"  player="current"/>秒内持续恢复额外<d ref="Effect,AbathurMendSecondaryHealer,RechargeVitalRate*Behavior,AbathurMendPeriodicHeal,Duration"  player="current"/>点生命。最多储存3次使用次数。	아군 생체 유닛 및 구조물의 체력이 <d ref="Effect,AbathurMendInitialHealer,RechargeVitalRate"  player="current"/>만큼 즉시 회복됩니다. <d ref="Behavior,AbathurMendPeriodicHeal,Duration"  player="current"/>초에 걸쳐 <d ref="Effect,AbathurMendSecondaryHealer,RechargeVitalRate*Behavior,AbathurMendPeriodicHeal,Duration"  player="current"/>의 체력이 추가적으로 재생됩니다. 최대 3회 충전됩니다.
阿巴瑟的基础生产设施是蟑螂温室，而不是分裂池。	아바투르의 기본 생산 구조물은 산란못이 아닌 바퀴 소굴입니다.
<s val="Kicker_Minerals">+12 </s><IMG path="Assets\Textures\btn-upgrade-zerg-corrosiveacid.dds" height="28" width="28"/>	<s val="Kicker_Minerals">+12 </s><IMG path="Assets\Textures\btn-upgrade-zerg-corrosiveacid.dds" height="28" width="28"/>
<s val="Kicker_Minerals">+1 </s><IMG path="Assets\Textures\btn-upgrade-zerg-corrosiveacid.dds" height="28" width="28"/>	<s val="Kicker_Minerals">+1 </s><IMG path="Assets\Textures\btn-upgrade-zerg-corrosiveacid.dds" height="28" width="28"/>
<s val="Kicker_Minerals">+20 </s><IMG path="Assets\Textures\icon-mineral-zerg.dds" height="28" width="28"/>	<s val="Kicker_Minerals">+20 </s><IMG path="Assets\Textures\icon-mineral-zerg.dds" height="28" width="28"/>
<s val="Kicker_Minerals">+2 </s><IMG path="Assets\Textures\btn-upgrade-zerg-corrosiveacid.dds" height="28" width="28"/>	<s val="Kicker_Minerals">+2 </s><IMG path="Assets\Textures\btn-upgrade-zerg-corrosiveacid.dds" height="28" width="28"/>
<s val="Kicker_Minerals">+4 </s><IMG path="Assets\Textures\btn-upgrade-zerg-corrosiveacid.dds" height="28" width="28"/>	<s val="Kicker_Minerals">+4 </s><IMG path="Assets\Textures\btn-upgrade-zerg-corrosiveacid.dds" height="28" width="28"/>
<s val="Kicker_Minerals">+6 </s><IMG path="Assets\Textures\btn-upgrade-zerg-corrosiveacid.dds" height="28" width="28"/>	<s val="Kicker_Minerals">+6 </s><IMG path="Assets\Textures\btn-upgrade-zerg-corrosiveacid.dds" height="28" width="28"/>
<s val="Kicker_Minerals">+8 </s><IMG path="Assets\Textures\btn-upgrade-zerg-corrosiveacid.dds" height="28" width="28"/>	<s val="Kicker_Minerals">+8 </s><IMG path="Assets\Textures\btn-upgrade-zerg-corrosiveacid.dds" height="28" width="28"/>
使身下的单位获得<d ref="Behavior,AberrationArmorAuraTarget,DamageResponse.ModifyFraction*100"/>%伤害减免。	아래에 있는 모든 유닛이 <d ref="Behavior,AberrationArmorAuraTarget,DamageResponse.ModifyFraction*100"/>% 피해 감소 효과를 받습니다.
该技能需要你达到相应的指挥官等级才能解锁。	이 능력은 사령관 레벨이 적정 수준에 도달할 때까지 잠겨 있습니다.
该技能将在指挥官等级2时解锁。	이 능력은 사령관이 2 레벨이 되면 사용할 수 있습니다.
该技能将在指挥官等级3时解锁。	이 능력은 사령관이 3 레벨이 되면 사용할 수 있습니다.
该技能将在指挥官等级4时解锁。	이 능력은 사령관이 4 레벨이 되면 사용할 수 있습니다.
该技能将在指挥官等级6时解锁。	이 능력은 사령관이 6 레벨이 되면 사용할 수 있습니다.
该技能将在指挥官等级7时解锁。	이 능력은 사령관이 7 레벨이 되면 사용할 수 있습니다.
该技能将在指挥官等级10时解锁。	이 능력은 사령관이 10 레벨이 되면 사용할 수 있습니다.
该技能将在指挥官等级11时解锁。	이 능력은 사령관이 11 레벨이 되면 사용할 수 있습니다.
该技能将在指挥官等级12时解锁。	이 능력은 사령관이 12 레벨이 되면 사용할 수 있습니다.
该技能将在指挥官等级13时解锁。	이 능력은 사령관이 13 레벨이 되면 사용할 수 있습니다.
该技能将在指挥官等级14时解锁。	이 능력은 사령관이 14 레벨이 되면 사용할 수 있습니다.
净化者阵营<n/>远程特种单位。可以在升级后使用灵能投射。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	정화자 진영<n/>원거리 전문가입니다. 업그레이드하면 사이오닉 투영을 사용할 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지상 및 공중 유닛 공격 가능</c>
攻击可召唤一个无敌的阴影体，攻击敌人一小段时间。	공격 시 무적 상태의 그림자가 소환되어 짧은 시간 동안 적들을 공격합니다.
投射一道可移动但无法攻击的无敌阴影。<n/><n/>激活此技能后，使徒会在<d ref="Behavior,AdeptPhaseShiftTimer,Duration"/>秒后传送到阴影的位置。<n/><n/>激活后可以取消。	이동할 수 있지만 공격 능력이 없으며 피해도 받지 않는 그림자를 투사합니다.<n/><n/>사용한 뒤 <d ref="Behavior,AdeptPhaseShiftTimer,Duration"/>초 후에 사도가 그림자 위치로 순간이동합니다.<n/><n/>사용 후 취소할 수 있습니다.
投射一道可移动但无法攻击的无敌阴影。每个接触阴影的敌人受到的伤害增加<d ref="Effect,AdeptPsionicTransferDamage,Amount"/>点，持续<d ref="Behavior,AdeptPsionicTransferDamageDebuff,Duration"/>秒。<n/><n/>激活此技能后，使徒会在<d ref="Behavior,AdeptPhaseShiftTimer,Duration"/>秒后传送到阴影的位置。<n/><n/>激活后可以取消。	이동할 수 있지만 공격 능력이 없으며 피해도 받지 않는 그림자를 투사합니다. 그림자에 닿은 적은 <d ref="Behavior,AdeptPsionicTransferDamageDebuff,Duration"/>초 동안 모든 받는 피해가 <d ref="Effect,AdeptPsionicTransferDamage,Amount"/>만큼 증가합니다. <n/><n/>사용한 뒤 <d ref="Behavior,AdeptPhaseShiftTimer,Duration"/>초 후에 사도가 그림자 위치로 순간이동합니다.<n/><n/>사용 후 취소할 수 있습니다.
多台SCV可同时建造同一个建筑，缩短其建造时间。修理不消耗资源。	다수의 건설로봇이 한 건물 건설에 투입되어 건설 시간을 줄일 수 있습니다. 수리에 자원이 소모되지 않습니다.
休伯利安号的高级瞄准系统能使附近的友方单位攻击力提高2。	히페리온의 첨단 조준 시스템이 주위 모든 아군 유닛의 공격력을 2만큼 증가시킵니다.
浩劫可以侦测潜地和隐形的单位	교란기가 잠복 및 은폐한 유닛을 탐지합니다.
死徒是阿拉纳克濒死时首先牺牲自己来为其恢复生命值的单位。	광신자는 알라라크가 죽음에 가까워지면 가장 먼저 희생되어 알라라크의 체력을 회복시키는 유닛입니다.
折跃可控制的塔达林母舰和<d ref="Effect,AlarakDestroyerCreationCP,PeriodCount" player="current"/>艘毁灭者，为你战斗<d ref="Behavior,AlarakDestroyerTimedLife,Duration"/>秒。	탈다림 모선과 <d ref="Effect,AlarakDestroyerCreationCP,PeriodCount" player="current"/>기의 파멸자를 소환해 <d ref="Behavior,AlarakDestroyerTimedLife,Duration"/>초 동안 조종합니다.
折跃一艘可以手动控制的塔达林母舰。	조종 가능한 탈다림 모선을 소환합니다.
供奉我激活时，阿拉纳克的攻击造成范围伤害。	알라라크가 날 강화하라가 활성화된 동안 공격 시 광역 피해를 줍니다.
阿拉纳克的攻击可以击晕敌方单位<d ref="Behavior,AlarakBaneBladesStun,Duration"/>秒。</n></n><c val="ffff8a">英雄单位将被减速。</c>	알라라크의 공격이 적 유닛을 <d ref="Behavior,AlarakBaneBladesStun,Duration"/>초 동안 기절시킵니다.</n></n><c val="ffff8a">영웅 유닛은 느려짐</c>
允许天罚行者攻击空中单位。	분노수호자가 공중 유닛을 공격할 수 있게 합니다.
缩短天罚行者充能爆裂弹的充能时间与武器攻击速度。	분노수호자의 충전 폭발의 충전 시간과 무기 속도가 감소합니다.
塔达林的高阶领主。强大的灵能战士。	탈다림의 군주로, 강력한 사이오닉 전사입니다.
<n/><n/><c val="FFFF8A">闪电喷涌：</c>对主要目标附近<d ref="Effect,AlarakLightningStrikesSearch,AreaArray[0].MaxCount"/>个敌人造成<d ref="Effect,AlarakLightningStrikesDamage,Amount"/>点伤害。	<n/><n/><c val="FFFF8A">번개 쇄도:</c> 주 대상 주위의 적 유닛 <d ref="Effect,AlarakLightningStrikesSearch,AreaArray[0].MaxCount"/>기에게 <d ref="Effect,AlarakLightningStrikesDamage,Amount"/>의 피해를 줍니다.
阿拉纳克拦截目标敌方单位，并造成<d ref="Effect,AlarakACDeadlyChargeDamage,Amount"/></c>点伤害。	알라라크가 대상 적 유닛에게 돌진하고 가격하여 <d ref="Effect,AlarakACDeadlyChargeDamage,Amount"/></c>의 피해를 줍니다.
阿拉纳克拦截目标敌方单位，并造成<d ref="Effect,AlarakACDeadlyChargeDamage,Amount"/>+<c val="ffff8a"><d ref="(Behavior,AlarakEmpowerDisplay,Modification.DamageDealtFraction[Spell])*Effect,AlarakACDeadlyChargeDamage,Amount"/></c>点伤害。	알라라크가 대상 적 유닛에게 돌진하고 가격하여 <d ref="Effect,AlarakACDeadlyChargeDamage,Amount"/> + <c val="ffff8a"><d ref="(Behavior,AlarakEmpowerDisplay,Modification.DamageDealtFraction[Spell])*Effect,AlarakACDeadlyChargeDamage,Amount"/></c>의 피해를 줍니다.
湮灭波的击退距离提高100%。	파괴 파동이 밀쳐내는 거리가 100%만큼 증가합니다.
阿拉纳克周围的每一名友方单位都会使他的攻击速度和技能伤害提高。阿拉纳克的机械单位给予他双倍力量。该效果持续<d ref="Behavior,AlarakEmpowerCaster,Duration" precision="1"/>秒。<n/><n/><c val="ffff8a">激活会重置阿拉纳克的冷却时间。</c>	알라라크가 주위 아군 유닛 수에 따라 공격력과 능력 피해가 증가합니다. 기계 유닛은 알라라크의 공격력을 두 배로 증가시킵니다. <d ref="Behavior,AlarakEmpowerCaster,Duration" precision="1"/>초 동안 지속됩니다.<n/><n/><c val="ffff8a">활성화하면 알라라크의 재사용 대기시간이 초기화됩니다.</c>
扩大小队视野的范围以及锁定目标和力场的射程。	시야 공유의 반경과, 목표 고정 및 역장의 사거리가 증가합니다.
晋升者的技能伤害永久提高<d ref="Behavior,AscendantSacrificeSelfBuff,Modification.DamageDealtFraction[Spell]*100"/>%，每次使用献祭时其护盾增加<d ref="Behavior,AscendantSacrificeSelfBuff,Modification.VitalMaxArray[Shields]"/>点。<n/><n/>该效果最多可以叠加<d ref="Behavior,AscendantSacrificeSelfBuff,MaxStackCount"/>次。	승천자가 제물을 사용할 때마다 능력 피해가 <d ref="Behavior,AscendantSacrificeSelfBuff,Modification.DamageDealtFraction[Spell]*100"/>%만큼, 보호막이 <d ref="Behavior,AscendantSacrificeSelfBuff,Modification.VitalMaxArray[Shields]"/>만큼 영구히 증가합니다.<n/><n/>이 효과는 최대 <d ref="Behavior,AscendantSacrificeSelfBuff,MaxStackCount"/>회 중첩됩니다.
朝一条直线释放出一股巨大的原力波，对沿途的敌人造成<d ref="Effect,DestructionWaveDamage,Amount"/>点伤害，并将其击退。	일직선상으로 거대한 힘의 파동을 방출하여 해당 경로 상의 적에게 <d ref="Effect,DestructionWaveDamage,Amount"/>의 피해를 주고 뒤로 밀쳐냅니다.
朝一条直线释放出一股巨大的原力波，对沿途的敌人造成<d ref="Effect,DestructionWaveDamage,Amount"/>+<c val="ffff8a"><d ref="(Behavior,AlarakEmpowerDisplay,Modification.DamageDealtFraction[Spell])*Effect,DestructionWaveDamage,Amount"/></c>点伤害，并将其击退。	일직선상으로 거대한 힘의 파동을 방출하여 해당 경로 상의 적에게 <d ref="Effect,DestructionWaveDamage,Amount"/> + <c val="ffff8a"><d ref="(Behavior,AlarakEmpowerDisplay,Modification.DamageDealtFraction[Spell])*Effect,DestructionWaveDamage,Amount"/></c>의 피해를 주고 뒤로 밀쳐냅니다.
当阿拉纳克献祭一名死徒时，他的下一次致命冲锋可以对主要目标附近的<d ref="Effect,AlarakLightningStrikesSearch,AreaArray[0].MaxCount"/>个敌方单位造成额外<d ref="Effect,AlarakLightningStrikesDamage,Amount"/>点伤害。	알라라크가 광신자를 희생시키면, 알라라크의 다음 치명적인 돌진이 주 대상 주위의 적 유닛 <d ref="Effect,AlarakLightningStrikesSearch,AreaArray[0].MaxCount"/>기에 <d ref="Effect,AlarakLightningStrikesDamage,Amount"/>의 추가 피해를 줍니다.
<c val="FFFF8A">精通：</c>折跃在该建筑旁边的单位获得<c val="FFFF8A"><d ref="Effect,MasteryAlarakUnitAttackSpeedDisplayDummy,Amount" precision="1"/></c>%攻击速度。	<c val="FFFF8A">마스터:</c> 이 구조물로 소환한 유닛의 공격 속도가 <c val="FFFF8A"><d ref="Effect,MasteryAlarakUnitAttackSpeedDisplayDummy,Amount" precision="1"/></c>%만큼 증가합니다.
使<c val="ffff8a">杀戮者</c>在受到攻击后的<d ref="Behavior,AlarakStalkerPhasingArmorBuff,Duration"/>秒内不会再受到伤害。该效果每<d ref="Behavior,AlarakStalkerPhasingArmor,DamageResponse.Cost.Cooldown.TimeUse"/>秒最多触发一次。	<c val="ffff8a">학살자</c>가 공격을 받은 후 <d ref="Behavior,AlarakStalkerPhasingArmorBuff,Duration"/>초 동안 피해를 받지 않습니다. <d ref="Behavior,AlarakStalkerPhasingArmor,DamageResponse.Cost.Cooldown.TimeUse"/>초에 한 번만 발동합니다.
阿拉纳克将会折跃在信标位置。	알라라크가 이 신호소 위치에 소환됩니다.
使追猎者的闪现可以造成<d ref="Effect,AlarakStalkerForceBlastDamage,Amount"/>点伤害，并击退敌人。<n/><n/>	추적자의 점멸이 적에게 <d ref="Effect,AlarakStalkerForceBlastDamage,Amount"/>의 피해를 주고 적을 밀쳐내게 합니다.<n/><n/>
使杀戮者在受到攻击后的<d ref="Behavior,AlarakStalkerPhasingArmorBuff,Duration"/>秒内不会再受到伤害。该效果每<d ref="Behavior,AlarakStalkerPhasingArmor,DamageResponse.Cost.Cooldown.TimeUse"/>秒最多触发一次。	학살자가 공격을 받은 후 <d ref="Behavior,AlarakStalkerPhasingArmorBuff,Duration"/>초 동안 피해를 받지 않습니다. <d ref="Behavior,AlarakStalkerPhasingArmor,DamageResponse.Cost.Cooldown.TimeUse"/>초에 한 번만 발동합니다.
给目标友方建筑或相位模式下的战争棱镜充能，使其可以攻击附近的敌方地面和空中单位，造成<d ref="Effect,AlarakStructureOverchargeDamage,Amount[0]"/>点伤害。该效果持续<d ref="Behavior,AlarakStructureOvercharge,Duration[0]"/>秒。	대상 아군 구조물 또는 위상 모드의 전쟁 분광기를 강화하여 주위의 적 지상 및 공중 유닛에게 <d ref="Effect,AlarakStructureOverchargeDamage,Amount[0]"/>의 피해를 주게 합니다. 이 효과는 <d ref="Behavior,AlarakStructureOvercharge,Duration[0]"/>초 동안 지속됩니다.
死徒获得+<d ref="Effect,AlarakSupplicantMaxShieldsDisplayDummy,Amount"/>护盾。	광신자의 보호막이 <d ref="Effect,AlarakSupplicantMaxShieldsDisplayDummy,Amount"/>만큼 증가합니다.
每当一个死徒被献祭，阿拉纳克的致命冲锋的冷却时间缩短<d ref="(Effect,AlarakSupplicantSacrificeCDR_A,Cost.Cooldown.TimeUse)*(-1)"/>秒，湮灭波的冷却时间缩短<d ref="(Effect,AlarakSupplicantSacrificeCDR_B,Cost.Cooldown.TimeUse)*(-1)"/>秒。	광신자가 희생될 때마다 알라라크의 치명적인 돌진이 <d ref="(Effect,AlarakSupplicantSacrificeCDR_A,Cost.Cooldown.TimeUse)*(-1)"/>초만큼, 파괴 파동이 <d ref="(Effect,AlarakSupplicantSacrificeCDR_B,Cost.Cooldown.TimeUse)*(-1)"/>초만큼 재사용 대기시간이 감소합니다.
目标锁定的伤害加成额外提高15%。	목표 고정의 추가 피해가 15%만큼 증가합니다.
濒临死亡时，阿拉纳克从他自己的塔达林单位身上偷取生命值。没有冷却时间；他会是活下来的最后一人。	알라라크는 죽음에 가까워지면 자신의 탈다림 유닛들에게서 생명력을 흡수합니다. 재사용 대기시간이 없습니다. 알라라크가 마지막까지 살아남습니다.
离散光炮的溅射伤害范围扩大<d ref="($UpgradeEffectArrayValue:AlarakVanguardIncreaseSplashArea:Effect,ImmortalTaldarimWeaponSearch,AreaArray[0].Radius$/Effect,ImmortalTaldarimWeaponSearch,AreaArray[0].Radius-1)*100" player="0"/>%。	확산포의 방사 피해 범위가 <d ref="($UpgradeEffectArrayValue:AlarakVanguardIncreaseSplashArea:Effect,ImmortalTaldarimWeaponSearch,AreaArray[0].Radius$/Effect,ImmortalTaldarimWeaponSearch,AreaArray[0].Radius-1)*100" player="0"/>%만큼 증가합니다.
攻击速度提高100%。在此期间，每次攻击产生5点护盾。持续3秒。	공격 속도가 100% 증가합니다. 지속 시간 동안, 공격할 때마다 5의 보호막을 생성합니다. 3초 동안 지속됩니다.
斯托科夫可以控制被亚历山大号触手攻击的敌方单位。	스투코프가 알렉산더의 촉수의 공격을 받고 있는 적 유닛을 조종합니다.
使幻影战机的射程提高2。	신기루의 사거리가 2만큼 증가합니다.
