非晶态装甲云	Аморфное бронеоблако
该单位正受到恢复器的影响，将在该效果范围内持续受到治疗。其攻击速度也会提高。	Эта боевая единица находится под воздействием «Целителя» и периодически восстанавливает здоровье или прочность, пока находится в области его действия. Ее скорость атаки повышена.
该单位的移动和攻击速度加快，并且在秘密储备强化剂的影响下持续受到治疗。	Под воздействием стимуляторов «Заначка» эта боевая единица быстрее передвигается и атакует, а также периодически восстанавливает здоровье.
该单位正在持续恢复生命值并且提高了攻击伤害。	Восстановление здоровья. Урон от атак увеличен.
该单位正在吸收所有针对它的伤害。	Эта боевая единица поглощает получаемый урон.
该单位已隐形并且正在持续恢复生命值。	Маскировка. Постепенное восстановление здоровья.
目标当前处于昏迷状态，无法使用任何技能。	Цель оглушена и не может применять способности.
该单位将爆炸，一小段时间后承受巨大伤害。	Эта боевая единица вскоре взорвется и получит колоссальный урон.
该单位提高了移动速度，且对伤害免疫。	Невосприимчивость к урону. Скорость передвижения повышена.
该单位被拉拽至一个中心位置，同时陷入昏迷。	Эта боевая единица затянута в центр и оглушена.
该不法之徒的主要技能的充能时间和冷却时间都缩短了。	Время подготовки или восстановления базовых способностей этого бандита сокращено.
该单位的屏障正在重新充能。	«Барьер единства» на этой боевой единице еще восстанавливается.
该精炼厂正为你和你的盟友采集额外的瓦斯。	Эта перерабатывающая установка добывает дополнительный веспен для вас и вашего союзника.
该单位陷入了昏迷，并持续性地受到伤害。	Эта боевая единица оглушена и периодически получает урон.
如果不摧毁死亡之握水晶，该单位将会死亡。	Это боевая единица погибнет, если кристалл хватки смерти не будет уничтожен.
该单位已隐形并且正在恢复护盾值。	Эта боевая единица замаскирована и восстанавливает щиты.
该单位临时提高了护盾值。	Щиты временно укреплены.
该隐形或潜地单位的攻击伤害和能量回复率得到了提高。	Эта боевая единица наносит увеличенный урон от атак и быстрее восстанавливает энергию, пока замаскирована или закопана.
护盾恢复速度提高<d ref="Behavior,VorazunCloakedShieldRegen,Modification.VitalRegenMultiplier[Shields] * 100"/>%。	Скорость восстановления щитов повышена на <d ref="Behavior,VorazunCloakedShieldRegen,Modification.VitalRegenMultiplier[Shields] * 100"/>%.
该单位提供了攻击和移动速度。	Скорость передвижения и скорость атаки этой боевой единицы повышены.
该单位受到泽拉图的控制。它将在该效果结束后自毁。	Зератул взял эту боевую единицу под контроль. По истечении действия эффекта она самоуничтожится.
该单位最近已回撤至虚空，无法使用撤回阴影。	Эта боевая единица недавно отступала в Пустоту и пока не может использовать «Возвращение в тень».
该单位已回撤虚空，正在恢复生命自和护盾。	Эта боевая единица отступила в Пустоту и восстанавливает здоровье и щиты.
该单位正在将自身投射至另一个位置。其武器和技能被禁用。	Это строение создало свою проекцию в другом месте. Его орудия и способности отключены.
吸收最多<d ref="Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit"/>点伤害。	Поглощает до <d ref="Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit"/> ед. урона.
该单位的移动和攻击速度提高<d ref="-100*Behavior,ZeratulSuppressionCrystalSuppression,Modification.AdditiveAttackSpeedFactor"/>%。	Скорость атаки и передвижения снижена на <d ref="-100*Behavior,ZeratulSuppressionCrystalSuppression,Modification.AdditiveAttackSpeedFactor"/>%.
该单位的移动和攻击速度降低<d ref="-100*Behavior,ZeratulSuppressionCrystalSuppressionHeroic,Modification.AdditiveAttackSpeedFactor"/>%。	Скорость атаки и передвижения снижена на <d ref="-100*Behavior,ZeratulSuppressionCrystalSuppressionHeroic,Modification.AdditiveAttackSpeedFactor"/>%.
该单位的护盾恢复速度提高了。	Скорость восстановления щитов повышена.
目标正处于灵能阵风效果中，将在该效果范围内承受少量伤害。	Цель находится под действием псионных ветров и будет получать небольшой урон до тех пор, пока не покинет область их действия.
该单位的移动和攻击速度降低<d ref="-100*Behavior,ZeratulXelNagaConstructDevolveHeroic,Modification.AdditiveAttackSpeedFactor"/>%。	Скорость атаки и передвижения снижена на <d ref="-100*Behavior,ZeratulXelNagaConstructDevolveHeroic,Modification.AdditiveAttackSpeedFactor"/>%.
该单位正在精华化身的影响下不断进化，攻击速度和伤害抵抗力提高了。	Постоянная эволюция под влиянием аватары эссенции. Скорость атаки и защита от урона повышены.
该单位已完全进化，攻击速度和伤害抵抗力都提高了。	Эта боевая единица полностью эволюционировала. Скорость ее атаки и защита от урона повышены.
处于精华化身周围的单位将不断进化，逐步提高攻击速度。	Боевые единицы рядом с аватарой эссенции постоянно эволюционируют и получают постепенно возрастающий бонус к скорости атаки.
目标正处于灵能狂风的效果中，将在该效果范围内承受大量伤害。	Цель находится под действием псионной бури и будет получать ужасный, ужасный урон до тех пор, пока не покинет область ее действия.
该单位的护甲被削减至0。	Броня этой боевой единицы ослаблена до 0.
</sp>	</sp>
<d ref="$BehaviorStackCount:AscendantSacrificeSelfBuff$"/>	<d ref="$BehaviorStackCount:AscendantSacrificeSelfBuff$"/>
<d ref="(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>	<d ref="(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>
<c val="00ffff"><d ref="Effect,FenixChampionShellCountCarrier,Amount" player="current"/></c>	<c val="00ffff"><d ref="Effect,FenixChampionShellCountCarrier,Amount" player="current"/></c>
<c val="00ffff"><d ref="Effect,FenixChampionShellCountZealot,Amount" player="current"/></c>	<c val="00ffff"><d ref="Effect,FenixChampionShellCountZealot,Amount" player="current"/></c>
<c val="00ffff"><d ref="Effect,FenixChampionShellCountScout,Amount" player="current"/></c>	<c val="00ffff"><d ref="Effect,FenixChampionShellCountScout,Amount" player="current"/></c>
<c val="00ffff"><d ref="Effect,FenixChampionShellCountImmortal,Amount" player="current"/></c>	<c val="00ffff"><d ref="Effect,FenixChampionShellCountImmortal,Amount" player="current"/></c>
<c val="00ffff"><d ref="Effect,FenixChampionShellCountAdept,Amount" player="current"/></c>	<c val="00ffff"><d ref="Effect,FenixChampionShellCountAdept,Amount" player="current"/></c>
<c val="00ffff"><d ref="Effect,FenixChampionShellCountColossus,Amount" player="current"/></c>	<c val="00ffff"><d ref="Effect,FenixChampionShellCountColossus,Amount" player="current"/></c>
0	0
<d ref="$BehaviorStackCount:StukovInfestedBunkerMarines$"/>	<d ref="$BehaviorStackCount:StukovInfestedBunkerMarines$"/>
<d ref="$BehaviorStackCount:StukovInfestedSiegeTankAmmo$"/>	<d ref="$BehaviorStackCount:StukovInfestedSiegeTankAmmo$"/>
$	$
180	180
震爆	Шоковый удар
勇敢的心	Принятие себя
共生体	Симбионт
分裂池已禁用	Омут рождения запрещен
爆虫孕育	Инкубация гиблингов
技能锁定	Способность недоступна
灵能投射	Псионная проекция
Adept Shade Debuff	Тень адепта - отрицательный эффект
浩劫探测	«Обнаружение» разрушителя
研究浩劫探测	Разработать способность разрушителей «Обнаружение»
献身	Преданность
超强能量	Сверхсила
空域追踪	Наведение на воздушные цели
快速能量循环	Ускоренный энергообмен
心灵传动	Телекинез
供奉我	Усиливайте меня!
血水晶共鸣	Резонанс кровавых кристаллов
闪电奔涌	Разряд молнии
战斗精通	Боевое искусство
群体传送	Массовая телепортация
研究相位护甲	Разработать фазовую броню
研究追猎者相位武装	Разработать фазовую броню для палачей
力场冲击	Выброс силы
追猎者相位武装	Фазовая броня палачей
灵魂强化	Твердость духа
高阶领主之怒	Гнев Владыки
侦测弱点	Выявление уязвимостей
强者生存	Выживает сильнейший
物质散化	Дисперсия материи
范围性治疗	Лечение по области
潜地冲锋	Подземный рывок
机枪扫射	Пулеметный обстрел
烈焰飞弹	Запустить ракеты
反击	Противостояние
静滞舱破坏者飞弹	Ракеты для уничтожения стазисной камеры
静滞舱破坏者炸弹	Бомбы для уничтожения стазисной камеры
福波斯武器系统	Боевая система класса «Фобос»
研究鲜血护盾	Разработать кровавые щиты
炮击导管	Артиллерийские каналы
自行裂生	Автоматический митоз
自动幼虫注射	Автоматический ввод личинки
自动炮塔黑色行动	Элитная автотурель
折跃古代吸纳舱	Вызвать древний ассимилятор
古代吸纳舱	Древний ассимилятор
神器强化：撤回阴影	Дар артефакта: «Возвращение в тень»
火箭弹幕	Ракетная батарея
胆汁喷流	Поток желчи
生物机械修理	Биомеханический ремонт
速效哺液	Быстрое переливание
生物质搜集	Собранная биомасса
标记生物质收集者	Отметить сборщик биомассы
相位反应堆	Фазовый реактор
正在修理	Ремонт
孔状软骨	Пористый хрящ
变形为莽兽	Мутировать в бруталиска
制造战列巡航舰	Построить крейсер
变异为胆汁喷射体	Мутировать в споровое орудие
变异萃取房	Породить экстрактор
建造德拉肯激光钻机	Построить драккенскую лазерную установку
训练瓦斯采集器	Обучить сборщика веспена
训练火蝠	Обучить огнеметчика
建造攻击战斗机平台	Построить взлетную площадку
建造突击炮舰	Построить штурмовой галеон
建造科技实验室	Построить лабораторию
部署生物机械修理无人机	Построить биомеханический ремонтный дрон
建造转转小子	Построить турель-карусель
建造毁灭炮塔	Построить разрывную турель
建造爆弹比利	Построить «Взрывного Билли»
折跃凯达琳巨石	Вызвать кайдариновый монолит
建造解放者	Построить «Освободитель»
变异为潜伏者	Мутировать в скрытня
建造热辣贝蒂	Построить «Огненную Бетти»
折跃掠夺者	Вызвать опустошителя
建造被感染的科技实验室	Построить зараженную лабораторию
折跃风暴战舰	Вызвать «Ураган»
制造雷神	Построить «Тор»
建造乔伊·雷酒吧	Построить бар «У Джорея»
建造医疗运输机平台	Построить платформу для медэваков
制造单位已锁定	Строительство данной единицы недоступно
建造高能瓦斯钻机	Построить газовую буровую установку
变异为飞蛇	Мутировать в стрекозу
建造虚空裂痕	Создать разлом Пустоты
神器干扰	Дестабилизация
卡度休斯反应堆	Реактор «Кадуцей»
召唤双重矿骡	Вызов двух МУЛов
光子炸弹	Фотонные бомбы
神器强化：集束新星	Дар артефакта: серия взрывов
战斗怒吼	Боевой крик
时空扭曲	Хроноискажение
折跃天罚行者	Вызвать странника гнева
进化为利维坦	Мутировать в левиафана
灵魂之匣	Реликварий душ
守护之壳	Спасительный щит
自由激进	Свободные радикалы
为陛下让路	Дорогу королю
研究军械优化	Разработать улучшенное снабжение
折跃光子炮台	Вызвать фотонную пушку
变异为虫道网络	Мутировать в сеть нидуса
狮鹫号空袭	Бомбардировка «Грифона»
研究狱火爆弹	Разработать инфернальные снаряды
随机应变	Универсальный солдат
轨道空投：矿骡	Запрос: МУЛ
远程部署	Удаленное развертывание
建造被感染的移民营	Построить зараженный жилой модуль
汇聚射线	Сфокусированный луч
脉冲炮	Импульсная пушка
研究红色按钮	Разработать «Большую красную кнопку»
购买XCMC-670型战斗装甲	Приобрести боевой скафандр ХСМС-670
购买88式劝服者	Приобрести «Убеждатор-88»
购买M.A.L.I.C.E.弹药	Приобрести снаряды «ЗЛОБА»
购买重锤牌爆射弹	Приобрести гранаты «Молот»
购买XM-77型矩阵发生器	Приобрести генератор матрицы ХМ-77
购买强化版爆破套件	Приобрести улучшенный боекомплект
购买N3网络	Приобрести сеть N3
购买神射手联网头盔	Приобрести сетевой шлем «Меткий стрелок»
购买尤摩扬炮台架	Приобрести умоджанский турельный каркас
哺育腔	Камера рождения
进化英勇刚毅	Развить исключительную стойкость
哺育栖地	Гнездовье рождения
进化美杜莎之刃	Развить лезвия медузы
部署虚空寻觅者号	Вызвать «Искатель Пустоты»
建造核弹头	Сборка ядерной боеголовки
吞食工蜂	Пожрать рабочего
强酸胆汁	Действенная желчь
肿胀胆管	Раздутые желчные протоки
培育爆蚊	Инкубация слепней
打开的箱子	Открытый ящик
变异成菌毯覆盖地	Мутировать в колонию слизи
掘地虫宿主	Мать ползунов
激光弹幕	Лазерный обстрел
研究地对空瞄准	Разработать систему наведения земля-воздух
G-4型集束炸弹	Кассетные бомбы G-4
野蛮冲锋	Бешеный рывок
大型尖刺厚皮	Сверхшипастая шкура
折跃黑暗执政官	Вызвать темного архонта
合成黑暗执政官	Перерождение в темного архонта
能量恢复光环	Аура восстановления энергии
折跃暗影猎手	Вызвать теневого охотника
折跃黑暗圣堂武士	Вызвать темного тамплиера
折跃复仇者	Вызвать мстителя
折跃虚空圣堂武士	Вызвать тамплиера Пустоты
取消隐形	Демаскировка
变异为蝎虫	Мутировать в осквернителя
致命触击	Вытягивание
进化致命触击	Развить вытягивание
骨板	Хитиновый панцирь
召唤原始战争之巢	Призвать изначального хранителя
召唤建筑	Призвать строение
隐形光环	Аура маскировки
空中爆囊	Взрывные воздушные камеры
召唤达克伦的巢穴	Призвать логово Дакруна
召唤达克伦	Призвать Дакруна
敏锐感官	Обостренное чутье
孵化原始工蜂	Породить изначального рабочего
飞行爆裂掘地虫	Летающие взрывные ползуны
飞行原始蝗虫	Летающие изначальные саранчиды
进化肾上腺体	Развить адреналиновые железы
进化甲壳	Улучшенный панцирь
进化孵化囊	Улучшенные инкубационные камеры
进化吸血	Улучшенное вытягивание здоровья
尖刺厚皮	Шипастая шкура
汇聚烈焰	Сфокусированный огонь
进化汇聚烈焰	Развить сфокусированный огонь
召唤格里维格的巢穴	Призвать логово Глевига
召唤格里维格	Призвать Глевига
神经胶原重组	Глиоцитарное восстановление
原始狂怒	Первозданная ярость
爆裂孢子	Разрывные споры
召唤原始主巢	Призвать изначальный улей
变异为原始主巢	Мутировать в изначальный улей
孵化原始刺蛇	Породить изначального гидралиска
原始战斗	Изначальный поединок
变异为原始虫穴	Мутировать в изначальное логово
进化突变	Развить мутации
进化原始甲壳等级1	Развить панцири изначальных зергов, уровень 1
进化原始甲壳等级2	Развить панцири изначальных зергов, уровень 2
进化原始甲壳等级3	Развить панцири изначальных зергов, уровень 3
进化原始攻击等级1	Развить атаку изначальных зергов, уровень 1
进化原始攻击等级2	Развить атаку изначальных зергов, уровень 2
进化原始攻击等级3	Развить атаку изначальных зергов, уровень 3
进化空中爆囊	Развить взрывные воздушные камеры
召唤穆尔瓦的巢穴	Призвать логово Мурвар
召唤穆尔瓦	Призвать Мурвар
原始重组	Изначальное возрождение
召唤原始蠕虫	Призвать изначального червя
强效胆汁喷流	Улучшенный поток желчи
召唤大型原始蠕虫	Призвать улучшенного изначального червя
德哈卡	Дехака
膨胀腮腺	Увеличенные околоушные железы
溶解强酸	Разъедающая кислота
孵化原始蟑螂	Породить изначального таракана
进化神经胶原重组	Развить глиоцитарное восстановление
原始蟑螂	Изначальный таракан
孵化原始蝗虫	Породить изначальных саранчидов
孵化爆裂掘地虫	Породить взрывного ползуна
践踏	Топот
孵化原始宿主	Породить изначального роевика
孵化原始雷兽	Породить изначального ультралиска
穿刺打击	Пронзающий удар
治疗适性	Восстановительная адаптация
孵化原始跳虫	Породить изначального зерглинга
引爆	Взорвать
腐蚀喷涌	Едкие брызги
隐形模块	Маскировочный модуль
净化回荡	Очищающее эхо
下载加鲁迪恩	Загрузить Гарудиона
下载西比恩	Загрузить Ципиона
下载奥莱利亚	Загрузить Олерию
下载阿什莱达	Загрузить Ашредара
下载戴米乌斯	Загрузить Дамиуса
下载阿德里恩	Загрузить Алдриона
德拉肯激光钻机范围攻击升级	Драккенская лазерная установка – атака по области – улучшение
德拉肯激光钻机攻击	Выстрел из драккенской лазерной установки
德拉肯激光钻机能量升级	Драккенская лазерная установка – энергия – улучшение
充能光束	Разогрев
神器强化：星蚀协议	Дар артефакта: протокол «Затмение»
救急医疗运输机	Аварийный медэвак
建造救急补给站	Построить аварийное хранилище
进入虫洞	Войти в кротовую нору
召唤充能水晶	Вызов заряженных кристаллов
进化深槽虫道	Развить глубинный тоннель
进化排放菌毯	Развить выработку слизи
进化阿巴瑟荆棘光环	[NYI] Evolve Abathur Thorns Aura
进化肉身掩体	Развить защитное покрытие
研究酸性酶	Разработать кислотные ферменты
进化应激骨片	Развить адаптивный панцирь
进化肾上腺激素	Развить всплеск адреналина
进化入侵繁殖	Развить агрессивную инкубацию
进化附属甲壳	Развить вспомогательный панцирь
进化腐蚀强酸	Развить едкую кислоту
进化再生性虫酸	Развить регенеративную кислоту
进化毒囊爆裂	Развить разрыв
进化尖刺弹幕	Развить «Шквал шипов»
进化快速轰炸	Развить скоростную бомбардировку
进化炮击导管	Развить артиллерийские каналы
进化生物机械哺液	Развить биомеханическое переливание
进化孔状软骨	Развить пористый хрящ
进化巢虫育生	Развить созревание симбионта
进化潜地冲锋	Развить подземный рывок
进化钙化装甲	Развить известковую броню
进化腐蚀黏液	Развить едкую слизь
进化强酸胆汁	Развить действенную желчь
进化肿胀胆管	Развить раздутые желчные протоки
进化骨板	Развить хитиновый панцирь
进化敏锐感官	Развить обостренное чутье
进化原始恢复	Развить изначальную регенерацию
进化腐蚀喷涌	Развить едкие брызги
进化溶解强酸	Развить разъедающую кислоту
进化膨胀腮腺	Развить увеличенные околоушные железы
进化爆裂孢子	Развить «Разрывные споры»
进化狂暴	Развить бешенство
进化霉菌滋生	Развить способность «Микоз»
进化加长散射	Развить увеличенную дисперсию
进化硬化甲壳	Развить усиленный панцирь
进化孵化腔	Развить инкубационную камеру
进化氢碘胆汁	Развить иодоводородную кислоту
进化穿刺打击	Развить пронзающий удар
进化强化诱捕	Развить улучшенное опутывание
进化3级感染	Развить заражение 3-го уровня
进化连锁反应	Развить цепную реакцию
进化技能专精	Развить эффективность способностей
进化技能效率	Развить эффективность способностей
进化残暴龙爪	Развить губительный чакрум
进化君王之刃	Развить королевские клинки
进化极速再生	Развить быструю регенерацию
研究染疫弹药	Разработать зараженные боеприпасы
进化原始重组	Развить изначальное возрождение
进化原始狂怒	Развить первозданную ярость
进化后虫初始能量全满	Развить королеву - максимальный изначальный запас энергии
进化后虫强化诱捕	Развить улучшенное опутывание королевы
进化虫母初始能量全满	Развить королеву - максимальный изначальный запас энергии
研究浸水培育	Разработать насыщенные культуры
进化视网增强	Развить усовершенствованную сетчатку
Evolve SISiegeTankAmmoCapacity	Evolve SISiegeTankAmmoCapacity
Evolve SISiegeTankTentacleWhileSieged	Evolve SISiegeTankTentacleWhileSieged
进化爆蚊额外生命值	Развить слепня - бонус к здоровью
进化简化基因组	Развить упрощенный геном
进化剧毒孢子	Развить вирулентные споры
进化震地脊刺	Развить сейсмические шипы
进化削铁刃虫	Развить разрывающий чакрум
进化变换甲壳	Развить подвижный панцирь
切割之爪	Режущий чакрум
Evolve Stukov Infested Civilian Relentless	Развить неудержимость у зараженных мирных жителей Стукова
研究厌氧强化	Разработать анаэробное усиление
进化裂骨龙爪	Развить взрывной чакрум
进化加压腺体	Развить нагнетательные железы
进化暴捶	Развить размягчение
进化组织同化	Развить ассимиляцию тканей
进化暴龙的保护	Развить тираническую защиту
进化凶猛龙爪	Развить губительный чакрум
麻痹勾刺	Паралитические шипы
进化麻痹勾刺	Развить паралитические шипы
剧毒细菌	Вирулентные микробы
进化剧毒细菌	Развить вирулентные микробы
进化切割利爪	Развить острые когти
加长热能射线枪	Дальнобойный термальный луч
重工厂科技实验室研究	Разработка в лаборатории завода
建造净化者议会	Построить конклав чистильщиков
启用隐形力场	Включить маскировочное поле
禁用隐形力场	Отключить маскировочное поле
建造强击机	Создать бомбардировщик
压制程序	Протокол подавления
折跃科罗拉里昂	Вызвать Клолариона
激活科罗拉里昂的智能人格	Матрица личности Клолариона активна
科罗拉里昂的智能人格准备完毕	Матрица личности Клолариона доступна
下载科罗拉里昂的智能人格	Загрузить матрицу Клолариона
科罗拉里昂的智能人格	Матрица личности Клолариона
制造拦截机	Создать перехватчик
太阳能射线	Солнечный луч
超载！	Перегрузка!
充能爆裂弹	Энергетический заряд
重力过载	Гравиметрическая перегрузка
重力碎裂炮	Гравитонные расщепители
研究重力过载	Разработать способность «Гравиметрическая перегрузка»
折跃卡尔达利斯	Вызвать Калдалиса
寻战	В бой!
充能利刃	Усиленные клинки
激活卡尔达利斯的智能人格	Матрица личности Калдалиса активна
卡尔达利斯的智能人格准备完毕	Матрица личности Калдалиса доступна
下载卡尔达利斯的智能人格	Загрузить матрицу Калдалиса
菲尼克斯 卡尔达利斯 狂热者 守护者之盾	Феникс – Калдалис (зилот) – Охранный щит
菲尼克斯 卡尔达利斯 狂热者 研究守护者之盾	Феникс – Калдалис (зилот) – разработать способность «Охранный щит»
卡尔达利斯的智能人格	Матрица личности Калдалиса
折跃摩约	Вызвать Моджо
动能飞弹	Силовые ракеты
激活摩约的智能人格	Матрица личности Моджо активна
摩约的智能人格准备完毕	Матрица личности Моджо доступна
下载摩约的智能人格	Загрузить матрицу Моджо
摩约的智能人格	Матрица личности Моджо
Fenix PH	Феникс
研究隐形模块	Разработать маскировочный модуль
研究净化回荡	Разработать способность «Очищающее эхо»
机动模式	Режим багги
折跃塔尔达林	Вызвать Талдарина
激活塔尔达林的智能人格	Матрица личности Талдарина активна
塔尔达林的智能人格准备完毕	Матрица личности Талдарина доступна
下载塔尔达林的智能人格	Загрузить матрицу Талдарина
塔尔达林的智能人格	Матрица личности Талдарина
折跃塔里斯	Вызвать Талис
激活塔里斯的智能人格	Матрица личности Талис активна
塔里斯的智能人格准备完毕	Матрица личности Талис доступна
下载塔里斯的智能人格	Загрузить матрицу Талис
菲尼克斯 塔里斯 使徒攻击 弹射	Феникс – Талис (адепт) – рикошет при убийстве
研究衰弱系统	Разработать ослабляющую систему
菲尼克斯 塔里斯 使徒 穿甲升级	Феникс – Талис (адепт) – улучшенное пронзание
菲尼克斯 塔里斯 使徒 研究穿甲升级	Феникс – Талис (адепт) – разработать способность «Улучшенное пронзание»
菲尼克斯 塔里斯 使徒 护盾升级	Феникс – Талис (адепт) – улучшенный щит
塔里斯的智能人格	Матрица личности Талис
震慑冲锋	Громовой рывок
折跃战争使者	Вызвать Вестника Войны
激活战争使者的智能人格	Матрица личности Вестника Войны активна
战争使者的智能人格准备完毕	Матрица личности Вестника Войны доступна
下载战争使者的智能人格	Загрузить матрицу Вестника Войны
菲尼克斯 战争使者 巨像 冰光束	Феникс – Вестник Войны (колосс) – ледяной луч
净化轰击	Очищающий взрыв
战争使者的智能人格	Матрица личности Вестника Войны
折跃干扰者	Вызвать дестабилизатор
最终神器力量	Последний дар артефакта
神器强化：原力炮	Дар артефакта: силовая пушка
建造幽灵军校	Построить академию призраков
幽灵军校研究2	Разработка в академии призраков 2
三连击	Тройной выстрел
易燃酸液	Обжигающая кислота
喷吐火焰	Огненный плевок
助燃腺体	Огненные железы
神器强化：重力加速器	Дар артефакта: гравиускорители
重力驱动器	Гравипривод
引力推进器	Гравиускорители
强效深槽虫道	Улучшенный глубинный тоннель
变异为大型蟑螂温室	Мутировать в большой рассадник тараканов
地面弹幕	Обстрел противоназемными ракетами
加长散射	Увеличенная дисперсия
耐力训练	Тренировка выносливости
建造至尊战列巡航舰	Построить крейсер «Суверен»
变回ATX激光炮组	Вернуть лазерные батареи
精确打击	Точечный удар
建造狮鹫	Построить «Грифон»
制造恶火	Построить «Геллион»
我的另一半	Вторая половинка
部署麦格天雷	Магнитные мины
无人机机库	Ангарная палуба
多线程传感器	Многопоточные сенсоры
建造忒伊亚铁鸦	Построить тейский «Ворон»
医疗舱	Ремонтная капсула
训练收割者	Обучить головореза
LE9型集束炸弹	Кластерные снаряды LE9
喷气背包加力	Перегрузка нитроускорителей
成像雷达	Визио-РЛС
建造汉的科技实验室	Построить лабораторию Миры
铁丝导弹	Ракеты «Нокаут»
建造女武神	Построить «Валькирию»
升级护甲等级1	Укрепить броню, уровень 1
升级护甲等级2	Укрепить броню, уровень 2
升级护甲等级3	Укрепить броню, уровень 3
升级武器等级1	Улучшить вооружение, уровень 1
升级武器等级2	Улучшить вооружение, уровень 2
升级武器等级3	Улучшить вооружение, уровень 3
加固强化辅助型精钢护甲	Улучшенная усиленная обшивка из неостали
建造德摩斯维京战机	Построить деймосский «Викинг»
撕裂弹	Патроны «Мясорубка»
狂暴飞弹	Ракеты «Д.И.Ч.»
制造寡妇雷	Построить мину «Вдова»
处决飞弹	Ракеты «Палач»
黑市发射器	Пусковые установки с черного рынка
建造阿斯忒瑞亚怨灵战机	Построить астерийский «Мираж»
未登记的隐形系统	Контрафактные устройства маскировки
超载反应堆	Перегрузка реактора
强化屏障	Улучшенный барьер
环心镰钩	Круговые зацепы
阿古斯水晶	Кристалл Аргуса
战斗感应器阵列	Сенсорная матрица
重力加速器	Гравиускорители
瞬时自动追踪	Высокоточное автослежение
KMC自动填弹装置	Келморийская автозаряжающая система
静滞校正	Калибровка стазиса
充气甲壳	Облегченный панцирь
金甲虫机壳	Отсеки скарабеев
简化基因组	Упрощенный геном
防暴护盾	Боевой щит
永恒屏障	Барьер вечности
原力炮	Силовая пушка
隐身模块	Маскировочный модуль
治疗无人机隐形治疗光束	Маскирующий исцеляющий луч медицинского дрона
能量潮涌	Волна плазмы
地狱火装甲	Инфернальная обшивка
折跃高阶执政官	Вызвать верховного архонта
心能水晶坠饰	Кайдариновый амулет
折跃晋升者	Вызвать посвященного
呼叫舰队	Вызов флота
兵营已禁用	Казармы отключены
混合体不朽者吞噬	Гибрид-бессмертный - поглощение
刺蛇已进化	Мутация гидралиска
折跃先锋	Вызвать ревнителя
折跃萨尔纳加执行者	Вызвать карателя зел-нага
脉冲增幅器	Импульсный усилитель
进化强化吞噬	Развить улучшенное поглощение
强化纳米修复	Улучшенный наноремонт
进化强化瘟疫	Развить улучшенную чуму
高级攻城科技	Улучшенные осадные технологии
酸性酶	Кислотные ферменты
孵化被感染的陆战队员	Создать зараженного морпеха
神器强化：无尽虚空	Дар артефакта: бескрайняя Пустота
幼虫注射	Ввод личинок
捕食者飞弹	Ракета «Хищник»
技能专精	Эффективность способностей
引力跃迁弹射器	Гравитонная катапульта искривления
快速恢复	Быстрая перезарядка
军械优化	Улучшенное снабжение
强化瞄准	Улучшение систем наведения
凯莫瑞安助手	Помощь келморийцев
震荡榴弹	Фугасные гранаты
毁灭炮塔	Разрывная турель
爆弹比利	«Взрывной Билли»
连锁反应	Цепная реакция
残暴龙爪	Губительный чакрум
进化隐形光环	Развить ауру маскировки
进化吞食	Развить «Пожирание»
进化破胆咆哮	Развить «Устрашающий рев»
进化跳跃	Развить «Прыжок»
进化灼热吐息	Развить «Чудовищное дыхание»
进化践踏	Развить «Топот»
进化横扫	Развить «Размах»
进化拖曳	Развить «Притягивание»
掠袭火炮	Ударная артиллерия
瞄准光学镜	Система оптического наведения
灼热吐息	Чудовищное дыхание
磁轨武器	Рельсотрон
重生巢穴	Возрождение гнезда
大规模佣兵投放	Массовая высадка наемников
感染空投	Зараженный десант
降低研究费用	Снижение стоимости разработки
肌理重构	Восстановительная ткань
美杜莎之刃	Лезвия медузы
强效治疗	Улучшенное лечение
联邦神鹰	Кондоры Конфедерации
精神控制	Подчинение
转转小子	Турель-карусель
折跃浩劫	Вызвать разрушитель
变异为尸体虫蟑螂	Мутировать в труповика
变异为守护者	Мутировать в стража
变为科技反应堆	Трансформация в лабораторный реактор
取消消音模式	Отключить режим маскировки
启动消音模式	Включить режим маскировки
观察者模式	Режим созерцания
孵化掘地虫	Породить ползунов
变异为潜伏者巢穴	Мутировать в пещеру скрытней
父级	Parent
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
购买糖果	Купить конфету
突变因子 混合体不朽者 死亡	Мутатор - гибрид-бессмертный - смерть
精钢指挥中心	Командный центр из неостали
相位反应堆战服	Костюм с фазовым реактором
飞行服	Прыжковый костюм
神器强化：新星电池	Дар артефакта: аккумулятор взрывов
禁用侦测能力	Отключить обнаружение
呼叫聚变打击	Запросить ядерный удар
防御无人机	Модуль точечной обороны
幽灵面罩	Визор призрака
破坏无人机	Диверсионный модуль
建造炸弹机器人	Построить взрывботы
装备炸弹机器人	Вооружиться взрывботами
装备闪光雷	Вооружиться светошумовыми гранатами
装备闪光雷被动	Вооружиться светошумовыми гранатами – пассивный эффект
