非晶态装甲云	無定型防護雲
该单位正在持续恢复生命值并且提高了攻击伤害。	此單位正在恢復生命值，且攻擊傷害提高。
该单位正在吸收所有针对它的伤害。	此單位會吸收受到的傷害。
该单位已隐形并且正在持续恢复生命值。	此單位處於匿蹤狀態並隨時間恢復生命值中。
目标当前处于昏迷状态，无法使用任何技能。	目標目前昏迷中，無法使用任何的技能。
该单位将爆炸，一小段时间后承受巨大伤害。	此單位會爆炸，在一小段時間之後承受大量傷害。
该单位提高了移动速度，且对伤害免疫。	此單位的移動速度提高，且免疫傷害。
该单位被拉拽至一个中心位置，同时陷入昏迷。	此單位被拉向中央且昏迷。
该不法之徒的主要技能的充能时间和冷却时间都缩短了。	這個亡命之徒的主要技能充能時間或冷卻時間降低。
该单位的屏障正在重新充能。	此單位的屏障充能中。
该精炼厂正为你和你的盟友采集额外的瓦斯。	這座瓦斯精煉廠正在為你和盟友採集額外的高能瓦斯。
该单位陷入了昏迷，并持续性地受到伤害。	此單位已昏迷，並且正不斷地受到傷害。
如果不摧毁死亡之握水晶，该单位将会死亡。	如果不盡快摧毀死亡之握水晶，這個單位會死亡。
该单位已隐形并且正在恢复护盾值。	此單位匿蹤且在恢復護盾值。
该单位临时提高了护盾值。	此單位的護盾值暫時提升。
该隐形或潜地单位的攻击伤害和能量回复率得到了提高。	此匿蹤或遁地單位的攻擊傷害與能量恢復速度已提高。
护盾恢复速度提高<d ref="Behavior,VorazunCloakedShieldRegen,Modification.VitalRegenMultiplier[Shields] * 100"/>%。	護盾恢復率提高<d ref="Behavior,VorazunCloakedShieldRegen,Modification.VitalRegenMultiplier[Shields] * 100"/>%。
该单位提供了攻击和移动速度。	此單位的移動和攻擊速度已提高。
该单位受到泽拉图的控制。它将在该效果结束后自毁。	此單位受到澤拉圖的控制。效果持續時間結束後，此單位會自行毀滅。
该单位最近已回撤至虚空，无法使用撤回阴影。	此單位最近才撤退回虛空，無法使用返回暗影。
该单位已回撤虚空，正在恢复生命自和护盾。	此單位撤退回到虛空，正在恢復生命值與護盾值。
该单位正在将自身投射至另一个位置。其武器和技能被禁用。	此單位在其他位置產生自身投影，因此停用它的武器與技能。
吸收最多<d ref="Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit"/>点伤害。	最多可吸收<d ref="Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit"/>點傷害。
该单位的移动和攻击速度提高<d ref="-100*Behavior,ZeratulSuppressionCrystalSuppression,Modification.AdditiveAttackSpeedFactor"/>%。	此單位的移動和攻擊速度降低<d ref="-100*Behavior,ZeratulSuppressionCrystalSuppression,Modification.AdditiveAttackSpeedFactor"/>%。
该单位的移动和攻击速度降低<d ref="-100*Behavior,ZeratulSuppressionCrystalSuppressionHeroic,Modification.AdditiveAttackSpeedFactor"/>%。	此單位的移動和攻擊速度降低<d ref="-100*Behavior,ZeratulSuppressionCrystalSuppressionHeroic,Modification.AdditiveAttackSpeedFactor"/>%。
该单位的护盾恢复速度提高了。	此單位正在加速恢復其護盾值。
目标正处于灵能阵风效果中，将在该效果范围内承受少量伤害。	目標受到幽能之風的效果影響，在該效果範圍內會受到少量傷害。
该单位的移动和攻击速度降低<d ref="-100*Behavior,ZeratulXelNagaConstructDevolveHeroic,Modification.AdditiveAttackSpeedFactor"/>%。	此單位的移動和攻擊速度降低<d ref="-100*Behavior,ZeratulXelNagaConstructDevolveHeroic,Modification.AdditiveAttackSpeedFactor"/>%。
该单位正在精华化身的影响下不断进化，攻击速度和伤害抵抗力提高了。	此單位在原質化身的影響之下，會持續進化，其攻擊速度和抵抗傷害的能力提升。
该单位已完全进化，攻击速度和伤害抵抗力都提高了。	此單位已完整進化，其攻擊速度和抵抗傷害的能力已完全提升。
处于精华化身周围的单位将不断进化，逐步提高攻击速度。	在原質化身附近的單位會持續進化，並使攻擊速度提升。
目标正处于灵能狂风的效果中，将在该效果范围内承受大量伤害。	目標受到幽能狂風的效果影響，在該效果範圍內會受到非常嚴重的傷害。
该单位的护甲被削减至0。	此單位的裝甲值已降低至0點。
</sp>	</sp>
<d ref="$BehaviorStackCount:AscendantSacrificeSelfBuff$"/>	<d ref="$BehaviorStackCount:AscendantSacrificeSelfBuff$"/>
<d ref="(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>	<d ref="(($BehaviorStackCount:BiomassBuff100$*100)+($BehaviorStackCount:BiomassBuff10$*10)+$BehaviorStackCount:BiomassBuff1$)"/>點
<c val="00ffff"><d ref="Effect,FenixChampionShellCountCarrier,Amount" player="current"/></c>	<c val="00ffff"><d ref="Effect,FenixChampionShellCountCarrier,Amount" player="current"/></c>
<c val="00ffff"><d ref="Effect,FenixChampionShellCountZealot,Amount" player="current"/></c>	<c val="00ffff"><d ref="Effect,FenixChampionShellCountZealot,Amount" player="current"/></c>
<c val="00ffff"><d ref="Effect,FenixChampionShellCountScout,Amount" player="current"/></c>	<c val="00ffff"><d ref="Effect,FenixChampionShellCountScout,Amount" player="current"/></c>
<c val="00ffff"><d ref="Effect,FenixChampionShellCountImmortal,Amount" player="current"/></c>	<c val="00ffff"><d ref="Effect,FenixChampionShellCountImmortal,Amount" player="current"/></c>
<c val="00ffff"><d ref="Effect,FenixChampionShellCountAdept,Amount" player="current"/></c>	<c val="00ffff"><d ref="Effect,FenixChampionShellCountAdept,Amount" player="current"/></c>
<c val="00ffff"><d ref="Effect,FenixChampionShellCountColossus,Amount" player="current"/></c>	<c val="00ffff"><d ref="Effect,FenixChampionShellCountColossus,Amount" player="current"/></c>
0	0
<d ref="$BehaviorStackCount:StukovInfestedBunkerMarines$"/>	<d ref="$BehaviorStackCount:StukovInfestedBunkerMarines$"/>
<d ref="$BehaviorStackCount:StukovInfestedSiegeTankAmmo$"/>	<d ref="$BehaviorStackCount:StukovInfestedSiegeTankAmmo$"/>
$	$
180	180
330毫米口径弹幕火炮	330毫米彈幕加農砲
震爆	震爆
勇敢的心	堅強的心靈
共生体	共生體
排放菌毯	產生蟲苔
分裂池已禁用	孵化池停止運作
爆虫孕育	毒爆蟲孵化
技能锁定	技能已鎖定
灵能投射	幽能延伸
Adept Shade Debuff	幽影之觸
浩劫探测	浩劫者偵測
研究浩劫探测	研發浩劫者偵測
献身	奉獻
超强能量	力量加身
空域追踪	對空鎖定
快速能量循环	快速能量循環
心灵传动	心靈傳動
供奉我	強化我的力量吧
血水晶共鸣	血岩晶體共振
闪电奔涌	電光脈衝
战斗精通	戰鬥專精
群体传送	群體傳送
研究相位护甲	研發相位裝甲
研究追猎者相位武装	研發屠敵者相位裝甲
力场冲击	能量震盪
追猎者相位武装	屠敵者相位裝甲
灵魂强化	靈魂強化
高阶领主之怒	大領主之怒
侦测弱点	偵測弱點
强者生存	強者生存
物质散化	物質散射
范围性治疗	範圍治療
潜地冲锋	遁地突襲
机枪扫射	機槍掃射
烈焰飞弹	火焰飛彈
反击	震退
静滞舱破坏者飞弹	靜滯艙摧毀飛彈
静滞舱破坏者炸弹	靜滯艙摧毀炸彈
福波斯武器系统	福波斯武器系統
研究鲜血护盾	研發血之護盾
军械库双重队列	兵工廠雙重佇列
炮击导管	砲擊導管
自行裂生	自動分裂
自动幼虫注射	自動產卵
自动炮塔黑色行动	秘密行動自動砲台
折跃古代吸纳舱	躍傳古代瓦斯處理廠
古代吸纳舱	古代瓦斯處理廠
神器强化：撤回阴影	神器強化：返回暗影
火箭弹幕	火箭彈幕
胆汁喷流	膽汁湧流
生物机械修理	生化機械維修
速效哺液	快速輸血
生物质搜集	收集的生物質
标记生物质收集者	標記生物質收集者
相位反应堆	相位反應爐
正在修理	修復
孔状软骨	中空軟骨
变形为莽兽	變形為殘暴蟲
制造战列巡航舰	建造戰巡艦
变异为胆汁喷射体	突變為酸液砲
变异萃取房	突變萃取巢
建造德拉肯激光钻机	建造達肯雷射鑽洞機
训练瓦斯采集器	建造高能瓦斯採集機
训练火蝠	訓練火焰兵
建造攻击战斗机平台	建造攻擊轟炸機平台
建造突击炮舰	建造突擊戰艦
建造科技实验室	建造科技實驗室
部署生物机械修理无人机	部署生化機械自動維修機
建造转转小子	建造旋轉迪奇
建造毁灭炮塔	建造毀滅砲台
建造爆弹比利	建造爆破比利
折跃凯达琳巨石	躍傳凱達林水晶碑
建造解放者	建造解放者
变异为潜伏者	變形為遁地獸
建造热辣贝蒂	建造火焰貝蒂
折跃掠夺者	躍傳掠殺者
建造被感染的科技实验室	建造受感染的科技實驗室
折跃风暴战舰	躍傳暴風艦
制造雷神	建造雷神
建造乔伊·雷酒吧	建造喬伊瑞酒吧
建造医疗运输机平台	建造醫療艇平台
制造单位已锁定	建造單位已鎖定
建造高能瓦斯钻机	建造高能瓦斯鑽探機
变异为飞蛇	變形為飛蟒
建造虚空裂痕	產生虛空裂隙
神器干扰	神器干擾
卡度休斯反应堆	醫療反應爐
召唤双重矿骡	空投雙重礦騾
光子炸弹	光子炸彈
神器强化：集束新星	神器強化：集束光球
战斗怒吼	戰鬥怒吼
时空扭曲	時間扭曲
折跃天罚行者	躍傳怒行者
进化为利维坦	進化成利維坦
灵魂之匣	靈魂聖匣
守护之壳	守護光盾
自由激进	自由基
为陛下让路	讓位於王
研究军械优化	研發軍械改良
折跃光子炮台	躍傳光子加農砲
变异为虫道网络	突變為蟲殖地網
狮鹫号空袭	獅鷲艦空襲
研究狱火爆弹	研發獄火爆彈
随机应变	隨機應變
轨道空投：矿骡	空投：礦騾
远程部署	遠端部署
建造被感染的移民营	建造受感染的殖民基地
汇聚射线	集束光線
脉冲炮	脈衝加農砲
研究红色按钮	研發限制解除
购买XCMC-670型战斗装甲	購買XCMC-670戰鬥套裝
购买88式劝服者	購買88式說服者頭盔
购买M.A.L.I.C.E.弹药	購買M.A.L.I.C.E.彈藥補給
购买重锤牌爆射弹	購買巨錘彈
购买XM-77型矩阵发生器	購買XM-77矩陣產生器
购买强化版爆破套件	購買強化戰意套件
购买N3网络	購買N3網路連結
购买神射手联网头盔	購買射必中連網頭盔
购买尤摩扬炮台架	購買尤摩捷砲台機架
召回	召喚
哺育腔	孵化室
进化英勇刚毅	進化英勇耐力
哺育栖地	產蟲巢穴
进化美杜莎之刃	進化梅杜莎之刃
部署虚空寻觅者号	部署虛空追尋者
建造核弹头	核彈建造中
吞食工蜂	吞噬工蟲
强酸胆汁	強酸體液
肿胀胆管	肥大體液導管
打开的箱子	打開的箱子
变异成菌毯覆盖地	突變為蟲苔殖穴
掘地虫宿主	飛蝗獸
激光弹幕	雷射彈幕
净化	淨化
研究地对空瞄准	研發地對空鎖定
G-4型集束炸弹	G-4集束炸藥
野蛮冲锋	殘暴衝鋒
大型尖刺厚皮	巨型尖刺蟲皮
折跃黑暗执政官	躍傳黑暗執政官
合成黑暗执政官	合併黑暗執政官
能量恢复光环	能量恢復靈氣
折跃暗影猎手	躍傳暗影獵人
折跃黑暗圣堂武士	躍傳黑暗聖堂武士
折跃复仇者	躍傳復仇者
折跃虚空圣堂武士	躍傳虛空聖堂武士
取消隐形	解除匿蹤
变异为蝎虫	變形為破壞蠍
致命触击	致命攫取
进化致命触击	進化致命攫取
骨板	幾丁化甲殼
召唤原始战争之巢	召喚原生守衛
召唤建筑	召喚建築
隐形光环	匿蹤靈氣
空中爆囊	空爆囊
召唤达克伦的巢穴	召喚達克朗的巢穴
召唤达克伦	召喚達克朗
敏锐感官	敏銳感官
孵化原始工蜂	孵化原生工蟲
飞行爆裂掘地虫	爆炸飛蝗
飞行原始蝗虫	原生飛蝗
进化肾上腺体	進化腎上腺素
进化甲壳	進化蟲殼
进化孵化囊	進化育卵囊
进化吸血	進化生命竊取
尖刺厚皮	尖刺蟲皮
汇聚烈焰	火焰集灼
进化汇聚烈焰	進化火焰集灼
召唤格里维格的巢穴	召喚葛雷維格的巢穴
召唤格里维格	召喚葛雷維格
神经胶原重组	重建膠質
原始狂怒	原生兇猛
爆裂孢子	爆炸孢子
召唤原始主巢	召喚原生蟲巢獸
变异为原始主巢	突變為原生蟲巢獸
孵化原始刺蛇	孵化原生刺蛇
原始战斗	原生之戰
变异为原始虫穴	突變為原生蟲穴獸
进化突变	進化突變
进化原始甲壳等级1	進化原生蟲殼等級1
进化原始甲壳等级2	進化原生蟲殼等級2
进化原始甲壳等级3	進化原生蟲殼等級3
进化原始攻击等级1	進化原生攻擊等級1
进化原始攻击等级2	進化原生攻擊等級2
进化原始攻击等级3	進化原生攻擊等級3
飞扑	俯衝
进化空中爆囊	進化空爆囊
召唤穆尔瓦的巢穴	召喚莫瓦的巢穴
召唤穆尔瓦	召喚莫瓦
原始重组	原生重組
召唤原始蠕虫	召喚原生蠕蟲
强效胆汁喷流	巨蟲膽汁湧流
召唤大型原始蠕虫	召喚大型原生蠕蟲
德哈卡	德哈卡
膨胀腮腺	增大唾腺
溶解强酸	溶蝕強酸
孵化原始蟑螂	孵化原生蟑螂
进化神经胶原重组	進化重建膠質
原始蟑螂	原生蟑螂
孵化原始蝗虫	孵化原生蝗蟲
孵化爆裂掘地虫	孵化爆炸飛蝗
践踏	重踏
孵化原始宿主	孵化原生百生獸
孵化原始雷兽	孵化原生雷獸
穿刺打击	猛力痛擊
治疗适性	再生適應力
孵化原始跳虫	孵化原生異化蟲
引爆	爆炸
腐蚀喷涌	酸液噴灑
衰变	崩解
隐形模块	匿蹤組件
净化回荡	淨化共鳴
下载加鲁迪恩	下載加魯迪昂的資料
下载西比恩	下載賽皮昂的資料
下载奥莱利亚	下載歐雷利亞的資料
下载阿什莱达	下載艾胥瑞達的資料
下载戴米乌斯	下載達謬斯的資料
下载阿德里恩	下載艾爾崔昂的資料
德拉肯激光钻机范围攻击升级	達肯雷射鑽洞機 - 範圍攻擊升級
德拉肯激光钻机攻击	達肯雷射鑽洞機攻擊
德拉肯激光钻机能量升级	達肯雷射鑽洞機 - 能量升級
充能光束	超載光束
神器强化：星蚀协议	神器強化：日蝕協定
救急医疗运输机	緊急醫療艇
建造救急补给站	建造緊急補給站
进入虫洞	進入蟲洞
召唤充能水晶	召喚充能水晶
进化深槽虫道	進化深度挖掘
进化排放菌毯	進化產生蟲苔
进化阿巴瑟荆棘光环	進化阿巴瑟棘刺靈氣
进化肉身掩体	進化防禦罩
研究酸性酶	研發酸性酵素
进化应激骨片	進化特化甲殼
进化肾上腺激素	[PH]進化激素分泌
进化入侵繁殖	進化重度感染
进化附属甲壳	進化輔助性蟲殼
进化腐蚀强酸	進化腐蝕酸液
进化再生性虫酸	進化再生酸液
进化毒囊爆裂	進化爆裂
进化尖刺弹幕	進化尖刺彈幕
进化快速轰炸	進化快速砲擊
进化炮击导管	進化砲擊導管
进化生物机械哺液	進化生化機械輸血
进化孔状软骨	進化中空軟骨
进化巢虫育生	進化寄生蟲宿主
进化潜地冲锋	進化遁地突襲
进化钙化装甲	進化硬化裝甲
进化腐蚀黏液	進化酸蝕黏液
进化强酸胆汁	進化強酸體液
进化肿胀胆管	進化肥大體液導管
进化骨板	進化幾丁化甲殼
进化敏锐感官	進化敏銳感官
进化原始恢复	進化原生種再生能力
进化腐蚀喷涌	進化酸液噴灑
进化溶解强酸	進化溶蝕強酸
进化膨胀腮腺	進化增大唾腺
进化爆裂孢子	進化爆炸孢子
进化狂暴	進化狂怒
进化霉菌滋生	進化真菌增生
进化加长散射	進化遠距轟擊
进化硬化甲壳	進化硬化蟲殼
进化孵化腔	進化育卵室
进化氢碘胆汁	進化氫碘酸液
进化穿刺打击	進化猛力痛擊
进化强化诱捕	進化強化黏液
进化3级感染	進化感染等級3
进化连锁反应	進化連鎖反應
进化技能专精	進化效率強化
进化技能效率	進化效率強化
进化残暴龙爪	進化惡毒之刃
进化君王之刃	進化王者之刃
进化极速再生	進化快速再生
研究染疫弹药	研發疫病武器
进化原始重组	進化原生重組
进化原始狂怒	進化原生兇猛
进化后虫初始能量全满	進化后蟲初始能量值全滿
进化后虫强化诱捕	進化后蟲強化黏液
进化虫母初始能量全满	進化后蟲初始能量值全滿
研究浸水培育	研發飽和培養菌
进化视网增强	進化強化視網膜
Evolve SISiegeTankAmmoCapacity	進化斯杜科夫感染_攻城坦克_彈藥裝載量
Evolve SISiegeTankTentacleWhileSieged	進化斯杜科夫感染_攻城坦克_攻城模式觸手
进化爆蚊额外生命值	進化自殺蟲額外生命值
进化简化基因组	進化簡化基因組
进化剧毒孢子	進化劇毒孢子
进化震地脊刺	進化震地脊刺
进化削铁刃虫	進化截斷之刃
进化变换甲壳	進化移形蟲殼
Evolve Stukov Infested Civilian Relentless	進化斯杜科夫受感染的平民奮戰不懈
研究厌氧强化	研發瞬間體能強化
进化裂骨龙爪	進化碎裂之刃
进化加压腺体	進化增壓腺體
进化暴捶	進化軟化
进化组织同化	進化組織同化
进化暴龙的保护	進化暴虐防護
进化凶猛龙爪	進化惡毒之刃
麻痹勾刺	癱瘓毒刺
进化麻痹勾刺	進化癱瘓毒刺
剧毒细菌	劇毒微生物
进化剧毒细菌	進化劇毒微生物
进化切割利爪	進化撕裂爪
加长热能射线枪	遠程熱能射線
重工厂科技实验室研究	軍工廠科技實驗室研發
建造净化者议会	建造淨化者秘密議會
启用隐形力场	開啟匿蹤力場
禁用隐形力场	關閉匿蹤力場
建造强击机	建造干擾機
压制程序	火力壓制程序
折跃科罗拉里昂	躍傳庫勒瑞安
激活科罗拉里昂的智能人格	啟用庫勒瑞安的A.I.人格
科罗拉里昂的智能人格准备完毕	可啟用庫勒瑞安的A.I.人格
下载科罗拉里昂的智能人格	下載庫勒瑞安的A.I.人格
科罗拉里昂的智能人格	庫勒瑞安的A.I.人格
制造拦截机	建造攔截機
太阳能射线	日炎光束
超载！	超載中！
充能爆裂弹	充能光彈
重力过载	重力超載
重力碎裂炮	重力阻斷器
研究重力过载	研發重力超載
折跃卡尔达利斯	躍傳卡達利斯
寻战	迎戰
充能利刃	強化之刃
激活卡尔达利斯的智能人格	啟用卡達利斯的A.I.人格
卡尔达利斯的智能人格准备完毕	可啟用卡達利斯的A.I.人格
下载卡尔达利斯的智能人格	下載卡達利斯的A.I.人格
菲尼克斯 卡尔达利斯 狂热者 守护者之盾	菲尼克斯 - 卡達利斯 - 狂戰士 - 守護者護盾
菲尼克斯 卡尔达利斯 狂热者 研究守护者之盾	菲尼克斯 - 卡達利斯 - 狂戰士 - 研發守護者護盾
卡尔达利斯的智能人格	卡達利斯的A.I.人格
折跃摩约	躍傳摩裘
动能飞弹	力場飛彈
激活摩约的智能人格	啟用摩裘的A.I.人格
摩约的智能人格准备完毕	可啟用摩裘的A.I.人格
下载摩约的智能人格	下載摩裘的A.I.人格
摩约的智能人格	摩裘的A.I.人格
Fenix PH	菲尼克斯
研究隐形模块	研發匿蹤組件
研究净化回荡	研發淨化共鳴
机动模式	載具模式
折跃塔尔达林	躍傳塔德林
激活塔尔达林的智能人格	啟用塔德林的A.I.人格
塔尔达林的智能人格准备完毕	可啟用塔德林的A.I.人格
下载塔尔达林的智能人格	下載塔德林的A.I.人格
塔尔达林的智能人格	塔德林的A.I.人格
折跃塔里斯	躍傳泰莉絲
激活塔里斯的智能人格	啟用泰莉絲的A.I.人格
塔里斯的智能人格准备完毕	可啟用泰莉絲的A.I.人格
下载塔里斯的智能人格	下載泰莉絲的A.I.人格
菲尼克斯 塔里斯 使徒攻击 弹射	菲尼克斯泰莉絲教士致命彈跳
研究衰弱系统	研發致殘系統
菲尼克斯 塔里斯 使徒 穿甲升级	菲尼克斯泰莉絲教士穿刺升級
菲尼克斯 塔里斯 使徒 研究穿甲升级	研發菲尼克斯泰莉絲教士穿刺升級
菲尼克斯 塔里斯 使徒 护盾升级	菲尼克斯泰莉絲教士護盾升級
塔里斯的智能人格	泰莉絲的A.I.人格
震慑冲锋	雷鳴衝鋒
折跃战争使者	躍傳戰爭使者
激活战争使者的智能人格	啟用戰爭使者的A.I.人格
战争使者的智能人格准备完毕	可啟用戰爭使者的A.I.人格
下载战争使者的智能人格	下載戰爭使者的A.I.人格
菲尼克斯 战争使者 巨像 冰光束	菲尼克斯 - 戰爭使者 - 巨像 - 冰凍光束
净化轰击	淨化砲擊
战争使者的智能人格	戰爭使者的A.I.人格
折跃干扰者	躍傳裂光球
最终神器力量	最終神器之力
神器强化：原力炮	神器強化：強力加農砲
建造幽灵军校	建造幽靈特務學院
幽灵军校研究2	幽靈特務學院研發2
三连击	三連狙擊
易燃酸液	易燃強酸
喷吐火焰	噴火
助燃腺体	易燃腺體
神器强化：重力加速器	神器強化：重力加速器
重力驱动器	重力引擎
引力推进器	重力推進器
强效深槽虫道	巨蟲深度挖掘
变异为大型蟑螂温室	突變為巨型蟑螂繁殖場
地面弹幕	地面飛彈齊射
加长散射	遠距轟擊
耐力训练	耐力訓練
建造至尊战列巡航舰	建造至高級戰巡艦
变回ATX激光炮组	切換為ATX雷射砲
精确打击	精密轟炸
建造狮鹫	建造獅鷲戰機
制造恶火	建造惡狼
我的另一半	合作無間
部署麦格天雷	部署磁力機雷
无人机机库	無人機機棚
多线程传感器	多執行緒感應器
建造忒伊亚铁鸦	建造提亞渡鴉
医疗舱	維修艙
训练收割者	訓練死神
LE9型集束炸弹	LE9集束炸藥
喷气背包加力	噴射背包超載
成像雷达	造影雷達
建造汉的科技实验室	建造米拉‧韓的科技實驗室
铁丝导弹	怒風飛彈
建造女武神	建造女武神
升级护甲等级1	升級裝甲等級1
升级护甲等级2	升級裝甲等級2
升级护甲等级3	升級裝甲等級3
升级武器等级1	升級武器等級1
升级武器等级2	升級武器等級2
升级武器等级3	升級武器等級3
加固强化辅助型精钢护甲	強化改良版生化鋼鐵裝甲
建造德摩斯维京战机	建造德摩斯維京戰機
撕裂弹	碎裂彈
狂暴飞弹	W.I.L.D.飛彈
制造寡妇雷	建造寡婦詭雷
处决飞弹	處決者飛彈
黑市发射器	黑市發射器
建造阿斯忒瑞亚怨灵战机	建造阿斯提利亞亡靈戰機
未登记的隐形系统	不合法的匿蹤系統
超载反应堆	超載反應爐
强化屏障	強化能量屏障
环心镰钩	離心蟲鉤
阿古斯水晶	阿格斯水晶
战斗感应器阵列	戰鬥感測序列
重力加速器	重力加速器
瞬时自动追踪	高警備自動追蹤
KMC自动填弹装置	凱爾莫瑞亞自動填裝器
静滞校正	靜滯校準
充气甲壳	蟲殼導流
金甲虫机壳	聖甲蟲容納倉
简化基因组	簡化基因組
防暴护盾	戰鬥盾牌
永恒屏障	永恆屏障
原力炮	強力加農砲
隐身模块	匿蹤組件
治疗无人机隐形治疗光束	維修機 - 匿蹤 - 修復光束
能量潮涌	電漿融合
地狱火装甲	地獄裝甲
折跃高阶执政官	躍傳高階執政官
心能水晶坠饰	凱達林水晶項鍊
折跃晋升者	躍傳飛升者
呼叫舰队	呼叫艦隊
兵营已禁用	兵營 - 無法使用
混合体不朽者吞噬	混源體不朽者吞噬
刺蛇已进化	刺蛇進化了
折跃先锋	躍傳先驅者
折跃萨尔纳加执行者	躍傳薩爾納加執法者
脉冲增幅器	脈衝增幅器
进化强化吞噬	進化強化吞噬
强化纳米修复	強化奈米修復
进化强化瘟疫	進化強化瘟疫
高级攻城科技	強化攻城科技
酸性酶	酸性酵素
孵化被感染的陆战队员	孵化受感染的陸戰隊
神器强化：无尽虚空	神器強化：無盡虛空
幼虫注射	生產幼蟲
捕食者飞弹	獵殺飛彈
技能专精	效率強化
引力跃迁弹射器	重力子躍傳彈射器
快速恢复	快速充能
军械优化	軍械改良
强化瞄准	強化鎖定
凯莫瑞安助手	凱爾莫瑞亞援助
震荡榴弹	震撼彈
毁灭炮塔	毀滅砲台
爆弹比利	爆破比利
连锁反应	連鎖反應
残暴龙爪	惡毒之刃
进化隐形光环	進化匿蹤靈氣
进化吞食	進化吞噬
进化破胆咆哮	進化破膽咆哮
进化跳跃	進化躍擊
进化灼热吐息	進化灼燒之息
进化践踏	進化重踏
进化横扫	進化揮擊
进化拖曳	進化拖曳
解放者强化对空射程	解放者強化對空範圍
掠袭火炮	突擊砲轟
加载	載入
瞄准光学镜	雷射鎖定儀
灼热吐息	灼燒之息
磁轨武器	磁軌武器
重生巢穴	復活蟲巢
大规模佣兵投放	空投大批傭兵
感染空投	空投囊
降低研究费用	研發費用降低
肌理重构	組織重建
美杜莎之刃	梅杜莎之刃
强效治疗	強效治療
联邦神鹰	聯邦神鷹
精神控制	心靈控制
转转小子	旋轉迪奇
折跃浩劫	躍傳浩劫者
变异为尸体虫蟑螂	變形為屍獸蟑螂
变异为守护者	變形為守護者
变为科技反应堆	轉換為科技反應爐
取消消音模式	取消無聲模式
启动消音模式	啟用無聲模式
观察者模式	守望模式
孵化掘地虫	孵化飛蝗
变异为潜伏者巢穴	突變為遁地獸穴
父级	父項
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
购买糖果	買糖果
突变因子 混合体不朽者 死亡	異變戰場混源體不朽者 - 死亡
精钢指挥中心	新型鋼鐵指揮中心
相位反应堆战服	相位反應爐戰鬥服
飞行服	噴射服
神器强化：新星电池	神器強化：光球砲轟
禁用侦测能力	停用偵測
呼叫聚变打击	呼叫核彈
防御无人机	防禦無人機
幽灵面罩	幽靈顯示鏡
破坏无人机	破壞無人機
建造炸弹机器人	建造炸彈機器人
装备炸弹机器人	裝備炸彈機器人
装备闪光雷	裝備閃光手榴彈
装备闪光雷被动	裝備閃光手榴彈 - 自動
装备脉冲手雷	裝備脈衝手榴彈
装备脉冲手雷被动	裝備脈衝手榴彈 - 自動
装备超级强化剂	裝備超級戰鬥藥劑
建造闪光弹	製造閃光手榴彈
战术空运	戰術空運
未装备配装	未裝備任何裝置
未装备武器	未裝備任何武器
诺娃奥丁歼灭	諾娃 - 歐丁 - 殲滅
诺娃复活信标传送	諾娃 - 復活 - 信標 - 傳送
极速恢复	立刻再生
眩晕无人机	震撼無人機
潜行模式	匿蹤模式
建造防御矩阵	建造防禦矩陣
锁定飞弹	癱瘓飛彈
战术聚变打击	戰術核彈攻擊
建造烟雾弹	製造煙霧手榴彈
装备霰弹步枪	裝備步槍
装备地狱火霰弹枪	裝備獄焰霰彈槍
装备改良式霰弹步枪	裝備強化步槍
穿透爆弹	穿甲轟擊
装备常胜狙击枪	裝備常勝狙擊槍
装备单分子光刀	裝備分子光刀
装备灵能步枪	裝備幽能步槍
换装	更換裝備
战术聚变打击和全息诱饵	戰術核彈攻擊與投影誘餌
奥丁突杀	奧丁 - 衝鋒攻擊
奥丁获得弹幕	奧丁獲得彈幕
建造奥丁MKII	建造奧丁MK II
变异为虫道网络欧米茄	突變為終極地網
轨道吸纳舱	軌道瓦斯處理廠
空投：补给站	空投：補給站
轨道空投	星軌空投艙
命令运载车辆撤退	命令運載單位撤退
命令运载车辆前往目标点	命令運載單位前往目標
鲜血护盾	血之護盾
漩流弹	漩渦彈
被动轨道轰炸	自動軌道砲擊
太阳能负载	日炎甲蟲
原型护盾阵列	原型護盾陣列
T.H.O.R.N.S.还击系统	棘刺復仇系統
能量恢复速度与武器射程	能量恢復速度/武器射程
移动速度与生命恢复光环	移動速度/生命值恢復速度靈氣
运载车辆升级3a	運載升級靈氣3a
运载车辆升级3b	運載升級靈氣3b
运载车辆升级4a	運載升級靈氣4a
运载车辆升级4b	運載升級靈氣4b
热辣贝蒂	火焰貝蒂
神器强化：相位电池	神器強化：相位電池
搜集（+50 瓦斯）	採集（+50個單位的瓦斯）
搜集（+25 晶体矿）	採集（+25個單位的晶礦）
搜集（+50 晶体矿）	採集（+50個單位的晶礦）
放置虫洞	放置蟲洞
定点防御无人机黑色行动	秘密行動定點防禦無人機
预判闪现	預知瞬移
原始守护者	原生守護者
原始宿主	原生百生獸
原始刺蛇	原生刺蛇
原始点火虫	原生火蟑螂
原始穿刺者	原生刺獸
原始异龙	原生飛螳
破坏	嗜血凌虐
原始雷兽	原生雷獸
