非晶态装甲云	Nube de blindaje amorfa
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>战斗单位造成的伤害降低<s val="Coop_Prestige_Tooltip"><d ref="(1-PlayerResponse,CommanderPrestigeVorazunStasisDamageReduction,ModifyFraction)*100"/></s>%。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> Las unidades de combate infligen un <s val="Coop_Prestige_Tooltip"><d ref="(1-PlayerResponse,CommanderPrestigeVorazunStasisDamageReduction,ModifyFraction)*100"/></s>% menos de daño.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>友方单位被召回到最近的星灵枢纽或黑暗水晶塔，并且恢复全部的生命值和护盾值。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> Retira todas las unidades amistosas al nexo o pilón tétrico más cercano y les restaura la vida y los escudos al máximo.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>该技能会在效果持续时间内每秒使敌人损失<s val="Coop_Prestige_Tooltip"><d ref="Effect,CommanderPrestigeVorazunStasisDamage,Amount/Behavior,CommanderPrestigeVorazunStasisDoT,Period"/></s>点生命值。该效果无法致死。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> Esta habilidad provoca que los enemigos seleccionados pierdan <s val="Coop_Prestige_Tooltip"><d ref="Effect,CommanderPrestigeVorazunStasisDamage,Amount/Behavior,CommanderPrestigeVorazunStasisDoT,Period"/></s> de vida por segundo mientras dura el efecto. Este efecto no puede matar.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>时间停止可以对目标施放，并且会在效果生效地点复活所有阵亡的暗影卫队。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> Detener tiempo puede seleccionar un objetivo y resucita a todos los guardias de las sombras perdidos en la ubicación del efecto.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>额外孵化<s val="Coop_Prestige_Tooltip"><d ref="Abil,ZagaraVoidCoopBanelingSpawnerTrain,InfoArray[Train1].Charge.CountMax"/></s>只爆虫。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> Engendra <s val="Coop_Prestige_Tooltip"><d ref="Abil,ZagaraVoidCoopBanelingSpawnerTrain,InfoArray[Train1].Charge.CountMax"/></s> pesteling más.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>该单位的生命值恢复速度提高。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> Esta unidad tiene más regeneración de salud.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>群体狂暴只会影响扎加拉和她的召唤单位。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> Frenesí en masa solo afecta a Zagara y a sus unidades invocadas.
爆蚊巢穴自动孵化爆蚊。	Los nidos de hostigadores engendran hostigadores de forma automática.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>扎加拉的最大补给数提高到150。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> El máximo de suministros de Zagara aumenta a 150.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>扎加拉的爆蚊巢穴数量限制为1个。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> El límite de nidos de hostigadores de Zagara es 1.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>额外孵化1只爆蚊。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> Engendra un hostigador más.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>扎加拉的生命值和能量恢复速度提高。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> Zagara tiene más salud y regeneración de energía.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>额外孵化1只跳虫。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> Engendra un zergling más.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>可以收集的神器碎片还有<s val="Coop_Prestige_Tooltip"><d ref="Effect,ZeratulArtifactLimitDummy,Amount"/></s>个。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> Solo se pueden recoger <s val="Coop_Prestige_Tooltip"><d ref="Effect,ZeratulArtifactLimitDummy,Amount"/></s> fragmentos del artefacto.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>可以收集的神器碎片没有数量限制。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> Se puede recoger un número ilimitado de fragmentos del artefacto.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>每收集一个神器碎片都会使冷却时间缩短<s val="Coop_Prestige_Tooltip"><d time="[d ref='$UpgradeEffectArrayValue:CommanderPrestigeZeratulTornadoesShadowCleave1:Abil,ZeratulShadowCleave,Cost[0].Cooldown.TimeUse$'/]"/></s>秒。暗影顺劈生成一个龙卷风，可以对敌方单位造成伤害并使其减速。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestigio:</s> Cada fragmento del artefacto recogido reduce <s val="Coop_Prestige_Tooltip"><d time="[d ref='$UpgradeEffectArrayValue:CommanderPrestigeZeratulTornadoesShadowCleave1:Abil,ZeratulShadowCleave,Cost[0].Cooldown.TimeUse$'/]"/></s> segundos el tiempo de reutilización. Cuchilla de las sombras engendra un tornado que inflige daño y ralentiza a las unidades enemigas.
在目标位置部署虚空寻觅者号，使范围内的所有友方单位和建筑隐形，且无法被侦测，持续<d ref="Effect,CommanderPrestigeZeratulVoidSeekerSuperCloakCP,PeriodCount*Effect,CommanderPrestigeZeratulVoidSeekerSuperCloakCP,PeriodicPeriodArray[0]"/>秒。	Despliega el Buscador de vacío en la ubicación objetivo, lo que oculta todas las unidades y estructuras amistosas en la zona y las vuelve indetectables. Dura <d ref="Effect,CommanderPrestigeZeratulVoidSeekerSuperCloakCP,PeriodCount*Effect,CommanderPrestigeZeratulVoidSeekerSuperCloakCP,PeriodicPeriodArray[0]"/> segundos.
空投4台武装机器人，将着陆地点的敌方地面单位击晕。武装机器人可被控制，持续<d ref="Behavior,ARESTimedLife,Duration"/>秒。	Solicita 4 robots de guerra A.R.E.S. que aturden a las unidades terrestres enemigas en la zona de aterrizaje. Los robots de guerra se pueden controlar y luchan durante <d ref="Behavior,ARESTimedLife,Duration"/> segundos.
将扎加拉的爆虫进化为分裂虫变种。<n/><n/>自毁型单位。死亡时能够造成小范围的伤害。在其死后分裂成若干个小单位。<n/><n/><c val="ffff8a">可以对地。</c>	Los pesteling de Zagara evolucionan a la cepa de plaga<n/><n/>Unidad suicida. Al morir, inflige daño en una zona reducida y se divide en unidades más pequeñas. <n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
泽拉图每找到一块神器碎片，就会获得额外的护盾、暗影顺劈伤害提高以及额外的闪现使用次数。	Zeratul obtendrá escudos adicionales, aumentará el daño de cuchilla de las sombras y traslación tendrá cargas adicionales con cada fragmento del artefacto que encuentre.
核弹头卡车建造中。<n/><n/><c val="F2BE0D">建造结束后，你和你的盟友可以直接控制他们。</c>	Camiones de carga nuclear en construcción.<n/><n/><c val="F2BE0D">Cuando estén listos, tu aliado y tú tendréis control directo sobre ellos.</c>
吞噬一只工蜂可以使德哈卡的重生倒计时缩短<d ref="Effect,DehakaDroneReviveTimerRefLink,Amount * (-1)"/>秒。	Consume un zángano para reducir el tiempo de resurrección de Dehaka <d ref="Effect,DehakaDroneReviveTimerRefLink,Amount * (-1)"/> segundos.
孵化6只原始蝗虫进行战斗，持续<d ref="Behavior,DehakaLocustTimedLife,Duration"/>秒。	Engendra 6 langostas primigenias que luchan durante <d ref="Behavior,DehakaLocustTimedLife,Duration"/> segundos.
孵化6只原始蝗虫和6只爆裂掘地虫进行战斗，持续<d ref="Behavior,DehakaLocustTimedLife,Duration"/>秒。	Engendra 6 langostas primigenias y 6 propagadores explosivos que luchan durante <d ref="Behavior,DehakaLocustTimedLife,Duration"/> segundos.
对目标区域内的所有敌方单位发射强酸，降低他们的攻击速度和护甲。叠加3次。	Lanza ácido a todas las unidades enemigas en el área seleccionada, lo que reduce su velocidad de ataque y su armadura. Se acumula 3 veces.
破坏者的腐蚀胆汁的伤害提高<d ref="Upgrade,RavagerCorrosiveBileDamageIncrease,EffectArray[0].Value"/>点。	Aumenta el daño de la bilis corrosiva del asolador en <d ref="Upgrade,RavagerCorrosiveBileDamageIncrease,EffectArray[0].Value"/>.
破坏者的腐蚀胆汁的范围增大<d ref="($UpgradeEffectArrayValue:RavagerCorrosiveBileRadiusIncrease:Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius$/Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius-1)*100" player = "0"/>%。	Aumenta el radio de la bilis corrosiva del asolador un <d ref="($UpgradeEffectArrayValue:RavagerCorrosiveBileRadiusIncrease:Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius$/Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius-1)*100" player = "0"/>%.
用异虫黏液覆盖目标敌方单位，使其受到的伤害提高<d ref="Behavior,Corruption,DamageResponse.ModifyFraction*100-100"/>%，持续<d ref="Behavior,Corruption,Duration"/>秒。	Cubre la unidad enemiga objetivo de mugre zerg, lo que aumenta el daño recibido un <d ref="Behavior,Corruption,DamageResponse.ModifyFraction*100-100"/>% durante <d ref="Behavior,Corruption,Duration"/> segundos.
对空空军，可以使用腐化技能。<n/><n/><c val="#ColorAttackInfo">可以对空。</c>	Unidad voladora antiaérea. Puede usar corrupción.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas.</c>
爆蚊巢穴使你能变异腐化者。	El nido de hostigadores te permite mutar envilecedores.
空中优势战机。可使用干扰网避免敌方地面单位和建筑进行攻击。<n/><n/><c val="ffff8a">可以对空。</c>	Caza de superioridad aérea. Puede utilizar red disruptora para evitar que las estructuras y las unidades terrestres ataquen.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas.</c>
使目标区域内的单位移动速度降低<d ref="100 - (Behavior,QueenMPEnsnare,Modification.MoveSpeedMultiplier * 100)"/>%，持续<d ref="Behavior,Ensnare,Duration"/>秒。显示隐形和潜地的单位。	Reduce la velocidad de movimiento de las unidades en el área objetivo un <d ref="100 - (Behavior,QueenMPEnsnare,Modification.MoveSpeedMultiplier * 100)"/>% durante <d ref="Behavior,Ensnare,Duration"/> segundos. Revela a las unidades invisibles y enterradas.
穆尔瓦的巢穴使你可以进化掘地虫宿主。	La guarida de Murvar te permite evolucionar gestadores propagadores.
生长于当地的一种食腐类动物，夜间会阵阵嚎叫。	Carroñero local conocido por su resonante aullido nocturno.
2000型自动机器人。多功能机器人之选。	Autómata 2000. El robot multifunción preferido.
丑陋的鸟类生物，常出没于战场之中。	Fea criatura aviar que se suele encontrar en el campo de batalla.
为星灵空中单位提供武器和护甲升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃激励者	Tiene mejoras de armas y blindaje para las unidades aéreas protoss.<n/><n/><c val="ffff8a">Permite:</c><n/>- Vigorizadores en el acceso
存储着星灵智能人格。可以消耗资源下载这些人格并保护他们。	Contiene personalidades de IA protoss. Se pueden gastar recursos para descargarlas y salvaguardarlas.
压制塔曾是净化者的防御系统，现在已受到破坏，变成了净化者的敌人。会使用光束来伤害目标并使其减速。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Esta torre de supresión era un sistema defensivo de los purificadores, pero ahora está corrupta y se ha vuelto contra ellos. Utiliza haces de rayos para infligir daño y ralentizar a sus objetivos.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas y terrestres.</c>
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Vehículo de asalto móvil. Puede utilizar fijar objetivo para disparar rápidamente mientras se mueve.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas y terrestres.</c>
锁定伤害提高<d ref="$UpgradeEffectArrayValue:CycloneLockOnDamageUpgrade:Effect,LockOnCP,PeriodCount$/Effect,LockOnCP,PeriodCount*100" player="0"/>%。	Aumenta el daño de fijar objetivo un <d ref="$UpgradeEffectArrayValue:CycloneLockOnDamageUpgrade:Effect,LockOnCP,PeriodCount$/Effect,LockOnCP,PeriodCount*100" player="0"/>%.
允许<c val="ffff8a">飓风</c>的台风飞弹舱和锁定技能可以瞄准空中单位。	Permite a las plataformas de misil tifón del <c val="ffff8a">ciclón</c> y a su habilidad de fijar objetivo seleccionar objetivos aéreos.
能够造成大量范围伤害的定时爆炸装置。	Explosivo con temporizador que inflige un gran daño de área.
向目标位置冲锋，击退该位置的单位并造成<d ref="Effect,DehakaDakrunCrashingChargeDamage,Amount"/>点伤害。	Carga hacia la ubicación seleccionada, lo que repele a las unidades en el área e inflige <d ref="Effect,DehakaDakrunCrashingChargeDamage,Amount"/> de daño.
占位符	Placeholder
强大的攻击型施法者。可对敌人施展神经错乱和精神控制。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Poderoso irradiador de combate. Puede usar las habilidades confundir y control mental.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
永久控制目标敌方单位。<n/><n/><c val="#ColorAttackInfo">英雄单位对此免疫。</c>	Controla permanentemente a una unidad enemiga seleccionada.<n/><n/><c val="#ColorAttackInfo">Los héroes son inmunes.</c>
牺牲2名黑暗圣堂武士，生成一名黑暗执政官。	Sacrifica a 2 templarios tétricos para crear a un arconte tétrico.
黑暗圣坛能使你折跃黑暗执政官。	El santuario tétrico te permite invocar a arcontes tétricos.
提供补给。<n/>拥有补给是折跃更多单位的前提。<n/>为附近的建筑提供能量并使附近的友方单位隐形。	Proporciona suministros.<n/>Los suministros te permiten invocar más unidades.<n/>Proporciona energía a las estructuras cercanas y vuelve invisibles a las unidades amistosas.
黑暗水晶塔使位于其能量场中的友方单位的能量恢复速度提高300%。	Los pilones tétricos aumentan un 300% la regeneración de energía de las unidades amistosas dentro de su campo de energía.
将目标区域内的所有友方单位传送到黑暗水晶塔所在位置。	Teletransporta a todas las unidades amistosas del área seleccionada a la ubicación del pilón tétrico.
致命的近战杀手，该单位永远处于隐形状态，敌人在不借助侦测单位帮助的情况下无法发现他。可以传送至附近一处位置。<n/><n/><c val="ffff8a">可以对地。</c>	Guerrero-asesino mortífero. La unidad se camufla y es invisible para los enemigos que no dispongan de detección. Puede teletransportarse a una ubicación cercana.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
致命的近战杀手，该单位永远处于隐形状态，敌人在不借助侦测单位帮助的情况下无法发现他。可以传送至附近一处位置。<n/><n/><c val="ffff8a">可以对地</c>	Guerrero-asesino mortífero. La unidad se camufla y es invisible a menos que se tenga detección. Puede teletransportarse a una ubicación cercana e infligir daño a los enemigos en el camino.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
取消所选单位的隐形效果，使其显形。	Desactiva la invisibilidad de la unidad seleccionada. Los enemigos podrán verla.
在目标四周生成一道屏障，吸收<d ref="Behavior,DefensiveMatrix,Modification.VitalMaxArray[1]"/>点伤害。效果持续<d ref="Behavior,DefensiveMatrix,Duration"/>秒。	Rodea al objetivo con un escudo que puede absorber hasta un máximo de <d ref="Behavior,DefensiveMatrix,Modification.VitalMaxArray[1]"/> de daño. El efecto dura <d ref="Behavior,DefensiveMatrix,Duration"/> segundos.
用一道护盾围绕目标，最多可以吸收<d ref="Behavior,NovaCoopCasterDefensiveMatrix,DamageResponse.ModifyLimit"/>点伤害。效果持续<d ref="Behavior,NovaCoopCasterDefensiveMatrix,Duration"/>秒。	Rodea al objetivo con un escudo que puede absorber hasta un máximo de <d ref="Behavior,NovaCoopCasterDefensiveMatrix,DamageResponse.ModifyLimit"/> de daño. El efecto dura <d ref="Behavior,NovaCoopCasterDefensiveMatrix,Duration"/> segundos.
允许德哈卡攻击空中单位。	Permite a Dehaka atacar a unidades aéreas.
允许<c val ="ffff8a">德哈卡</c>攻击空中单位。	Permite a <c val ="ffff8a">Dehaka</c> atacar a unidades aéreas.
护甲提高<d ref="Behavior,DehakaArmorUpgrade1,Modification.LifeArmorBonus"/>点。	Aumenta la armadura en <d ref="Behavior,DehakaArmorUpgrade1,Modification.LifeArmorBonus"/>.
原始异虫生产建筑。<n/><n/><c val="ffff8a">开启：</c><n/>- 原始跳虫	Estructura de producción de los zerg primigenios.<n/><n/><c val="ffff8a">Permite:</c><n/>- Zergling primigenios
可以召唤的建筑列表。	Una lista de estructuras disponibles para invocar.
德哈卡使所有在他下方的单位隐形。<n/>范围：<d ref="Unit,DehakaCoop,Radius+0.5" precision="2"/>	Dehaka hace invisibles a todas las unidades que tiene debajo. <n/>Radio: <d ref="Unit,DehakaCoop,Radius+0.5" precision="2"/>
立刻杀死目标敌方单位，恢复<d ref="Effect,DehakaConsumeEffectHealOther,VitalArray[Life].ChangeFraction*100"/>%生命值，并根据敌人种类的不同获得被动技能，持续<d ref="Behavior,DehakaConsumeEffectAir,Duration"/>秒。冷却时间取决于敌人被杀死时的生命值。<n/><n/><ul text="•"><li>空中：获得远程攻击</li><li>重甲：攻击重甲敌人时获得伤害加成</li><li>生物：恢复<d ref="Effect,DehakaConsumeEffectHealBiological,VitalArray[Life].ChangeFraction*100"/>%生命值</li><li>轻甲：获得移动速度</li><li>巨型：获得护甲并向攻击者反弹伤害</li><li>机械：获得攻击速度</li><li>灵能：发出灵能爆炸并使技能冷却速度加快50%</li>	Mata a la unidad enemiga seleccionada al instante para curarse un <d ref="Effect,DehakaConsumeEffectHealOther,VitalArray[Life].ChangeFraction*100"/>% de vida y obtener habilidades pasivas que varían según el tipo de enemigo y que duran <d ref="Behavior,DehakaConsumeEffectAir,Duration"/> segundos. El tiempo de reutilización de la habilidad se basa en la cantidad de vida que tenía el objetivo al matarlo.<n/><n/><ul text="•"><li>Aérea: obtiene un ataque a distancia.</li><li>Blindada: obtiene daño extra contra unidades blindadas.</li><li>Biológica: sana un <d ref="Effect,DehakaConsumeEffectHealBiological,VitalArray[Life].ChangeFraction*100"/>% de vida.</li><li>Ligera: obtiene velocidad de movimiento.</li><li>Enorme: obtiene armadura y refleja daño contra los atacantes.</li><li>Mecánica: obtiene velocidad de ataque.</li><li>Psiónica: explota con energía psiónica y las habilidades tienen tiempos de reutilización un 50% más rápidos.</li>
原始虫群首领。可以从死亡的敌人身上收集精华，用以进化和增强力量。<n/><n/><c val="ffff8a">可以对地。</c>	Un líder de manada primigenio. Recolecta esencia de sus enemigos caídos para hacerse más fuerte.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
原始虫群首领。可以从死亡的敌人身上收集精华，用以转变和增强力量。<n/><n/><c val="ffff8a">可以对地。</c>	Un líder de manada primigenio. Recolecta esencia de sus enemigos caídos para hacerse más fuerte.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
德哈卡的手臂掉落，变成了泽哈卡。然后泽哈卡的手臂掉落。不知道会变成什么。	A Dehaka se le cayó un brazo. Este se convirtió en Zweihaka. A Zweihaka también se le cayó un brazo, pero no se sabe qué pasó con él.
德哈卡会在这个巢穴中复活。	Dehaka revivirá dentro de esta guarida.
掘地虫可以对空，并提高他们的移动速度。	Permite a los propagadores atacar a objetivos aéreos y aumenta su velocidad de movimiento.
孵化自掘地虫宿主。爆裂掘地虫持续<d ref="Behavior,DehakaCreeperTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以对地。</c>	Los engendran los gestadores propagadores. Los propagadores explosivos duran <d ref="Behavior,DehakaCreeperTimedLife,Duration"/> segundos.<n/><n/><c val="ffff8a">Pueden atacar a unidades terrestres.</c>
孵化自掘地虫宿主。爆裂掘地虫持续<d ref="Behavior,DehakaCreeperTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Los engendran los gestadores propagadores. Los propagadores explosivos duran <d ref="Behavior,DehakaCreeperTimedLife,Duration"/> segundos.<n/><n/><c val="ffff8a">Pueden atacar a unidades aéreas y terrestres.</c>
体型巨大的虫群首领，擅长向敌人冲锋，能够对缺乏警觉的猎物射出一阵脊针箭雨。	Un líder de manada primigenio que carga contra los enemigos. Puede lanzar proyectiles a las víctimas desprevenidas.
为原始雷兽和暴龙兽提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使原始战争之巢可以孵化原始雷兽。	Tiene mejoras para los ultraliscos primigenios y los tiranozores.<n/><n/><c val="ffff8a">Permite:</c><n/>- Ultraliscos primigenios en el vigía primigenio
达克伦每次受到伤害，都会向攻击者发射一枚脊刺，造成<d ref="Effect,DehakaDakrunThornsDamage,Amount"/>点伤害。	Cada vez que Dakrun recibe daño, dispara una espina al atacante que inflige <d ref="Effect,DehakaDakrunThornsDamage,Amount"/> de daño.
召唤原始虫群首领达克伦。达克伦是重甲巨兽，可以向目标位置冲锋，造成大量伤害，并击退该位置的敌方单位。达克伦在回到巢穴前会持续战斗<d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/>秒。	Invoca al líder de manada primigenio Dakrun. Dakrun es un mastodonte con blindaje pesado que puede cargar contra una ubicación seleccionada para infligir mucho daño y repeler a las unidades enemigas del área. Dakrun luchará durante <d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/> segundos antes de regresar a su guarida.
快速潜地前往任意可见位置。	Excava rápidamente un túnel hasta cualquier ubicación visible.
侦测隐形、潜地和幻像单位。	Detecta unidades invisibles, enterradas y alucinadas.
基础工作单位。用于采集晶体矿和高能瓦斯。可以召唤建筑。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Unidad obrera básica. Puede recolectar minerales y gas vespeno. Puede invocar estructuras.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades terrestres.</c>
掘地虫宿主孵化的掘地虫可以飞行。掘地虫可以俯冲轰炸地面目标。	Los propagadores engendrados por el gestador propagador pueden volar. Los propagadores descienden en picado para atacar a objetivos terrestres.
原始宿主孵化的原始蝗虫可以飞行。飞行原始蝗虫可以使用飞扑降落至地面进行攻击。	Las langostas primigenias engendradas por el gestador primigenio pueden volar. Las langostas voladoras primigenias pueden utilizar descenso en picado para aterrizar y atacar.
该单位的攻击速度提高<d ref="Behavior,DehakaGeneAttackSpeed,Modification.AttackSpeedMultiplier-1*100" precision="1"/>%。	Esta unidad ataca un <d ref="Behavior,DehakaGeneAttackSpeed,Modification.AttackSpeedMultiplier-1*100" precision="1"/>% más rápido.
该单位的生命值提高<d ref="Behavior,DehakaGeneCarapace,Modification.VitalMaxAdditiveMultiplierArray[Life]*100" precision="1"/>%。	Esta unidad tiene un <d ref="Behavior,DehakaGeneCarapace,Modification.VitalMaxAdditiveMultiplierArray[Life]*100" precision="1"/>% más de vida.
该掘地虫宿主孵化的掘地虫数量翻倍。	Este gestador propagador engendra el doble de propagadores.
该单位会把造成伤害的<d ref="Behavior,DehakaGeneLifeLeech,Modification.VitalDamageLeechArray[Life].KindArray[Melee]*100" precision="1"/>%转化为治疗。	Esta unidad absorberá un <d ref="Behavior,DehakaGeneLifeLeech,Modification.VitalDamageLeechArray[Life].KindArray[Melee]*100" precision="1"/>% del daño infligido como vida.
该单位每次受到伤害，都会向攻击者发射一枚脊刺，造成<d ref="Effect,DehakaGeneThornsDamage,Amount"/>点伤害。	Cada vez que esta unidad recibe daño, dispara una espina al atacante que inflige <d ref="Effect,DehakaGeneThornsDamage,Amount"/> p. de daño.
邪恶危险的虫群首领，能够喷吐酸液、钻入地下并且孵化虫卵。	Un líder de manada vil y peligroso que escupe ácido, atraviesa el suelo y pone huevos.
提高原始点火虫对轻甲敌人的伤害。	Aumenta el daño de las incendiarias primigenias contra enemigos con armadura ligera.
提高<c val ="ffff8a">原始点火虫</c>对轻甲敌人的伤害。	Aumenta el daño de las <c val ="ffff8a">incendiarias primigenias</c> contra enemigos con armadura ligera.
为原始蟑螂、原始刺蛇、穿刺者和掠食龙提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使原始战争之巢可以孵化原始蟑螂<n/>- 使原始战争之巢可以孵化原始刺蛇<n/>- 使原始工蜂可以孵化为原始蠕虫	Contiene mejoras para las cucarachas primigenias, los hidraliscos primigenios, los empaladores y los ravasauros.<n/><n/><c val="ffff8a">Permite:</c><n/>- Cucarachas primigenias en el vigía primigenio<n/>- Hidraliscos primigenios en el vigía primigenio<n/>- Gujas dragón primigenias desde zánganos primigenios
召唤原始虫群首领格里维格和一小群原始异虫。格里维格是强大的静态远程攻击单位，可以造成范围伤害，还可以通过深槽虫道移动到新的位置。格里维格在回到巢穴前会持续战斗<d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/>秒。	Invoca al líder de manada primigenio Glevig y a una pequeña manada de zerg primigenios. Glevig es un poderoso atacante a distancia estacionario que inflige daño de área y puede cambiar de posición con túnel profundo. Glevig luchará durante <d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/> segundos antes de regresar a su guarida.
移动速度提高。	Velocidad de movimiento aumentada.
每次攻击暂时使攻击速度提高<d ref="(Behavior,DehakaGuardianRage1,Modification.AttackSpeedMultiplier - 1) * 100"/>%，最多提高<d ref="(Behavior,DehakaGuardianRage5,Modification.AttackSpeedMultiplier - 1) * 100"/>%。	Cada ataque aumenta de forma temporal la velocidad de movimiento un <d ref="(Behavior,DehakaGuardianRage1,Modification.AttackSpeedMultiplier - 1) * 100"/>%. Puede acumular hasta un <d ref="(Behavior,DehakaGuardianRage5,Modification.AttackSpeedMultiplier - 1) * 100"/>% de velocidad de ataque aumentada.
向目标发射一个爆裂孢子，使目标和附近所有敌方地面单位受到<d ref="Effect,DehakaGuardianMineChargeExplodeDamage,Amount"/>点伤害。	Dispara una espora explosiva contra el objetivo, lo que inflige <d ref="Effect,DehakaGuardianMineChargeExplodeDamage,Amount"/> de daño al objetivo y a todas las unidades terrestres enemigas cercanas.
基础建筑。用于孵化原始工蜂和接收采集到的资源。为原始异虫提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 原始工蜂	Estructura primaria. Se utiliza para engendrar zánganos primigenios y recibir los recursos recogidos. Tiene mejoras para las unidades zerg primigenias.<n/><n/><c val="ffff8a">Permite:</c><n/>- Zánganos primigenios
远程攻击单位。可以与另一只原始刺蛇战斗获得进化。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Atacante a distancia. Puede combatir contra otro hidralisco primigenio para evolucionar.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
两只原始刺蛇对决，幸存者可以进化为一只穿刺者。<n/><n/>远程反重甲伏击单位。必须潜地后才能发动攻击。<n/><n/><c val="ffff8a">可以对地。</c>	Dos hidraliscos primigenios se enfrentan y el superviviente evoluciona en un empalador.<n/><n/>Emboscador antiarmadura de largo alcance. Debe enterrarse antes de atacar.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
两只原始刺蛇对决，幸存者可以进化为一只原始异龙。<n/><n/>空中单位。能够利用弹射攻击同时伤害多个目标。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Dos hidraliscos primigenios se enfrentan y el superviviente evoluciona en un mutalisco primigenio.<n/><n/>Unidad aérea que hace rebotar sus disparos para alcanzar a múltiples objetivos.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
