非晶态装甲云	Zasłona amorficzna
受到的伤害减少至最多<d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.ClampMaximum"/>点。每次使用消耗<d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.Cost.Vital[Energy]"/>点艾能。	Zmniejsza otrzymywane obrażenia do maksimum <d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.ClampMaximum"/> pkt. Zużywa <d ref="Behavior,ZerglingHardenedShieldStetmann,DamageResponse.Cost.Vital[Energy]"/> pkt. egonergii za każde użycie.
移动速度提高<d ref="$UpgradeEffectArrayValue:ZerglingStetmannMovementSpeed:Unit,ZerglingStetmann,Speed$/Unit,ZerglingStetmann,Speed*100" player = "0"/>%。	Szybkość ruchu wzrasta o <d ref="$UpgradeEffectArrayValue:ZerglingStetmannMovementSpeed:Unit,ZerglingStetmann,Speed$/Unit,ZerglingStetmann,Speed*100" player = "0"/>%.
机械分裂池使你可以变形机械跳虫。	Mechaniecka rozrodcza umożliwia przekształcanie mechazerglingów.
<c val="ffff8a">艾星</c>、<c val="ffff8a">盖瑞</c>或<c val="ffff8a">超级盖瑞</c>每搜集<d ref="-1/Effect,ZerglingStetmannDeathRespawnAddCharge,Cost.Charge.CountUse"/>份<c val="ffff8a">机械跳虫残骸</c>，一只<c val="ffff8a">机械跳虫</c>就会无消耗重生在此处。<n/>	Za każdą liczbę <d ref="-1/Effect,ZerglingStetmannDeathRespawnAddCharge,Cost.Charge.CountUse"/> <c val="ffff8a">szczątków mechazerglingów</c> zebranych przez <c val="ffff8a">stetality</c>, <c val="ffff8a">Gary'ego</c> i <c val="ffff8a">Super Gary'ego</c> bez kosztów zbudowany zostanie w tym miejscu <c val="ffff8a">mechazergling</c>.<n/>
如果该单位在激活的艾星、盖瑞或超级盖瑞附近被摧毁时，它将掉落1份<c val="ffff8a">机械跳虫残骸</c>。	Kiedy ta jednostka zostanie zniszczona w pobliżu aktywnego stetality, Gary'ego lub Super Gary'ego, pozostawi po sobie 1 <c val="ffff8a">szczątek mechazerglinga</c>.
已潜地	Zagrzebany
超级挚友	Najlepszy super przyjaciel
Combat Buff	Wzmocnienie Bojowe
包含艾贡·斯台特曼的Mod	Dołącz mod dla Egona Stetmanna
指挥官斯台特曼	Dowódca Stetmann
BanelingStetmannExplodeDelayAB	BanelingStetmannExplodeDelayAB
BanelingStetmannExplodeDelaySet	BanelingStetmannExplodeDelaySet
BroodLordStetmannInterceptorCreate	BroodLordStetmannInterceptorCreate
CommanderPrestigeStetmannCombatBuffCopyStacks	CommanderPrestigeStetmannCombatBuffCopyStacks
CommanderPrestigeStetmannCombatBuffIterateSpawnedUnits	CommanderPrestigeStetmannCombatBuffIterateSpawnedUnits
GaryOrbEmpoweredImpactDummy	GaryKulaWzmocnionaTrafieniePróbne
GaryOrbImpactDummy	GaryKulaTrafieniePróbne
GaryStetmannPowerCountdown	GaryStetmannPowerCountdown
Gary Stetmann Recall Find Target	Gary, Stetmann, Przywołanie, Znajdź cel
地狱火飞弹包	Hellfire Missile Pack
Hurricane Missile Burst Persistent	Hurricane Missile Burst Persistent
Hurricane Missile Damage Delay Persistent	Hurricane Missile Damage Delay Persistent
Hurricane Missile Damage Persistent	Hurricane Missile Damage Persistent
Hurricane Missile Damage	Hurricane Missile Damage
Hurricane Missile Left Dummy	Hurricane Missile Left Dummy
Hurricane Missile Left LM	Hurricane Missile Left LM
Hurricane Missile Right Dummy	Hurricane Missile Right Dummy
Hurricane Missile Right LM	Hurricane Missile Right LM
Hurricane Missile	Hurricane Missile
Lurker Tunneling Burst Prepare	Lurker Tunneling Burst Prepare
Lurker U	Lurker U
Power Tower Overcharge Find Target	Gary – Przeciążenie wieży zasilającej, Znajdź cel
Power Tower Overcharge	Przeciążenie wieży zasilającej
Ultralisk Mechanical Life Leech Modify Self	Ultralisk Mechanical Life Leech Modify Self
Ultralisk Mechanical Life Leech Modify Target	Ultralisk Mechanical Life Leech Modify Target
Ultralisk Mechanical Life Leech	Ultralisk Mechanical Life Leech
Ultralisk Mechanical Life Leech Ally	Ultralisk Mechanical Life Leech Ally
目标已经超载	Cel jest już przeciążony.
必须以艾星为目标	Celem musi być stetalita
位置点太过拥挤	Lokalizacja znajduje się za blisko
机械异虫	Mechazergi
挚友	Najlepszy przyjaciel
机械孵化场	Mechawylęgarnia
机械刺蛇巢	Nora mechahydralisków
机械虫穴	Mechależe
机械尖塔	Mechaiglica
机械爆虫巢穴	Gniazdo mechatępicieli
机械主巢	Mechaul
机械感染深渊	Mechajama infekcji
机械刺蛇巢变形成机械潜伏者巢穴	Mutuj norę mechahydralisków w norę mechaczyhaczy
机械蟑螂温室	Kolonia mechakarakanów
机械分裂池	Mechaniecka rozrodcza
在机械爆虫巢穴中研究艾能强化炸药	Opracuj egonergetyczne ładunki wybuchowe w gnieździe mechatępicieli.
在机械爆虫巢穴中研究艾能效用屏障	Opracuj efektywną barierę egonergetyczną w gnieździe mechatępicieli.
在机械爆虫巢穴中研究离心火箭伺服器	Opracuj rakietowe sermomechanizmy przeciwdośrodkowe w gnieździe mechatępicieli.
在机械巨型尖塔中研究机械飞蝗截击机舱室	Opracuj hangary mechaszarańczo-przechwytywaczy w większej mechailgicy.
在机械巨型尖塔研究斯台特曼炮	Opracuj działo Stetmato w większej mechailgicy.
在机械尖塔中研究泰伦超洁降解液	Opracuj terraczysty rozpuszczalnik w mechailgicy.
在机械刺蛇巢中研究博学飞弹发射器	Opracuj wyrzutnie pocisków erudycyjnych w norze mechahydralisków.
在机械刺蛇巢中研究蛇肌腱加强件	Opracuj wzmocnienia hydraliczne w norze mechahydralisków.
在机械刺蛇巢中研究提尔级瞄准系统	Opracuj system celowniczy klasy Tyr w norze mechahydralisków.
在机械感染深渊中研究UMI-C充能协议	Opracuj protokół ładujący UMI-C w mechajamie infekcji.
在机械潜伏者巢穴中研究集火强击算法	Opracuj algorytm skupienia ataku w norze mehaczyhaczy.
在机械孵化场、机械虫穴或机械主巢中研究充气机身	Opracuj pneumatyczny kadłub w mechawylęgarni, mechależu lub mechaulu.
在机械孵化场、机械虫穴或机械主巢中研究腹舱	Opracuj luki brzuszne w mechawylęgarni, mechależu lub mechaulu.
在机械雷兽窟中研究几丁钛合金装甲	Opracuj powłokę chitytanową w pieczarze mechaultralisków.
在机械雷兽窟中研究机甲揩油模组	Opracuj moduł mechazajumania w pieczarze mechaultralisków.
在机械分裂池中研究合成肾上腺泵	Opracuj syntetyczne pompy adrenalinowe w mechaniecce rozrodczej.
在机械分裂池中研究艾能刚毅护盾	Opracuj wzmocnioną osłonę egonergetyczną w mechaniecce rozrodczej.
在机械分裂池中研究金属机能加速	Opracuj przyspieszony metalbolizm w mechaniecce rozrodczej.
限制1个	Limit: 1
必须拥有少于6只机械飞蝗截击机	Musi mieć mniej niż 6 mechaszarańczoprzechwytywaczy
机械巢虫未完全武装	Mecha-pomioty nie są w pełni uzbrojone
异虫 - 机械	Mechazergi
使用任意地面单位收集大天使零件。	Aby podnieść części Archanioła, wykorzystaj dowolną jednostkę naziemną.
机械异虫飞行单位钢板	Pancerze latających mechazergów
机械异虫建筑护甲	Opancerzenie budowli mechazergów
机械异虫地面单位钢板	Pancerze naziemnych mechazergów
机械爆虫茧	Kokon mechatępiciela
机械巢式战列空母茧	Kokon mechakrąrządcy szczepu
BroodLordStetmannBWeapon	RządcaSzczepuStetmannBBroń
BroodLordStetmannYamatoWeapon	RządcaSzczepuStetmannYamatoBroń
巢虫	Pomiot
机械巢虫	Mechapomiot
合作模式 施法者 斯台特曼	Współpraca, Używający, Stetmann
腐蚀喷液发射物	Pocisk palącego rozprysku
机械工蜂	Mecharobotnica
机械卵	Mechajajo
机械进化腔	Mechakomora ewolucyjna
机械萃取房	Mechaekstraktor
盖瑞	Gary
盖瑞 斯台特曼 发射物	Pocisk Gary'ego Stetmanna
盖瑞 电球 发射物 增强型	Gary, Kula, Pocisk, Wzmocniony
盖瑞 电球 发射物 非增强型	Gary, Kula, Pocisk, Niewzmocniony
盖瑞的房间	Pomieszczenie Gary'ego
机械巨型尖塔	Większa mechaiglica
飓风飞弹 左	Pocisk Huragan, Lewy
飓风飞弹 右	Pocisk Huragan, Prawy
刺蛇对地武器	Broń naziemna hydraliska
刺蛇对空武器	Hydralisk – powietrze
刺蛇 对空武器 已升级	Ulepszona broń powietrzna hydraliska
InfestorStetmannHealingTentacleWeapon	InfektorStetmannLeczenieMackaBroń
InfestorStetmannInfestBuildingWeapon	InfektorStetmannInfekcjaBudowlaBroń
InfestorStetmannRavagerEggMissile	InfektorStetmannPustoszycielJajoPocisk
InfestorStetmannRoachEggMissile	InfektorStetmannKarakanJajoPocisk
机械幼虫	Mechalarwa
机械潜伏者巢穴	Nora mechaczyhaczy
机械潜伏者卵	Jajo mechaczyhacza
LurkerStetmannWeapon	CzyhaczStetmannBroń
机械王虫	Mechanadrządca
机械眼虫茧	Kokon mechanadzorcy
机械眼虫	Mecha-nadzorca
艾星	Stetalita
未激活的艾星	Nieaktywny stetalita
机械破坏者	Mechapustoszyciel
机械破坏者茧	Kokon mechapustoszyciela
RavagerStetmannCorrosiveBileAoEMissile	PustoszycielStetmannŻrąćaŻółćODPocisk
机械破坏者卵	Jajo mechapustoszyciela
RavagerStetmannMissile	PustoszycielStetmannPocisk
机械蟑螂	Mechakarakan
RoachStetmannAttackMissile	KarakanStetmannAtakPocisk
机械蟑螂卵	Jajo mechakarakana
脊针爬虫 斯台特曼	Kręgowij, Stetmann
孢子爬虫 斯台特曼 武器	Pełzacz zarodnikowy, Stetmann, Broń
斯台特曼 零件 发射物	Stetmann, Części zapasowe, Pocisk
超级盖瑞	Super Gary
超级盖瑞 斯台特曼 发射物	Pocisk Super Gary'ego Stetmanna
机械雷兽窟	Pieczara mechaultralisków
艾能效用屏障	Efektywna bariera egonergetyczna
机械飞蝗截击机舱室	Hangary mechaszarańczo-przechwytywaczy
大范围集束咆哮弹	Szerokoobszarowe rakiety kastetowe
博学飞弹发射器	Wyrzutnie pocisków erudycyjnych
“赠品”破坏者！	GRATISOWY pustoszyciel!
增程式恐怖钻击算法	Algorytm wydłużonego tunelu TERROR
精通 斯台特曼 部署艾星冷却时间	Poziom mistrzowski, Stetmann, Czas odnowienia Wysyłki Stetalitów
精通 斯台特曼 盖瑞技能冷却时间	Poziom mistrzowski, Czas odnowienia zdolności Gary'ego
精通 斯台特曼 艾能池上限	Poziom mistrzowski, Stetmann, Maksymalna pula egonergii
精通 斯台特曼 “爱心区域”加成	Poziom mistrzowski, Stetmann, Premie stetopolowe
精通 斯台特曼 “爱心区域”加成效果 能量恢复	Poziom mistrzowski, Stetmann, Premie stetopolowe, Regeneracja energii
精通 斯台特曼 “爱心区域”加成 生命恢复	Poziom mistrzowski, Stetmann, Premie stetopolowe, Regeneracja PŻ
精通 斯台特曼 “爱心区域”加成 移动速度	Poziom mistrzowski, Stetmann, Premie stetopolowe, Szybkość ruchu
精通 斯台特曼 建筑变形速度	Poziom mistrzowski, Stetmann, Tempo przekształcania budowli
精通 斯台特曼 升级研究费用	Poziom mistrzowski, Stetmann, Ulepszony koszt badań
机械跳虫残骸回收奖励	Mechazergling, Szczątki, Recykling, Premia
腹舱	Luki brzuszne
“艾的呵护”设定	Konfiguracja F.O.R.M.A
“艾的急切”设定	Konfiguracja Z.R.Y.W.
机械异虫飞行单位钢板等级1	Pancerze latających mechazergów – poziom 1
机械异虫飞行单位钢板等级2	Pancerze latających mechazergów – poziom 2
机械异虫飞行单位钢板等级3	Pancerze latających mechazergów – poziom 3
机械异虫飞行单位武器等级1	Uzbrojenie latających mechazergów – poziom 1
机械异虫飞行单位武器等级2	Uzbrojenie latających mechazergów – poziom 2
机械异虫飞行单位武器等级3	Uzbrojenie latających mechazergów – poziom 3
斯台特曼	Stetmann
机械异虫地面单位钢板等级1	Pancerze naziemnych mechazergów – poziom 1
机械异虫地面单位钢板等级2	Pancerze naziemnych mechazergów – poziom 2
机械异虫地面单位钢板等级3	Pancerze naziemnych mechazergów – poziom 3
斯台特曼驾到	Stetmann jest obecny
机械异虫近战武器等级1	Uzbrojenie bezpośrednie mechazergów – poziom 1
机械异虫近战武器等级2	Uzbrojenie bezpośrednie mechazergów – poziom 2
机械异虫近战武器等级3	Uzbrojenie bezpośrednie mechazergów – poziom 3
机械异虫远程武器等级1	Pociski mechazergów – poziom 1
机械异虫远程武器等级2	Pociski mechazergów – poziom 2
机械异虫远程武器等级3	Pociski mechazergów – poziom 3
升级资源费用	Zmniejszenie zużycia surowców
盖瑞技能冷却时间	Czas odnowienia Zdolności Gary'ego
“爱心区域”加成效果	Premie stetopolowe
艾能池上限	Maksymalna pula egonergii
部署艾星冷却时间	Czas odnowienia Wysyłki Stetalitów
-~A~秒	-~A~ sek.
建筑变形速度	Tempo przekształcania budowli
艾能:	Egonergia:
爆破建筑	Eksplozja budowli
巢虫领主 斯台特曼 投弹器	RządcaSzczepuStetmannBombowiec
机械巢虫护卫	Eskorta Mechapomiotów
机械针刺利爪	Mechaigłoszpony
机械巢虫强击	Mechapomioty szturmowe
机械寄生孢子	Mechazarodnik pasożytniczy
单分子齿状巨钳	Piłoszpony monomolekularne
盖瑞的小帮手	Mały pomocnik Gary'ego
博学飞弹	Pociski erudycyjne
机械脊针	Mechaigłokolce
机械脊刺	Mechakolce
机械等离子体放电	Wyrzut mechaplazmy
机械酸性唾液	Kwasowa mechaślina
蟑螂 斯台特曼 近战	KarakanStetmannPocisk
机械刺钉触须	Mechamacka przebijająca
机械强酸喷吐	Splunięcie mechakwasem
盖瑞的大帮手	Większy pomocnik Gary'ego
机械巨刃	Cesarskie mechaostrza
机械利爪	Mechaszpony
<c val="#ColorAttackInfo">必须潜地后才能攻击。</c>	<c val="#ColorAttackInfo">Jednostka musi być zagrzebana, aby atakować.</c>
必须放置在“爱心区域”内	Wymaga umieszczenia w stetopolu
ACGlobalShareUnit	ACGlobalShareUnit
ACGlobalShareUnitNoEnemy	ACGlobalShareUnitNoEnemy
深槽虫道	Głęboki Przekop
搜集标记	Mark for Collection
阿巴瑟共生激素携带体	Abathur Symbiote Hangar
终极进化	Najwyższe Stadium Ewolucji
致命冲锋	Deadly Charge
AlarakACSoAMothershipV4BlackHole	AlarakACSoAMothershipV4BlackHole
召唤死亡舰队	Wezwanie Floty Śmierci
供奉我，奴仆们	Empower Me, Slaves
阿拉纳克复活	Alarak Revive
AlarakZealotFrenziedOverload	AlarakZealotFrenziedOverload
大天使机甲模式	Archangel Assault Mode
大天使轰炸	Archangel Bombardment
大天使战机模式	Archangel Fighter Mode
大天使机炮扫射	Archangel Gun Shot
大天使充能	Archangel Charge Up
大天使飞弹发射	Archangel Missile Shot
大天使反击	Archangel Repel
军械库研究	Armory Research
攻击盟友	Attack Friend
攻击重新指向被感染的地堡	Attack Redirect Infested Bunker
使用神经扫描攻击	Attack With Neutral Scan
使用神经扫描攻击空中与地面	Attack With Neutral Scan Air/Ground
自动获取被感染的弹药	Auto Get Infested Ammo
女妖空袭	Nalot Banshee
Barracks Tech Lab Research_BlackOps	Barracks Tech Lab Research_BlackOps
训练	Train
胆汁喷射体轰炸	Bile Launcher Bombardment
生物质拾取	Biomass Pickup
莽兽深槽虫道	Brutalisk Deep Tunnel
制造弹头	Build Payload
德哈卡合作潜地	Burrow Dehaka Coop Down
德哈卡合作出地	Burrow Dehaka Coop Up
BurrowSIInfestedCivilianDown	BurrowSIInfestedCivilianDown
BurrowSIInfestedCivilianUp	BurrowSIInfestedCivilianUp
BurrowSIInfestedMarineDown	BurrowSIInfestedMarineDown
BurrowSIInfestedMarineUp	BurrowSIInfestedMarineUp
BurrowSIInfestedTrooperDown	BurrowSIInfestedTrooperDown
BurrowSIInfestedTrooperUp	BurrowSIInfestedTrooperUp
BurrowStukovInfestedBansheeDown	BurrowStukovInfestedBansheeDown
BurrowStukovInfestedBansheeUp	BurrowStukovInfestedBansheeUp
站起 (指挥中心)	Unroot (Command Center)
CommanderPrestigeAlarakDeathFleetWarpable	CommanderPrestigeAlarakDeathFleetWarpable
CommanderPrestigeSwannHerculesScienceVesselTacticalJump	CommanderPrestigeSwannHerculesScienceVesselTacticalJump
CommanderPrestigeZagaraMaxSupplyScourgeSpawner	CommanderPrestigeZagaraMaxSupplyScourgeSpawner
建造德拉肯激光钻机合作模式	Construct Drakken Laser Drill Coop
卵	Jajo
Coop Turn To Ability	Coop Turn To Ability
Coop - VoidTendrilDeathGripAutoCast	Coop - VoidTendrilDeathGripAutoCast
诱捕	Usidlenie
塞布罗斯号护送下载器	CybrosEscortDownloader
CybrosEscortTowerGroundMissileVolley	CybrosEscortTowerGroundMissileVolley
CybrosEscortTowerMissileVolley	CybrosEscortTowerMissileVolley
CybrosEscortTowerMultiAOE	CybrosEscortTowerMultiAOE
CybrosEscortTowerSingleTargetLockOn	CybrosEscortTowerSingleTargetLockOn
Cyclone Reborn	Cyclone Reborn
Cyclone Reborn Cheap	Cyclone Reborn Cheap
Cyclone Wreckage	Cyclone Wreckage
黑暗水晶塔召回	Dark Pylon Recall
Dark Warp Prism Recall	Dark Warp Prism Recall
防御矩阵	Matryca obronna
护甲升级	ArmorUpgrade
德哈卡兵营训练虫卵	DehakaBarracksTrainEgg
德哈卡茧食用搜索	DehakaConcoonEatSearch
工蜂变异	Drone Morph
德哈卡提供精华拾取	DehakaGiveEssencePickup
德哈卡孵化场训练虫卵	DehakaHatcheryTrainEgg
德哈卡主巢扎根	DehakaHiveRoot
德哈卡主巢站起	DehakaHiveUproot
DehakaNydusDestroyerTimedNoFoodBeam	DehakaNydusDestroyerTimedNoFoodBeam
城镇大厅列车	Town Hall Train
变异建筑（原始虫穴-> 原始主巢）	Morph Building (Primal Lair-> Primal Hive)
变异建筑（原始孵化场-> 原始虫穴）	Morph Building (Primal Hatchery -> Primal Lair)
Diamondback Reborn	Diamondback Reborn
Diamondback Reborn Cheap	Diamondback Reborn Cheap
Diamondback Wreckage	Diamondback Wreckage
Drakken Laser Drill Attack	Drakken Laser Drill Attack
Drakken Laser Drill Attack Issue Order	Drakken Laser Drill Attack Issue Order
德拉肯激光钻机汇聚射线	Drakken Laser Drill Concentrated Beam
Drakken Laser Drill Concentrated Beam Issue Order	Drakken Laser Drill Concentrated Beam Issue Order
德拉肯激光钻机脉冲炮	Drakken Laser Drill Pulse Cannon
Drakken Laser Drill Power Up	Drakken Laser Drill Power Up
德拉肯激光钻机脉冲炮发出指令	Drakken Laser Drill Pulse Cannon Issue Order
德拉肯激光钻机研究	Drakken Laser Drill Research
撤退	Odwrót
移动前往交付	Move to Drop Off
选择弹头	Select Payload
EMP	EMP
Emergency Medivacs	Emergency Medivacs
光复家园	Reclamation
进化坑研究	Evolution Pit Research
进化坑比例化消耗研究	Evolution Pit Scaling Cost Research
进化莽兽	Evolve Brutalisk
进化成利维坦	Evolve To Leviathan
FenixClolarionInterceptorMorph	FenixClolarionInterceptorMorph
FenixDragoonBattleShout	FenixDragoonBattleShout
FenixDragoonChargedBlast	FenixDragoonChargedBlast
FenixKaldalisZealotMorph	FenixKaldalisZealotMorph
FenixMojoAOEMissiles	FenixMojoAOEMissiles
FenixMojoScoutMorph	FenixMojoScoutMorph
FenixTaldarinImmortalMorph	FenixTaldarinImmortalMorph
FenixTalisAdeptMorph	FenixTalisAdeptMorph
灵能传送	Transfer psioniczny
取消灵能传送	Psionic Transfer Cancel
FenixWarbringerColossusMorph	FenixWarbringerColossusMorph
Research (Zeratul)	Research (Zeratul)
GenerateCreepStukov	GenerowanieBiomasyStiukow
Goliath Reborn	Goliath Reborn
Goliath Reborn Cheap	Goliath Reborn Cheap
Goliath Wreckage	Goliath Wreckage
孵化	Build
HHMercStarportSpecialize	HHMercStarportSpecialize
空间站调度	Relokacja Stacji Kosmicznej
Healing Drone Heal	Healing Drone Heal
Hellbat Reborn	Hellbat Reborn
Hellbat Reborn Cheap	Hellbat Reborn Cheap
Hellbat Wreckage	Hellbat Wreckage
Hellion Reborn	Hellion Reborn
Hellion Reborn Cheap	Hellion Reborn Cheap
Hellion Wreckage	Hellion Wreckage
Horner Air Fleet Activate	Horner Air Fleet Activate
Horner Air Fleet Execute	Horner Air Fleet Execute
Horner Air Fleet Targeting Dummy	Horner Air Fleet Targeting Dummy
HybridStasisChamberARelease	HybridStasisChamberARelease
HybridStasisChamberBRelease	HybridStasisChamberBRelease
穿刺之巢研究	Impaler Den Research
InfestedStukovCoopBurrow	InfestedStukovCoopBurrow
InfestedStukovCoopDevastatingShot	InfestedStukovCoopDevastatingShot
InfestedStukovCoopInfestedTerrans	InfestedStukovCoopInfestedTerrans
InfestedStukovCoopUnburrow	InfestedStukovCoopUnburrow
超级破胆咆哮	Intimidating Super Roar
定身波	Unieruchamiająca Fala
跃击	Leap Attack
跃击变形为飞行形态	Leap Attack Morph To Flying Form
跃击变形为普通形态	Leap Attack Morph To Normal Form
求生无路 - 研究	Left 2 Die - Research
Research (Lurker Den)	Research (Lurker Den)
生成蜘蛛雷	Make Spider Mines
猛犸咆哮	Mammoth Roar
Mass Merc Drop	Mass Merc Drop
生成蜘蛛雷队列	Make Spider Mine Queue
使用蜘蛛雷	Use Spider Mines
将蟑螂变异为穿刺者	Morph Roach to Impaler
蟑螂变异为破坏者	Morph Roach To Ravager
CybrosEscortTowerBurrow	CybrosEscortTowerBurrow
CybrosEscortTowerUnburrow	CybrosEscortTowerUnburrow
Morph To Hellbat Black Ops	Morph To Hellbat Black Ops
Morph To Hellion Black Ops	Morph To Hellion Black Ops
异龙变异为吞噬者	Mutalisk Morph To Devourer
Mutalisk Morph To Guardian	Mutalisk Morph To Guardian
突变因子 埃蒙 阿塔尼斯 星界之风	Mutator Amon Artanis Astral Wind
突变因子 埃蒙 阿塔尼斯 闪电冲锋	Mutator Amon Artanis Lightning Dash
突变因子 埃蒙 凯瑞甘 天启	Mutator Amon Kerrigan Apocalypse
突变因子 埃蒙 凯瑞甘 潜地	Mutator Amon Kerrigan Burrow
突变因子 埃蒙 凯瑞甘 原始切割	Mutator Amon Kerrigan Primal Slash
突变因子 埃蒙 凯瑞甘 灵能打击	Mutator Amon Kerrigan Psi Strike
突变因子 埃蒙 凯瑞甘 出地	Mutator Amon Kerrigan Unburrow
凯达琳巨石	Monolit khaydarinowy
穿甲射击	Armor Piercing Shot
虚空护甲	Pancerz Otchłani
突变因子 埃蒙 雷诺 狙击	Mutator Amon Raynor Snipe
突变因子 埃蒙 泰凯斯 投掷手榴弹	Mutator Amon Tychus Toss Grenade
突变因子 埃蒙 扎加拉 爆虫冲锋	Mutator Amon Zagara Baneling Barrage
突变因子 埃蒙 扎加拉 潜地	Mutator Amon Zagara Burrow
突变因子 埃蒙 扎加拉 群体狂暴	Mutator Amon Zagara Mass Frenzy
突变因子 埃蒙 扎加拉 蟑螂空投	Mutator Amon Zagara Mass Roach Drop
突变因子 埃蒙  扎加拉 孵化屠猎者	Mutator Amon Zagara Spawn Hunter Killers
突变因子 埃蒙 扎加拉 出地	Mutator Amon Zagara Unburrow
解除炸弹机器人	Rozbrojenie bumbota
MutatorBuyCandy	MutatorBuyCandy
突变因子 隐形地雷 攻击	Mutator Cloaked Mine Attack
MutatorEnvelopePickupGas50	MutatorEnvelopePickupGas50
MutatorEnvelopePickupMinerals50	MutatorEnvelopePickupMinerals50
Terrifying Gobble	Terrifying Gobble
突变因子 拾取瓦斯 50	Mutator Pickup Gas 50
拾取晶体矿 25	Pickup Minerals 25
突变因子 拾取晶体矿 50	Mutator Pickup Minerals 50
复活 (快)	Reanimate (Fast)
复活 (慢)	Reanimate (Slow)
复活	Przywracanie
蜘蛛雷潜地	Spider Mine Burrow
蜘蛛雷出地	Spider Mine Unburrow
突变因子 寡妇雷 潜地	Mutator Widow Mine Burrow
突变因子 寡妇雷 出地	Mutator Widow Mine Unburrow
NexusBuild	NexusBuild
Boombot Burrow	Boombot Burrow
Nova Coop Caster Advanced Optics	Nova Coop Caster Advanced Optics
Nova Coop Caster Defensive Matrix	Nova Coop Caster Defensive Matrix
Nova Coop Caster Nuke	Nova Coop Caster Nuke
Nova Coop Caster Stun Grenade	Nova Coop Caster Stun Grenade
召唤奥丁	Summon Odin
全息诱饵	Holowabik
创建炸弹机器人	Create BoomBots
NovaGadgetBoombotsSwap	NovaGadgetBoombotsSwap
闪光弹手雷	Flash Bang Grenades
超级强化剂	Superstymulant
Nova Griffin Bombing Run Activate	Nova Griffin Bombing Run Activate
Nova Griffin Bombing Run Execute	Nova Griffin Bombing Run Execute
Nova Griffin Bombing Run Targeting Dummy	Nova Griffin Bombing Run Targeting Dummy
Nova Griffin Transport Load Units	Nova Griffin Transport Load Units
Nova Griffin Transport Unload Units	Nova Griffin Transport Unload Units
Nova Kit Swap	Nova Kit Swap
Nova Odin Annihilate	Nova Odin Annihilate
诺娃复活	Nova Revive
诺娃信标传送	Nova Beacon Teleport
Nova Revive Instant Buyback	Nova Revive Instant Buyback
诺娃狙击生效	Nova Snipe Active
诺娃狙击执行	Nova Snipe Execute
诺娃狙击瞄准虚拟	Nova Snipe Targeting Dummy
Nova Unit Gadget Grant Charge	Nova Unit Gadget Grant Charge
Nova Unit Lockdown	Nova Unit Lockdown
诺娃单位烟雾弹	Nova Unit Smoke Grenade
霰弹步枪狙击	Canister Rifle Snipe
地狱火霰弹枪轰击	Hellfire Shotgun Blast
Odin Dash Attack	Odin Dash Attack
Odin MK II Barrage	Odin MK II Barrage
Odin MK II Wreckage	Odin MK II Wreckage
轨道控制基地补给站空投	Orbital Command Supply Depot Drop
Parts Pickup	Parts Pickup
Phase Cannon Projection	Phase Cannon Projection
光子超载	Przeciążenie fotonowe
Photon Overcharge Morph Dark Pylon	Photon Overcharge Morph Dark Pylon
Photon Overcharge Morph Dark Pylon Back	Photon Overcharge Morph Dark Pylon Back
Photon Overcharge Morph Pylon	Photon Overcharge Morph Pylon
Photon Overcharge Morph Pylon Back	Photon Overcharge Morph Pylon Back
Bio-Mechanical Repar Drone	Bio-Mechanical Repar Drone
PnPSingleTargetLockOn	PnPSingleTargetLockOn
QueenStukovSpawn Broodlings	QueenStukovSpawn Broodlings
Queue (1) Passive	Queue (1) Passive
Rally Infested Command Center	Rally Infested Command Center
RallyNydus	RallyNydus
德哈卡城镇大厅 - 集结	Dehaka Town Hall - Rally
集结复活信标	Rally Revive Beacon
集结	Rally
Calldown Redirect	Calldown Redirect
腐蚀胆汁	Żrąca żółć
Raven Target Lock	Raven Target Lock
RedstoneSalamanderFireballHard	RedstoneSalamanderFireballHard
修理德拉肯激光钻机合作模式	Repair Drakken Laser Drill Coop
修理进化坑	Repair Evolution Pit
Repair Solar Forge	Repair Solar Forge
研究重度感染	Research Heavy Infestation
ResearchVesselLand	ResearchVesselLand
ResearchVesselLiftOff	ResearchVesselLiftOff
ResearchVesselTransport	ResearchVesselTransport
SIArmory Research	SIArmory Research
兵营训练	Barracks Train
基础建造	Basic Build
SIBurrowDroneDown	SIBurrowDroneDown
SIBurrowDroneUp	SIBurrowDroneUp
扎根 (被感染的移民营)	Root (Infested Colonist Compound)
SICivilian Structure Train	SICivilian Structure Train
扎根 (指挥中心)	Root (Command Center)
SICommandCenterTrain	SICommandCenterTrain
SICommandCenterTransport	SICommandCenterTransport
被感染的工程站研究	Infested Engineering Bay Research
FactoryTrain	FactoryTrain
装载-卸载	Load-Unload
Infested Civilian Structure Research	Infested Civilian Structure Research
攻击地面	Atak obszarowy
LarvaTrain	LarvaTrain
SILiberatorSwarmFormLaunchAttack	SILiberatorPostaćChmaryWypuszczenieAtak
MorphToOverseer	MorphToOverseer
SiegeMode	SiegeMode
StarportTrain	StarportTrain
SIStukovPlaceHordeRally	SIStukovPlaceHordeRally
InfestedSupplyDepotLower	InfestedSupplyDepotLower
