非晶态装甲云	Protezione informe
训练瓦斯采集器	Addestra Droide estrattore
训练火蝠	Addestra Piromane
建造攻击战斗机平台	Costruisci Piattaforma dei Caccia
建造突击炮舰	Costruisci Stazione d'assalto
建造科技实验室	Costruisci Modulo tecnologico
部署生物机械修理无人机	Drone riparatore biomeccanico
建造转转小子	Costruisci Dizzy la Trottola
建造毁灭炮塔	Costruisci Torretta Devastation
建造爆弹比利	Costruisci Billy il Bombarolo
折跃凯达琳巨石	Evoca Monolite Khaydarin
建造解放者	Costruisci Liberatore
变异为潜伏者	Trasforma in Criptolisca
建造热辣贝蒂	Costruisci Betty la Rossa
折跃掠夺者	Evoca Trilobita
建造被感染的科技实验室	Costruisci Modulo tecnologico infestato
折跃风暴战舰	Evoca Tempesta
制造雷神	Costruisci Thor
建造乔伊·雷酒吧	Costruisci Bar di Joey Ray
建造医疗运输机平台	Costruisci Piattaforma delle Navette mediche
制造单位已锁定	Costruzione unità bloccata
建造高能瓦斯钻机	Costruisci Trivella gas vespene
变异为飞蛇	Trasforma in Vipera
建造虚空裂痕	Costruisci Varco del Vuoto
神器干扰	Disgregazione
卡度休斯反应堆	Reattore Caduceo
召唤双重矿骡	Raddoppio richiesta MULE
光子炸弹	Bombe fotoniche
神器强化：集束新星	Potenziamento artefatto: Supernova globulare
战斗怒吼	Grido di battaglia
时空扭曲	Alterazione temporale
折跃天罚行者	Evoca Ciclope
进化为利维坦	Trasforma in Leviatano
灵魂之匣	Reliquiario delle anime
守护之壳	Guscio guardiano
自由激进	Radicali liberi
为陛下让路	Fate largo al re
研究军械优化	Ricerca Munizioni ottimizzate
折跃光子炮台	Evoca Cannone fotonico
变异为虫道网络	Muta in Rete Nydus
狮鹫号空袭	Attacco aereo
研究狱火爆弹	Ricerca Proiettili Inferno
随机应变	Postura di danza
轨道空投：矿骡	Richiedi MULE
远程部署	Schieramento a distanza
建造被感染的移民营	Costruisci Complesso coloniale infestato
汇聚射线	Raggio concentrato
脉冲炮	Cannone a impulsi
研究红色按钮	Ricerca Pulsantone rosso
购买XCMC-670型战斗装甲	Acquista Tuta da combattimento XCMC-670
购买88式劝服者	Acquista Persuasore modello 88
购买M.A.L.I.C.E.弹药	Acquista Munizioni M.A.L.E.F.I.C.
购买重锤牌爆射弹	Acquista Munizioni Hammer
购买XM-77型矩阵发生器	Acquista Generatore di matrice XM-77
购买强化版爆破套件	Acquista Dotazione da scontro potenziata
购买N3网络	Acquista Rete N3
购买神射手联网头盔	Acquista Elmetto neurale
购买尤摩扬炮台架	Acquista Telaio torrette umojano
哺育腔	Camera generativa
进化英勇刚毅	Evolvi Tempra eroica
哺育栖地	Nido generativo
进化美杜莎之刃	Evolvi Lame Medusa
部署虚空寻觅者号	Schiera Cercatore del Vuoto
建造核弹头	Costruzione Testata nucleare in corso
吞食工蜂	Consuma Drone primordiale
强酸胆汁	Bile addensata
肿胀胆管	Condotti biliari dilatati
培育爆蚊	Incubazione di Flagelli
打开的箱子	Cassa aperta
变异成菌毯覆盖地	Muta in Colonia propagante
掘地虫宿主	Ospite strisciante
激光弹幕	Raffica laser
研究地对空瞄准	Ricerca Puntamento Terra-Aria
G-4型集束炸弹	Bombe a grappolo G-4
野蛮冲锋	Carica brutale
大型尖刺厚皮	Aura di spine superiore
折跃黑暗执政官	Evoca Arconte oscuro
合成黑暗执政官	Fusione in Arconte oscuro
能量恢复光环	Aura di rigenerazione energetica
折跃暗影猎手	Evoca Cacciatrice dell'Ombra
折跃黑暗圣堂武士	Evoca Templare oscuro
折跃复仇者	Evoca Vendicatore
折跃虚空圣堂武士	Evoca Templare del Vuoto
取消隐形	Rimuovi occultamento
变异为蝎虫	Trasforma in Contaminatore
致命触击	Allungo mortale
进化致命触击	Evolvi Allungo mortale
骨板	Rivestimento chitinoso
召唤原始战争之巢	Crea Incubatore primordiale
召唤建筑	Crea strutture
隐形光环	Aura occultante
空中爆囊	Sacche aeree esplosive
召唤达克伦的巢穴	Crea Tana di Dakrun
召唤达克伦	Evoca Dakrun
敏锐感官	Sensi affinati
孵化原始工蜂	Genera Drone primordiale
飞行爆裂掘地虫	Locuste esplosive volanti
飞行原始蝗虫	Locuste primordiali volanti
进化肾上腺体	Evolvi Ghiandole surrenali
进化甲壳	Carapace evoluto
进化孵化囊	Sacche d'incubazione evolute
进化吸血	Sottrazione evoluta
尖刺厚皮	Aura di spine
汇聚烈焰	Fuoco concentrato
进化汇聚烈焰	Evolvi Fuoco concentrato
召唤格里维格的巢穴	Crea Tana di Glevig
召唤格里维格	Evoca Glevig
神经胶原重组	Ricostruzione neurale
原始狂怒	Furia primordiale
爆裂孢子	Spore esplosive
召唤原始主巢	Crea Alveare primordiale
变异为原始主巢	Muta in Alveare primordiale
孵化原始刺蛇	Genera Idralisca primordiale
原始战斗	Scontro primordiale
变异为原始虫穴	Muta in Tana primordiale
进化突变	Evolvi Mutazioni
进化原始甲壳等级1	Evolvi Carapace primordiale livello 1
进化原始甲壳等级2	Evolvi Carapace primordiale livello 2
进化原始甲壳等级3	Evolvi Carapace primordiale livello 3
进化原始攻击等级1	Evolvi Attacchi primordiali livello 1
进化原始攻击等级2	Evolvi Attacchi primordiali livello 2
进化原始攻击等级3	Evolvi Attacchi primordiali livello 3
进化空中爆囊	Evolvi Sacche aeree esplosive
召唤穆尔瓦的巢穴	Crea Tana di Murvar
召唤穆尔瓦	Evoca Murvar
原始重组	Ricostituzione primordiale
召唤原始蠕虫	Evoca Simbionte primordiale
强效胆汁喷流	Getto di bile superiore
召唤大型原始蠕虫	Evoca Simbionte primordiale superiore
德哈卡	Dehaka
膨胀腮腺	Parotidi superiori
溶解强酸	Solvente acido
孵化原始蟑螂	Genera Blatta primordiale
进化神经胶原重组	Evolvi Ricostruzione neurale
孵化原始蝗虫	Genera Locuste primordiali
孵化爆裂掘地虫	Genera Locusta esplosiva
践踏	Assalto
孵化原始宿主	Genera Ospite primordiale
孵化原始雷兽	Genera Ultralisca primordiale
穿刺打击	Assalto impalante
治疗适性	Adattamento curativo
孵化原始跳虫	Genera Zergling primordiale
引爆	Esplosione
腐蚀喷涌	Spruzzo corrosivo
隐形模块	Modulo occultante
净化回荡	Eco purificante
下载加鲁迪恩	Scarica Garudion
下载西比恩	Scarica Cipion
下载奥莱利亚	Scarica Olaeria
下载阿什莱达	Scarica Ashredar
下载戴米乌斯	Scarica Damius
下载阿德里恩	Scarica Aldrion
德拉肯激光钻机范围攻击升级	Trivella laser Drakken - Potenziamento attacco ad area
德拉肯激光钻机攻击	Attacco Trivella laser Drakken
德拉肯激光钻机能量升级	Trivella laser Drakken - Potenziamento energia
充能光束	Sovraccarico irradiante
神器强化：星蚀协议	Potenziamento artefatto: Protocollo eclissi
救急医疗运输机	Navetta medica d'emergenza
建造救急补给站	Costruisci Deposito d'emergenza
进入虫洞	Entra nel Varco
召唤充能水晶	Evoca Cristalli carichi
进化深槽虫道	Evolvi Rintanamento profondo
进化排放菌毯	Evolvi Genera biostrato
进化阿巴瑟荆棘光环	Evolvi Aura di spine di Abathur
进化肉身掩体	Evolvi Copertura protettiva
研究酸性酶	Ricerca Enzimi acidi
进化应激骨片	Evolvi Rivestimento adattivo
进化肾上腺激素	Evolvi Incremento adrenalinico
进化入侵繁殖	Evolvi Incubazione aggressiva
进化附属甲壳	Evolvi Carapace ancillare
进化腐蚀强酸	Evolvi Acido corrosivo
进化再生性虫酸	Evolvi Acido rigenerativo
进化毒囊爆裂	Evolvi Rottura
进化尖刺弹幕	Evolvi Ventaglio di aculei
进化快速轰炸	Evolvi Bombardamento rapido
进化炮击导管	Evolvi Condotti d'artiglieria
进化生物机械哺液	Evolvi Trasfusione biomeccanica
进化孔状软骨	Evolvi Cartilagine porosa
进化巢虫育生	Evolvi Gestazione Progenidi
进化潜地冲锋	Evolvi Carica sotterranea
进化钙化装甲	Evolvi Corazza calcificata
进化腐蚀黏液	Evolvi Muco caustico
进化强酸胆汁	Evolvi Bile addensata
进化肿胀胆管	Evolvi Condotti biliari dilatati
进化骨板	Evolvi Rivestimento chitinoso
进化敏锐感官	Evolvi Sensi affinati
进化原始恢复	Evolvi Rigenerazione primordiale
进化腐蚀喷涌	Evolvi Spruzzo corrosivo
进化溶解强酸	Evolvi Solvente acido
进化膨胀腮腺	Evolvi Parotidi superiori
进化爆裂孢子	Evolvi Spore esplosive
进化狂暴	Evolvi Frenesia
进化霉菌滋生	Evolvi Crescita fungina
进化加长散射	Evolvi Dispersione prolungata
进化硬化甲壳	Evolvi Carapace indurito
进化孵化腔	Evolvi Camera d'incubazione
进化氢碘胆汁	Evolvi Bile idriodica
进化穿刺打击	Evolvi Assalto impalante
进化强化诱捕	Evolvi Intralcio migliorato
进化3级感染	Evolvi Infestazione livello 3
进化连锁反应	Evolvi Reazione a catena
进化技能专精	Evolvi Abilità efficienti
进化技能效率	Evolvi Abilità efficienti
进化残暴龙爪	Evolvi Simbionte maligno
进化君王之刃	Evolvi Lame colossali
进化极速再生	Evolvi Rigenerazione rapida
研究染疫弹药	Ricerca Munizioni contaminate
进化原始重组	Evolvi Ricostituzione primordiale
进化原始狂怒	Evolvi Furia primordiale
进化后虫初始能量全满	Evolvi piena energia iniziale Regina
进化后虫强化诱捕	Evolvi Intralcio migliorato Regina
进化虫母初始能量全满	Evolvi piena energia iniziale Regina
研究浸水培育	Ricerca Colture sature
进化视网增强	Evolvi Sviluppo retineo
Evolve SISiegeTankAmmoCapacity	Evolvi Carico munizioni Carro d'assedio infestato
Evolve SISiegeTankTentacleWhileSieged	Evolvi Tentacolo in assedio Carro d'assedio infestato
进化爆蚊额外生命值	Evolvi Vita aggiuntiva Flagello
进化简化基因组	Evolvi Genoma semplificato
进化剧毒孢子	Evolvi Spore virali
进化震地脊刺	Evolvi Aculei sismici
进化削铁刃虫	Evolvi Simbionte smembrante
进化变换甲壳	Evolvi Carapace mutante
切割之爪	Simbionte acuminato
Evolve Stukov Infested Civilian Relentless	Evolvi Stukov Civile infestato implacabile
研究厌氧强化	Ricerca Incremento anaerobico
进化裂骨龙爪	Evolvi Simbionte esplosivo
进化加压腺体	Evolvi Ghiandole pressurizzate
进化暴捶	Evolvi Frollatura
进化组织同化	Evolvi Assimilazione dei tessuti
进化暴龙的保护	Evolvi Protezione tirannica
进化凶猛龙爪	Evolvi Simbionte maligno
进化麻痹勾刺	Evolvi Barbigli paralizzanti
进化剧毒细菌	Evolvi Microbi virali
进化切割利爪	Evolvi Artigli distruttori
加长热能射线枪	Lancia termica estesa
重工厂科技实验室研究	Fabbrica - Ricerca modulo tecnologico
建造净化者议会	Evoca Conclave dei Purificatori
启用隐形力场	Abilita Campo di occultamento
禁用隐形力场	Disabilita Campo di occultamento
建造强击机	Costruisci Interdittore
压制程序	Procedura di soppressione
折跃科罗拉里昂	Evoca Clolarion
激活科罗拉里昂的智能人格	I.A. eroica di Clolarion attiva
科罗拉里昂的智能人格准备完毕	I.A. eroica di Clolarion disponibile
下载科罗拉里昂的智能人格	Scarica l'I.A. eroica di Clolarion
科罗拉里昂的智能人格	I.A. eroica di Clolarion
制造拦截机	Costruisci Intercettore
太阳能射线	Raggio solare
超载！	Sovraccarico!
充能爆裂弹	Sovraccarico esplosivo
重力过载	Sovraccarico gravimetrico
重力碎裂炮	Disgregatori gravitonici
研究重力过载	Ricerca Sovraccarico gravimetrico
折跃卡尔达利斯	Evoca Kaldalis
寻战	Ingaggio
充能利刃	Lame potenziate
激活卡尔达利斯的智能人格	I.A. eroica di Kaldalis attiva
卡尔达利斯的智能人格准备完毕	I.A. eroica di Kaldalis disponibile
下载卡尔达利斯的智能人格	Scarica l'I.A. eroica di Kaldalis
菲尼克斯 卡尔达利斯 狂热者 守护者之盾	Fenix - Kaldalis - Zelota - Scudo guardiano
菲尼克斯 卡尔达利斯 狂热者 研究守护者之盾	Fenix - Kaldalis - Zelota - Ricerca Scudo guardiano
卡尔达利斯的智能人格	I.A. eroica di Kaldalis
折跃摩约	Evoca Mojo
动能飞弹	Missili superiori
激活摩约的智能人格	I.A. eroica di Mojo attiva
摩约的智能人格准备完毕	I.A. eroica di Mojo disponibile
下载摩约的智能人格	Scarica l'I.A. eroica di Mojo
摩约的智能人格	I.A. eroica di Mojo
Fenix PH	Fenix
研究隐形模块	Ricerca Modulo occultante
研究净化回荡	Ricerca Eco purificante
机动模式	Assetto mobile
折跃塔尔达林	Evoca Taldarin
激活塔尔达林的智能人格	I.A. eroica di Taldarin attiva
塔尔达林的智能人格准备完毕	I.A. eroica di Taldarin disponibile
下载塔尔达林的智能人格	Scarica l'I.A. eroica di Taldarin
塔尔达林的智能人格	I.A. eroica di Taldarin
折跃塔里斯	Evoca Talis
激活塔里斯的智能人格	I.A. eroica di Talis attiva
塔里斯的智能人格准备完毕	I.A. eroica di Talis disponibile
下载塔里斯的智能人格	Scarica l'I.A. eroica di Talis
菲尼克斯 塔里斯 使徒攻击 弹射	Fenix - Talis - Adepta - Uccisione di riflesso
研究衰弱系统	Ricerca Sistema debilitante
菲尼克斯 塔里斯 使徒 穿甲升级	Fenix - Talis - Adepta - Potenziamento perforante
菲尼克斯 塔里斯 使徒 研究穿甲升级	Fenix - Talis - Adepta - Ricerca Potenziamento perforante
菲尼克斯 塔里斯 使徒 护盾升级	Fenix - Talis - Adepta - Potenziamento scudo
塔里斯的智能人格	I.A. eroica di Talis
震慑冲锋	Carica tonante
折跃战争使者	Evoca Polemos
激活战争使者的智能人格	I.A. eroica di Polemos attiva
战争使者的智能人格准备完毕	I.A. eroica di Polemos disponibile
下载战争使者的智能人格	Scarica l'I.A. eroica di Polemos
菲尼克斯 战争使者 巨像 冰光束	Fenix - Polemos - Colosso - Raggio gelido
净化轰击	Esplosione purificante
战争使者的智能人格	I.A. eroica di Polemos
折跃干扰者	Evoca Disgregatore
最终神器力量	Potere artefatto finale
神器强化：原力炮	Potenziamento artefatto: Cannone gravitazionale
建造幽灵军校	Costruisci Accademia dei Fantasmi
幽灵军校研究2	Accademia dei Fantasmi - Ricerca 2
三连击	Triplo sparo
易燃酸液	Acido incendiario
喷吐火焰	Sputo infuocato
助燃腺体	Ghiandole combustive
神器强化：重力加速器	Potenziamento artefatto: Spinta gravitonica
重力驱动器	Propulsore gravitonico
引力推进器	Propulsori gravitonici
强效深槽虫道	Rintanamento profondo superiore
变异为大型蟑螂温室	Muta in Colonia di Blatte superiore
地面弹幕	Missile terrestre - Raffica
加长散射	Dispersione prolungata
耐力训练	Addestramento intensivo
建造至尊战列巡航舰	Schiera Incrociatore Sovereign
变回ATX激光炮组	Torna alla Batteria laser standard
精确打击	Assalto mirato
建造狮鹫	Costruisci Griffon
制造恶火	Costruisci Hellion
我的另一半	Dolci metà
部署麦格天雷	Schiera Mine automatizzate
无人机机库	Hangar dei Droni
多线程传感器	Sensori multipli
建造忒伊亚铁鸦	Schiera Raven Theia
医疗舱	Capsula curativa
训练收割者	Addestra Mietitore
LE9型集束炸弹	Bombe a grappolo LE9
喷气背包加力	Propulsore dorsale superiore
成像雷达	Radar rilevatore
建造汉的科技实验室	Costruisci Modulo tecnologico di Han
铁丝导弹	Missili Haywire
建造女武神	Costruisci Valkyrie
升级护甲等级1	Potenzia corazza livello 1
升级护甲等级2	Potenzia corazza livello 2
升级护甲等级3	Potenzia corazza livello 3
升级武器等级1	Potenzia armi livello 1
升级武器等级2	Potenzia armi livello 2
升级武器等级3	Potenzia armi livello 3
加固强化辅助型精钢护甲	Corazza in neo-acciaio migliorato
建造德摩斯维京战机	Schiera Viking Deimos
撕裂弹	Munizioni sminuzzatrici
狂暴飞弹	Missili W.I.L.D.
制造寡妇雷	Costruisci Mina Widow
处决飞弹	Missili Executioner
建造阿斯忒瑞亚怨灵战机	Schiera Wraith Asteria
未登记的隐形系统	Sistema di occultamento illegale
超载反应堆	Sovraccarico reattore
强化屏障	Barriera migliorata
环心镰钩	Uncini frenetici
阿古斯水晶	Cristallo Argus
战斗感应器阵列	Batteria bellica sensoriale
重力加速器	Spinta gravitonica
瞬时自动追踪	Puntamento automatico
KMC自动填弹装置	Caricatori automatici KMC
静滞校正	Calibrazione di stasi
充气甲壳	Carapace pneumatico
金甲虫机壳	Alloggiamento Scarabei
简化基因组	Genoma semplificato
防暴护盾	Scudo da combattimento
永恒屏障	Barriera eterna
原力炮	Cannone gravitazionale
隐身模块	Modulo occultante
治疗无人机隐形治疗光束	Drone riparatore - Raggio riparatore occultante
能量潮涌	Flusso di plasma
地狱火装甲	Blindatura Inferno
折跃高阶执政官	Evoca Alto Arconte
心能水晶坠饰	Amuleto khaydarin
折跃晋升者	Evoca Ascendente
呼叫舰队	Richiamo della flotta
兵营已禁用	Caserma disabilitata
混合体不朽者吞噬	Ibrido immortale - Consunzione
刺蛇已进化	Idralisca evoluta
折跃先锋	Evoca Pretoriano
折跃萨尔纳加执行者	Evoca Sterminatore xel'naga
脉冲增幅器	Amplificatore d'impulsi
进化强化吞噬	Evolvi Consunzione migliorata
强化纳米修复	Nanoriparazione migliorata
进化强化瘟疫	Evolvi Contagio migliorato
高级攻城科技	Tecnologia d'assedio avanzata
酸性酶	Enzimi acidi
孵化被感染的陆战队员	Genera Marine infestato
神器强化：无尽虚空	Potenziamento artefatto: Vuoto infinito
幼虫注射	Inoculazione larvale
捕食者飞弹	Missile Predator
技能专精	Abilità efficienti
引力跃迁弹射器	Catapulta gravitonica dimensionale
快速恢复	Ricarica rapida
军械优化	Munizioni ottimizzate
强化瞄准	Puntamento migliorato
凯莫瑞安助手	Aiuto kelmoriano
震荡榴弹	Granate a concussione
毁灭炮塔	Torretta Devastation
爆弹比利	Billy il Bombarolo
连锁反应	Reazione a catena
残暴龙爪	Simbionte maligno
进化隐形光环	Evolvi Aura occultante
进化吞食	Evolvi Consunzione
进化破胆咆哮	Evolvi Ruggito imponente
进化跳跃	Evolvi Balzo
进化灼热吐息	Evolvi Soffio ardente
进化践踏	Evolvi Assalto
进化横扫	Evolvi Spazzata
进化拖曳	Evolvi Trascinamento
解放者强化对空射程	Liberatore - Portata aria-aria migliorata
掠袭火炮	Artiglieria d'assalto
瞄准光学镜	Ottica di Puntamento
灼热吐息	Soffio ardente
磁轨武器	Munizioni elettromagnetiche
重生巢穴	Rigenera Nido
大规模佣兵投放	Consegna massiccia mercenari
感染空投	Capsule infestate
降低研究费用	Riduzione costi di ricerca
肌理重构	Tessuto autoricostituente
美杜莎之刃	Lame Medusa
强效治疗	Cura superiore
联邦神鹰	Condor confederati
精神控制	Controllo mentale
转转小子	Dizzy la Trottola
折跃浩劫	Evoca Atomizzatore
变异为尸体虫蟑螂	Trasforma in Blatta Necrofago
变异为守护者	Trasforma in Guardiano
变为科技反应堆	Trasforma in Tecnoreattore
取消消音模式	Annulla Assetto silenzioso
启动消音模式	Attiva Assetto silenzioso
观察者模式	Assetto Analizzatore
孵化掘地虫	Genera Locuste
变异为潜伏者巢穴	Muta in Antro delle Criptolische
父级	Origine
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
购买糖果	Negozio di caramelle
突变因子 混合体不朽者 死亡	Mutageno - Ibridi immortali - Morte
精钢指挥中心	Centro di comando in neo-acciaio
相位反应堆战服	Tuta a reattore di fase
飞行服	Tuta a propulsione turbo
神器强化：新星电池	Potenziamento artefatto: Batteria esplosiva
禁用侦测能力	Disattiva Individuazione
呼叫聚变打击	Richiesta nucleare
防御无人机	Droide di difesa
幽灵面罩	Visore fantasma
破坏无人机	Droide di sabotaggio
建造炸弹机器人	Costruisci Droidi esplosivi
装备炸弹机器人	Equipaggia Droidi esplosivi
装备闪光雷	Equipaggia Granate stordenti
装备闪光雷被动	Equipaggia Granate stordenti - Passiva
装备脉冲手雷	Equipaggia Granate a impulsi
装备脉冲手雷被动	Equipaggia Granate a impulsi - Passiva
装备超级强化剂	Equipaggia Super Stimpack
建造闪光弹	Costruisci Granata stordente
战术空运	Ponte aereo tattico
未装备配装	Nessun accessorio equipaggiato
未装备武器	Nessun'arma equipaggiata
诺娃奥丁歼灭	Nova - Odin - Annientamento
诺娃复活信标传送	Nova - Raggio rianimatore - Teletrasporto
极速恢复	Rigenerazione istantanea
眩晕无人机	Droide stordente
潜行模式	Assetto occultato
建造防御矩阵	Costruisci Matrice difensiva
锁定飞弹	Missili disorientanti
战术聚变打击	Attacco nucleare tattico
建造烟雾弹	Costruisci Bomba fumogena
装备霰弹步枪	Equipaggia Fucile di precisione
装备地狱火霰弹枪	Fucile Hellfire
装备改良式霰弹步枪	Equipaggia Fucile di precisione migliorato
穿透爆弹	Esplosione perforante
装备常胜狙击枪	Fucile di precisione Invictus
装备单分子光刀	Lama monomolecolare
装备灵能步枪	Fucile psionico
换装	Cambia equipaggiamento
战术聚变打击和全息诱饵	Attacco nucleare tattico e Illusione olografica
奥丁突杀	Odin - Attacco scattante
奥丁获得弹幕	Odin - Sbarramento
建造奥丁MKII	Costruisci Odin MK II
变异为虫道网络欧米茄	Muta in Rete omega
轨道吸纳舱	Assimilatore orbitale
空投：补给站	Richiesta Deposito
轨道空投	Capsule da sbarco orbitali
命令运载车辆撤退	Torna alla base
命令运载车辆前往目标点	Raggiungi il bersaglio
鲜血护盾	Scudi sanguinei
漩流弹	Proiettili Maelstrom
被动轨道轰炸	Attacco orbitale passivo
太阳能负载	Missili a solarite
原型护盾阵列	Sistema di scudi prototipo
T.H.O.R.N.S.还击系统	Sistema difensivo S.P.I.N.E.
能量恢复速度与武器射程	Rigenerazione energia/Portata armi
移动速度与生命恢复光环	Velocità di movimento/Aura di rigenerazione vitale
运载车辆升级3a	Potenziamento carico 3a
运载车辆升级3b	Potenziamento carico 3b
运载车辆升级4a	Potenziamento carico 4a
运载车辆升级4b	Potenziamento carico 4b
热辣贝蒂	Betty la Rossa
神器强化：相位电池	Potenziamento artefatto: Batteria fasica
搜集（+50 瓦斯）	Raccogli (+50 gas)
搜集（+25 晶体矿）	Raccolta (+25 minerali)
搜集（+50 晶体矿）	Raccogli (+50 minerali)
放置虫洞	Posiziona Varco spazio-temporale
定点防御无人机黑色行动	Drone di difesa puntuale - Operazioni segrete
预判闪现	Traslazione predittiva
原始守护者	Guardiano primordiale
原始宿主	Ospite primordiale
原始点火虫	Pirausta
原始穿刺者	Trafiggitore
破坏	Devastazione
原始蠕虫	Simbionte primordiale
先知视野	Visione profetica
升级星灵护甲等级1	Potenzia corazza protoss livello 1
升级星灵护甲等级2	Potenzia corazza protoss livello 2
升级星灵护甲等级3	Potenzia corazza protoss livello 3
升级星灵武器等级1	Potenzia armi protoss livello 1
升级星灵武器等级2	Potenzia armi protoss livello 2
升级星灵武器等级3	Potenzia armi protoss livello 3
净化光束	Raggio purificatore
纯粹意志	Volontà pura
变异为后虫	Trasforma in Regina
视觉共生体	Simbionte oculare
孵化巢虫	Genera Progenidi
刀锋女王	Regina delle Lame
设定集结点	Imposta punto di raduno
指引传奇军团	Guida Legione leggendaria
快速轰炸	Bombardamento rapido
进化急速孵化	Evolvi Incubazione rapida
隐秘检伤	Cure segrete
折跃萨尔纳加禁绝者	Evoca Risolutore xel'naga
紧急召回	Richiamo alla morte
重构光束	Raggio ricostituente
重构	Ricostruzione
神器强化：反射护盾	Potenziamento artefatto: Scudo riflettente
再生型生物钢	Bio-acciaio rigenerativo
修理德拉肯激光钻机	Ripara Trivella laser Drakken
补充寡妇雷	Rifornimento di Mine Widow
研究330毫米口径弹幕火炮	Ricerca Cannone da sbarramento da 330mm
研究隐秘剧毒巢穴	Ricerca Nido tossico nascosto
研究改良版剧毒巢穴	Ricerca Nido tossico migliorato
研究加压腺体	Ricerca Ghiandole pressurizzate
研究异龙生命值提高升级	Ricerca Potenziamento adattivo vita Mutalisca
进化网状化甲壳	Evolvi Carapace neurale
研究蟑螂射程提高升级	Ricerca Potenziamento adattivo portata Blatta
研究额外锁定目标	Ricerca Aggancia bersaglio aggiuntivo
研究灵能投射	Ricerca Proiezione psionica
研究使徒阴影负面效果	Ricerca Penalità Ombra Adepta
研究高级治疗AI	Ricerca IA curativa avanzata
研究盛气凌人	Ricerca Presenza imponente
研究空域追踪	Ricerca Tracciamento aereo
研究快速能量循环	Ricerca Ciclo rapido
研究心灵传动	Ricerca Telecinesi
研究血水晶共鸣	Ricerca Risonanza sanguinea
研究势不可挡	Ricerca Potenza travolgente
研究混乱调和	Ricerca Armonia caotica
混乱调和	Armonia caotica
研究力场冲击	Ricerca Esplosione di forza
研究灵魂强化	Ricerca Incremento di anime
研究侦测弱点	Ricerca Istinto predatorio
研究物质散化	Ricerca Dispersione materica
研究疯狂超载	Ricerca Sovraccarico frenetico
研究阿瑞斯级瞄准系统	Ricerca Sistema di puntamento classe Ares
研究自行裂生	Ricerca Mitosi automatizzata
研究隐形力场	Ricerca Campo di occultamento
研究火箭弹幕	Ricerca Sbarramento missilistico
研究强化屏障	Ricerca Barriera migliorata
研究光束反弹	Ricerca Rimbalzo raggio
研究闪现充能	Ricerca Cariche di Traslazione
研究闪现	Ricerca Traslazione
研究相位反应堆	Ricerca Reattore di fase
研究闪现护盾升级	Ricerca Potenziamento scudi di Traslazione
研究支撑性机械外骨骼	Ricerca Esoscheletro rinforzato
研究全能钢地堡	Ricerca Bunker in omniacciaio
研究光子炸弹	Ricerca Bombe fotoniche
研究修理无人机	Ricerca Droni riparatori
研究地狱犬地雷	Ricerca Mina Cerbero
研究时空光束	Ricerca Raggio temporale
研究云状散化	Ricerca Dispersione nebulizzata
研究干扰网	Ricerca Rete di disturbo
研究潜行驾驶	Ricerca Propulsore occultante
研究隐秘检伤	Ricerca Cure segrete
研究阿古斯水晶	Ricerca Cristallo Argus
研究精神控制	Ricerca Controllo mentale
研究黑暗圣堂武士召回	Ricerca Richiamo dei Templari oscuri
研究防御矩阵	Ricerca Matrice difensiva
进化野蛮冲锋	Evolvi Carica brutale
进化治疗适性	Evolvi Adattamento curativo
研究蜘蛛雷	Ricerca Mine ragno
研究毁灭光束	Ricerca Raggio distruttivo
研究衰变	Ricerca Disintegrazione
研究偏转力场	Ricerca Campo di dislocamento
研究双重引力光束	Ricerca Raggio gravitonico doppio
研究万亿压缩系统	Ricerca Sistemi compressivi in trillio
研究奇点充能	Ricerca Carica a singolarità
升级1级激光钻机	Potenzia trivella laser - Livello 1
升级2级激光钻机	Potenzia trivella laser - Livello 2
研究双熔切焊枪	Ricerca Doppi saldatori a fusione
研究回收	Ricerca Rivendicazione
研究强化加工	Ricerca Costruzione migliorata
研究强化线粒体	Ricerca Mitocondri potenziati
研究侦察协议	Ricerca Protocollo d'osservazione
研究强击机	Ricerca Interdittori
研究压制程序	Ricerca Procedura di soppressione
研究充能利刃	Ricerca Lame potenziate
研究战斗感应器阵列	Ricerca Batteria bellica sensoriale
研究优化发射器	Ricerca Emettitori ottimizzati
研究菲尼克斯 机械哨兵 虚相护盾 反射	Ricerca Scudo nullificante
研究光子超载	Ricerca Sovraccarico fotonico
研究净化者武装	Ricerca Dotazione Purificatori
研究菲尼克 塔里斯 使徒攻击 弹射	Ricerca Uccisione di riflesso di Talis
研究 菲尼克斯 塔里斯 使徒护盾升级	Ricerca Potenziamento scudo di Talis
研究净化轰击	Ricerca Esplosione purificante
研究火焰光束	Ricerca Raggio infuocato
研究消防系统	Ricerca Sistemi antincendio
研究火蝠	Ricerca Piromane
研究加固地堡	Ricerca Bunker fortificato
研发G-4型集束炸弹	Ricerca Bomba a grappolo G-4
研究EMP弹	Ricerca Proiettile elettromagnetico
研究三连击	Ricerca Triplo sparo
研究歌利亚武装机器人	Ricerca Goliath
研究射程调节	Ricerca di Portata graduale
研发引力推进器	Ricerca Propulsori gravitonici
研究装载凝固汽油弹	Ricerca Carica al napalm
研究爆燃液体	Ricerca Fluido incendiario
研究狂火炸药	Ricerca Esplosivi instabili
研究喷雾刺激发射器	Ricerca Emettitori terminali
