非晶态装甲云	Blindagem Nebulosa Amorfa
处于精华化身周围的友方单位将不断进化，逐步提高攻击速度和伤害抵抗力。	Unidades aliadas ao redor do Avatar da Essência evoluirão continuamente, ganhando velocidade de ataque e resistência a dano com o tempo.
为异虫地面单位和英雄单位提供升级方案。	Contém aprimoramentos para unidades terrestres e unidades heroicas zergs.
菌毯肿瘤可以施放诱捕。	Tumores gosmentos podem lançar Embuste.
允许<c val="ffff8a">虫群宿主</c>快速潜地前往地图上任意可见位置。	Permite que <c val="ffff8a">Hospedeiros do Enxame</c> se entoquem rapidamente em qualquer local visível no mapa.
虫群宿主潜地时可以排放菌毯。	Os Hospedeiros do Enxame geram gosma enquanto estão entocados.
所有友方单位向攻击者反弹1点伤害。	[NYI] All friendly units return 1 damage back to attackers.
<c val="ffff8a">畸变体</c>会使他们身下的单位受到的伤害减少<d ref="Behavior,AberrationArmorAuraTarget,DamageResponse.ModifyFraction*100"/>%。	<c val="ffff8a">Aberrações</c> concedem <d ref="Behavior,AberrationArmorAuraTarget,DamageResponse.ModifyFraction*100"/>% de redução de dano às unidades posicionadas embaixo delas.
当<c val="ffff8a">蟑螂</c>的生命值低于50%时，获得<d ref="Behavior,RoachShield,Modification[0].LifeArmorBonus"/>点额外护甲值。	<c val="ffff8a">Barata</c> ganha +<d ref="Behavior,RoachShield,Modification[0].LifeArmorBonus"/> de armadura quando a vida está abaixo de 50%.
为每一位指挥官孵化一名额外的共生体。	Gera um Simbionte adicional para cada Comandante.
<c val="ffff8a">刺蛇</c>的最大生命值提高20点。	As <c val="ffff8a">Hidraliscas</c> ganham +20 de Vida máxima.
<c val="ffff8a">爆虫</c>的攻击对主目标造成100%额外伤害，溅射伤害保持不变。	Aumenta o dano do ataque básico <c val="ffff8a">Tatu-bomba</c> contra um alvo primário em 100%. O dano colateral permanece o mesmo.
除了能造成普通伤害外，<c val="ffff8a">爆虫</c>的爆炸还能治疗附近的友方单位和建筑。	Além do dano normal, as explosões do <c val="ffff8a">Tatu-bomba</c> também curam unidades e estruturas aliadas próximas.
<c val="ffff8a">爆虫</c>的爆炸半径扩大50%。	O raio da explosão do <c val="ffff8a">Tatu-bomba</c> aumenta em 50%.
减少<c val="ffff8a">胆汁喷射体</c>轰炸技能的冷却时间。	Reduz a recarga do Bombardeio do <c val="ffff8a">Lançador de Bile</c>.
<c val="ffff8a">胆汁喷射体</c>的轰炸射程提高<d ref="$UpgradeEffectArrayValue:BileLauncherIncreasedRange:Weapon,BileLauncherZagaraBombardment,Range$"/>。	Aumenta em <d ref="$UpgradeEffectArrayValue:BileLauncherIncreasedRange:Weapon,BileLauncherZagaraBombardment,Range$"/> o alcance do Bombardeio do <c val="ffff8a">Lançador de Bile</c>.
<c val="ffff8a">虫后</c>的速效哺液治疗量提高10点，现在可以对机械单位和建筑使用。	Aumenta a cura da Transfusão Rápida da <c val="ffff8a">Rainha do Enxame</c> em 10 e permite que ela cure unidades mecânicas e estruturas.
<c val="ffff8a">巢虫领主</c>的移动速度提高<d ref="$UpgradeEffectArrayValue:KerriganVoidCoopBroodlordSpeed:Unit,BroodLord,Speed$/Unit,BroodLord,Speed*100" player="0"/>%，生命值提高+<d ref="$UpgradeEffectArrayValue:KerriganVoidCoopBroodlordSpeed:Unit,BroodLord,LifeMax$"/>。	Aumenta a velocidade de movimento do <c val="ffff8a">Lorde das Castas</c> em <d ref="$UpgradeEffectArrayValue:KerriganVoidCoopBroodlordSpeed:Unit,BroodLord,Speed$/Unit,BroodLord,Speed*100" player="0"/>% e a vida em +<d ref="$UpgradeEffectArrayValue:KerriganVoidCoopBroodlordSpeed:Unit,BroodLord,LifeMax$"/>.
提高<c val="ffff8a">爆虫</c>的移动速度。	Aumenta a velocidade de movimento dos <c val="ffff8a">Tatus-bomba</c>.
<c val="ffff8a">破坏者</c>的腐蚀胆汁伤害提高<d ref="Upgrade,RavagerCorrosiveBileDamageIncrease,EffectArray[0].Value"/>点。	O dano da Bile Corrosiva do <c val="ffff8a">Devastador</c> aumenta em <d ref="Upgrade,RavagerCorrosiveBileDamageIncrease,EffectArray[0].Value"/>.
<c val="ffff8a">破坏者</c>的腐蚀胆汁的命中范围增大<d ref="($UpgradeEffectArrayValue:RavagerCorrosiveBileRadiusIncrease:Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius$/Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius-1)*100"/>%。	O tamanho do impacto da Bile Corrosiva do <c val="ffff8a">Devastador</c> aumenta em <d ref="($UpgradeEffectArrayValue:RavagerCorrosiveBileRadiusIncrease:Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius$/Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius-1)*100"/>%.
<c val="ffff8a">吞噬者</c>的攻击现在会造成范围性伤害。	Ataques do <c val="ffff8a">Devorador</c> agora causam dano de área.
<c val="ffff8a">刺蛇</c>的攻击速度提高50%，持续<d ref="Behavior,HydraliskFrenzy,Duration"/>秒。	Aumenta a velocidade de ataque das <c val="ffff8a">Hidraliscas</c> em 50% por <d ref="Behavior,HydraliskFrenzy,Duration"/> segundos.
<c val="ffff8a">守护者</c>的攻击射程提高<d ref="Upgrade,GuardianAttackRangeIncrease,EffectArray[0].Value"/>。	O alcance de ataque do <c val="ffff8a">Guardião</c> é aumentado em <d ref="Upgrade,GuardianAttackRangeIncrease,EffectArray[0].Value"/>.
<c val="ffff8a">跳虫</c>的最大生命值提高10点。	Os <c val="ffff8a">Zergnídeos</c> ganham +10 de Vida máxima.
允许<c val="ffff8a">孵化场</c>、<c val="ffff8a">虫穴</c>和<c val="ffff8a">主巢</c>同时生出两只<c val="ffff8a">虫后</c>。	Permite que <c val="ffff8a">Incubadoras</c>, <c val="ffff8a">Antros</c> e <c val="ffff8a">Colmeias</c> criem duas <c val="ffff8a">Rainhas do Enxame</c> ao mesmo tempo.
<c val="ffff8a">蟑螂</c>对轻甲单位造成<d ref="Upgrade,HotSRoachDamage,EffectArray[0].Value / Effect,AcidSalivaU"/>点额外伤害值。	A <c val="ffff8a">Barata</c> ganha +<d ref="Upgrade,HotSRoachDamage,EffectArray[0].Value / Effect,AcidSalivaU"/> de dano contra unidades leves.
<c val="ffff8a">凯瑞甘</c>的攻击对其目标造成普通伤害，并弹射至周围的其他敌人。最多能对4个额外目标造成<d ref="Effect,ChainReaction2Damage,Amount"/>点伤害值。	Os ataques de <c val="ffff8a">Kerrigan</c> causam dano normal ao alvo e se propagam para inimigos adicionais próximos. Causa <d ref="Effect,ChainReaction2Damage,Amount"/> de dano a até quatro alvos adicionais.
<c val="ffff8a">凯瑞甘</c>的技能冷却时间和能量消耗降低20%。	Reduz o custo e a recarga das habilidades de <c val="ffff8a">Kerrigan</c> em 20%.
<c val="ffff8a">凯瑞甘</c>的最大生命值提高200点。<n/>生命恢复速度提高100%。	<c val="ffff8a">Kerrigan</c> ganha +200 de vida máxima.<n/>Taxa de regeneração de vida aumentada em 100%.
<c val="ffff8a">扎加拉</c>的攻击会造成范围伤害，溅射其主要目标附近的敌人。	Os ataques de <c val="ffff8a">Zagara</c> causam dano de área, afetando unidades inimigas perto do alvo primário.
<c val="ffff8a">雷兽</c>的攻击造成的溅射伤害提高至<d ref="Effect,HotSUltraliskKaiserBladesSecondaryUpgradeDamage,Amount"/>点。	Dano colateral dos ataques do <c val="ffff8a">Mammuthus</c> aumentado em <d ref="Effect,HotSUltraliskKaiserBladesSecondaryUpgradeDamage,Amount"/>.
使<c val="ffff8a">刺蛇</c>不在菌毯上的移动速度提高25%，射程提高1。	Aumenta a velocidade de movimento da <c val="ffff8a">Hidralisca</c> e aumenta o alcance do ataque em +1.
<c val="ffff8a">异龙</c>在非战斗状态下会快速恢复生命值。	<c val="ffff8a">Mutaliscas</c> regeneram vida rapidamente quando fora de combate.
<c val="ffff8a">被感染的陆战队员</c>和<c val = "ffff8a">被感染的士兵</c>在<d ref="Behavior,SIInfestedTrooperMarinePlaguedMunitions,Duration"/>秒内对他们的目标造成额外<d ref="Behavior,SIInfestedTrooperMarinePlaguedMunitions,Duration/Behavior,SIInfestedTrooperMarinePlaguedMunitions,Period/Effect,SIInfestedTrooperMarinePlaguedMunitionsDamage,Amount"/>点伤害。	<c val="ffff8a">Soldados Infestados</c> e <c val = "ffff8a">Combatentes Infestados</c> causam <d ref="Behavior,SIInfestedTrooperMarinePlaguedMunitions,Duration/Behavior,SIInfestedTrooperMarinePlaguedMunitions,Period/Effect,SIInfestedTrooperMarinePlaguedMunitionsDamage,Amount"/> de dano adicional ao longo de <d ref="Behavior,SIInfestedTrooperMarinePlaguedMunitions,Duration"/> segundos às unidades que atacarem.
<c val="ffff8a">被感染的响尾蛇战车</c>的真菌诱捕的冷却时间缩短15秒。	Reduz a recarga da Armadilha Fúngica da <c val="ffff8a">Cascavel Infestada</c> em 15 segundos.
<c val="ffff8a">被感染的响尾蛇战车</c>移动时会留下强酸尾迹，对敌方单位每秒造成<d ref="Effect,StukovInfestedDiamondSlimePuddleDamage,Amount*(1/Behavior,StukovInfestedDiamondSlimePuddleDamageDebuff,Period)"/>点伤害。	<c val="ffff8a">Cascavéis Infestadas</c> deixam uma trilha de ácido enquanto se deslocam, causando<d ref="Effect,StukovInfestedDiamondSlimePuddleDamage,Amount*(1/Behavior,StukovInfestedDiamondSlimePuddleDamageDebuff,Period)"/>de dano por segundo às unidades inimigas.
<c val="ffff8a">被感染的陆战队员</c>和<c val="ffff8a">被感染的士兵</c>获得+1攻击射程。	<c val="ffff8a">Soldados Infestados</c> e <c val="ffff8a">Combatentes Infestados</c> ganham +1 de alcance de ataque.
被感染的攻城坦克的弹药容量增加4枚 (最多8枚)。	Aumenta em 4 a capacidade de munição dos Tanques de Cerco Infestados (total de 8).
被感染的攻城坦克在架起时可以使用它们的触手攻击 (可以同时使用两种武器进行攻击)。	Tanques de Cerco Infestados podem usar o ataque de Tentáculo no modo Agressivo (atacam com as duas armas ao mesmo tempo).
NOT USED. <c val="ffff8a">Scourge</c> gain +75 life.	NOT USED. <c val="ffff8a">Scourge</c> gain +75 life.
变异<c val="ffff8a">爆蚊</c>所需的瓦斯消耗减少50。	Reduz o custo de gás vespeno para transmutar o <c val="ffff8a">Flagelo</c> em 50.
<c val="ffff8a">爆蚊</c>死亡时在小范围内造成50%的攻击伤害。	<c val="ffff8a">Flagelo</c> causa 50% de dano em uma pequena área ao morrer.
<c val="ffff8a">异龙</c>的每次后续弹射攻击不再降低伤害。	O ataque da <c val="ffff8a">Mutalisca</c> não tem mais seu dano reduzido a cada ricochete seguido.
被感染的平民死后可以重新孵化一次。	Civis Infestados renascem uma vez após morrer.
<c val="ffff8a">被感染的平民</c>死后会孵化一只巢虫。	<c val="ffff8a">Civis Infestados</c> geram um Parasitoide ao morrer.
允许<c val="ffff8a">被感染的平民</c>快速扑向附近的敌方地面单位。	Permite que <c val="ffff8a">Civis Infestados</c> saltem rapidamente na direção de unidades terrestres inimigas próximas.
<c val="ffff8a">异龙</c>对重甲单位造成100%的额外伤害。	<c val="ffff8a">Mutaliscas</c> causam 100% de dano extra a unidades blindadas.
使共生体的尖刺喷射的射程提高25%，冷却时间缩短10%	Aumenta o alcance da Erupção de Espinhos do Simbionte em 25% e reduz a recarga em 10%
使共生体的刺击伤害和射程提高20%	Aumenta o dano e o alcance do Esfaquear do Simbionte em 20%
<c val="ffff8a">雷兽</c>可从普通攻击中获得生命值，相当于造成所有伤害的40%。	Concede vida do <c val="ffff8a">Mammuthus</c> equivalente a 40% do total de dano causado com ataques normais.
进化为莽兽。	Evolui para Brutalisca.
进化为利维坦。	Evolui para Leviatã.
<c val="ffff8a">飞蛇</c>的绑架使单位昏迷额外<d ref="Upgrade,ViperAbductImprovedStun,EffectArray[0].Value"/>秒。	Abduzir da <c val="ffff8a">Víbora</c>atordoa unidades por mais <d ref="Upgrade,ViperAbductImprovedStun,EffectArray[0].Value"/> segundos.
<c val="ffff8a">扎加拉</c>的最大生命值提高200点。<n/>生命恢复速度提高100%。	<c val="ffff8a">Zagara</c> ganha +200 de vida máxima.<n/>Taxa de regeneração de vida aumentada em 100%.
<c val="ffff8a">跳虫</c>的攻击会使目标的护甲降低至0，持续<d ref="Behavior,ZerglingArmorShredTarget,Duration"/>秒。	Ataques de <c val="ffff8a">Zergnídeos</c> reduzem a armadura do alvo para 0 por <d ref="Behavior,ZerglingArmorShredTarget,Duration"/> segundos.
易爆感染体在原地引爆，对周围的敌方单位和建筑造成伤害。	A unidade Infestada Volátil detona onde estiver, danificando unidades e estruturas inimigas próximas.
<c val="ffff8a">异龙</c>对重甲单位造成100%额外伤害。	<c val="ffff8a">Mutaliscas</c> causam 100% de dano extra a unidades blindadas.
使巨像的射程提高3。	Colossos ganham +3 de alcance.
将目标单位拉向飞蛇。敌人昏迷<d ref="Behavior,YoinkEnemyStun,Duration"/>秒。	Puxa a unidade alvo para perto da Víbora. O inimigo fica atordoado por <d ref="Behavior,YoinkEnemyStun,Duration"/> <lang rule="plural">segundo,segundos</lang>.
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶蝠<n/>- 歌利亚武装机器人<n/>- 使SCV可以建造热辣贝蒂<n/>- 使SCV可以建造爆弹比利	Central de produção veicular.<n/><n/><c val="ffff8a">Ativa:</c><n/>- Morcegos Infernais<n/>- Golias<n/>- Betty Flamejante a partir de VCE<n/>- Billy Bomba a partir de VCE
清空目标单位的所有能量，每点能量造成<d ref="Effect,Feedback,VitalFractionCurrent[Energy]"/>点伤害。	Drena toda a energia do alvo. Causa <d ref="Effect,Feedback,VitalFractionCurrent[Energy]"/> de dano por ponto de energia.
菲尼克斯的塞布罗斯仲裁者战甲定位为空中支援和扰敌单位。可以使用静滞力场、隐形力场和召回。<n><n><c val="ffff8a">可以对地和对空。</c>	O Traje Mediadora Cybros de Fenix é configurado para dar suporte aéreo e assediar o inimigo. Usa Campo de Estase, Campo de Camuflagem e Chamado.<n><n><c val="ffff8a">Ataca unidades terrestres e aéreas.</c>
启用隐形力场，使菲尼克斯附近的友方单位隐形。维持隐形力场每秒消耗5点能量。	Ativa Campo de Camuflagem, camuflando unidades aliadas perto de Fenix. Custa 5 de energia por segundo para manter.
禁用隐形力场。	Desativar Campo de Camuflagem.
使目标区域内的敌人陷入静滞状态<d ref="Behavior,ArbiterMPStasisField,Duration"/>秒。静滞状态下的单位无法攻击、移动、被攻击或受任何技能影响。	Deixa unidades inimigas na área selecionada em estase por <d ref="Behavior,ArbiterMPStasisField,Duration"/> segundos. Unidades em estase não podem se mover, atacar, ser atacadas nem ser afetadas por habilidades.
建造强击机，自动轰炸敌方地面单位造成<d ref="Effect,FenixClolarionBomberDamage,Amount - Effect,FenixNetworkedSuperiorityCarrier,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityCarrier,Amount" precision="1"/>)</c> 点伤害。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Constrói Interditores que bombardeiam unidades terrestres inimigas automaticamente, causando <d ref="Effect,FenixClolarionBomberDamage,Amount - Effect,FenixNetworkedSuperiorityCarrier,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityCarrier,Amount" precision="1"/>)</c> de dano.<n/><n/><c val="#ColorAttackInfo">Ataca unidades terrestres.</c>
建造强击机，自动轰炸敌方地面单位造成<d ref="Effect,FenixClolarionBomberDamage,Amount - Effect,FenixNetworkedSuperiorityCarrier,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityCarrier,Amount" precision="1"/>)</c>点伤害。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Constrói Interditores que bombardeiam unidades terrestres inimigas automaticamente, causando <d ref="Effect,FenixClolarionBomberDamage,Amount - Effect,FenixNetworkedSuperiorityCarrier,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityCarrier,Amount" precision="1"/>)</c> de dano.<n/><n/><c val="#ColorAttackInfo">Ataca unidades terrestres.</c>
<n/><n/><c val="00ffff">战术数据网</c><n/>每联网一艘航母，强击机的伤害便提高<d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityCarrier:Effect,FenixNetworkedSuperiorityCarrier,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Carrier,Food*(-1)"/>点（最多提高<d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityCarrier:Effect,FenixNetworkedSuperiorityCarrier,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/>点）。	<n/><n/><c val="00ffff">Rede de Dados Táticos</c><n/>O dano do Interditor aumenta em <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityCarrier:Effect,FenixNetworkedSuperiorityCarrier,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Carrier,Food*(-1)"/> para cada Transportadora na rede (até <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityCarrier:Effect,FenixNetworkedSuperiorityCarrier,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> de dano).
净化者阵营<n/>一位著名的执行官，曾率领古代净化者起义对抗最高议会。建造拦截机攻击敌人。太阳能射线攻击空中单位，伤害随着时间推移不断提高。<n/><n/><c val="ffff8a">可以对空和对地。</c>	Facção dos Purificadores<n/>Um famoso executor que liderou os Purificadores antigos na rebelião contra o Conclave. Constrói Interceptores para atacar inimigos. O Feixe Solar ataca unidades aéreas e causa mais dano ao longo do tempo.<n/><n/><c val="ffff8a">Ataca unidades terrestres e aéreas.</c>
科罗拉里昂加入战场。<n/><n/>宿主机体可用：<c val="00ffff"><d ref="Effect,FenixChampionShellCountCarrier,Amount" player="current"/></c>	Clolárion está no campo de batalha.<n/><n/>Carapaças Hospedeiras disponíveis: <c val="00ffff"><d ref="Effect,FenixChampionShellCountCarrier,Amount" player="current"/></c>
折跃一艘航母，为科罗拉里昂提供宿主机体。	Transdobre uma Transportadora para fornecer uma carapaça hospedeira a Clolárion.
准备科罗拉里昂的智能人格，以便下载至任意可用的航母机体。	Prepara a Personalidade I.A. de Clolárion para download em qualquer carapaça de Transportadora disponível.
将科罗拉里昂的智能人格下载至任意可用的航母机体。	A Personalidade I.A. de Clolárion é baixada em qualquer carapaça de Transportadora disponível.
建造拦截机，自动攻击科罗拉里昂的目标。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Constrói Interceptores que atacam o alvo de Clolárion automaticamente.<n/><n/><c val="#ColorAttackInfo">Ataca unidades terrestres e aéreas.</c>
科罗拉里昂的太阳能射线照在单个目标身上的时间越久，其伤害越高。	O dano do Feixe Solar de Clolárion aumenta proporcionalmente ao tempo Clolárion que ele dedicar ao mesmo alvo.
菲尼克斯的执政官战甲定位为重型地面突击力量，能够进行范围性攻击并吸收伤害。可以使用震慑冲锋、旋风斩和护盾储能器。<n><n><c val="ffff8a">可以对地。</c>	O Traje de Blindagem de Pretor de Fenix é configurado para ataque terrestre pesado, ataques de área e absorção de dano. Usa Investida Trovejante, Redemoinho e Capacitor de Escudo.<n><n><c val="ffff8a">Ataca unidades terrestres.</c>
菲尼克斯的太阳能龙骑士战甲定位为远程攻击手和毁灭性技能发起者。可以使用太阳能炮、太阳能光爆和武库超载。<n><n><c val="ffff8a">可以对地和对空。</c>	O Traje Dragonte de Solarita de Fenix é configurado para ataques a distância e tem habilidades devastadoras. Usa Canhão Solar, Explosão de Solarita e Sobrecarga de Arsenal.<n><n><c val="ffff8a">Ataca unidades terrestres e aéreas.</c>
发射一枚空爆弹，对敌方空中单位造成<d ref="Effect,FenixDragoonAirBombAirDamage,Amount"/>点伤害。	Dispara um sinalizador explosivo aéreo que causa <d ref="Effect,FenixDragoonAirBombAirDamage,Amount"/> de dano a unidades aéreas inimigas.
<n><n><c val="F0FD02">超载！</c>在武库超载激活时施放技能没有冷却时间。	<n><n><c val="F0FD02">Sobrecarregado!</c> Pode ser lançado sem recarga enquanto a Sobrecarga de Arsenal estiver ativa.
激活武库超载，使你的伤害性技能没有冷却时间，持续<d ref="Behavior,ChargeBuster,Duration"/>秒。	Ativar Sobrecarga de Arsenal faz suas habilidades de dano ignorarem recargas por <d ref="Behavior,ChargeBuster,Duration"/> s.
冷却时间：60<n><n>	Recarga: 60<n><n>
冷却时间：120<n><n>	Recarga: 120<n><n>
武库超载激活时，你的伤害性技能没有冷却时间。	Suas habilidades de dano podem ser lançadas sem recarga enquanto a Sobrecarga de Arsenal estiver ativa.
对目标单位或建筑造成<d ref="(Effect,FenixDragoonChargedBlastDamage,Amount*Behavior,FenixDragoonChargedBlast,PeriodCount)"/>点伤害。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Causa <d ref="(Effect,FenixDragoonChargedBlastDamage,Amount*Behavior,FenixDragoonChargedBlast,PeriodCount)"/> de dano à unidade ou estrutura-alvo. <n/><n/><c val="#ColorAttackInfo">Atinge unidades terrestres e aéreas.</c>
发射一道穿透性光束，对沿途所有敌方地面单位造成<d ref="Effect,ChargedBusterDamage,Amount"/>点伤害。	Dispara um feixe penetrante que causa <d ref="Effect,ChargedBusterDamage,Amount"/> de dano a todas as unidades inimigas terrestres no caminho.
每次攻击储存对目标造成伤害的<d ref="Effect,FenixTaldarinImmortalDetonationDummyFraction,Amount" player="0"/>%。目标被击杀时它将爆炸，对附近所有敌方单位释放储存的全部伤害。	Cada ataque armazena no alvo <d ref="Effect,FenixTaldarinImmortalDetonationDummyFraction,Amount" player="0"/>% do dano causado. Quando essa unidade-alvo é morta, ela explode, causando todo o dano armazenado às unidades inimigas próximas.
每次攻击储存对目标造成伤害的<d ref="Effect,FenixTaldarinImmortalDetonationDummyFraction,Amount" player="0"/>% <c val="00ffff">（+<d ref="Effect,FenixNetworkedSuperiorityImmortal,Amount"/>%）</c>。目标被击杀时它将爆炸，对附近所有敌方单位释放储存的全部伤害。<n/><n/><c val="00ffff">战术数据网</c><n/>每联网一名不朽者，每次攻击重力过载储存 <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityImmortal:Effect,FenixNetworkedSuperiorityImmortal,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Immortal,Food*(-1)" precision="1"/>%的额外伤害（最多储存<d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityImmortal:Effect,FenixNetworkedSuperiorityImmortal,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/>%的伤害）。	Cada ataque armazena no alvo <d ref="Effect,FenixTaldarinImmortalDetonationDummyFraction,Amount" player="0"/>% <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityImmortal,Amount"/>%)</c> do dano causado. Quando é morta, a unidade-alvo explode, causando todo o dano armazenado às unidades inimigas próximas.<n/><n/><c val="00ffff">Rede de Dados Táticos</c><n/>A Sobrecarga Gravimétrica armazena <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityImmortal:Effect,FenixNetworkedSuperiorityImmortal,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Immortal,Food*(-1)" precision="1"/>% a mais de dano por ataque para cada Imortal na rede (até <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityImmortal:Effect,FenixNetworkedSuperiorityImmortal,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/>% de dano).
攻击可产生一个重力井，将附近的敌人拽向目标。	Os ataques criam uma fonte gravitacional que puxa unidades inimigas próximas para o alvo.
<c val="ffff8a">塔尔达林</c>的攻击储存对目标造成伤害的<d ref="Effect,FenixTaldarinImmortalDetonationDummyFraction,Amount" player="0"/>%。目标被击杀时它将爆炸，对附近所有敌方单位释放储存的全部伤害。	Os ataques de <c val="ffff8a">Taldarin</c> armazenam no alvo <d ref="Effect,FenixTaldarinImmortalDetonationDummyFraction,Amount" player="0"/>% do dano causado. Quando essa unidade-alvo é morta, ela explode, causando todo o dano armazenado às unidades inimigas próximas.
净化者阵营<n>一位骁勇无比的狂热者，曾在重夺艾尔的圣堂武士先头部队中作战。可以使用寻战跃向敌人。<n/><n/><c val="ffff8a">可以对地。</c>	Facção dos Purificadores<n>Um fanáticus de bravura excepcional que lutou na vanguarda dos Templários para retomar Aiur. Usa Iniciar Ataque para saltar contra inimigos.<n/><n/><c val="ffff8a">Ataca unidades terrestres.</c>
卡尔达利斯拦截目标单位。	Kaldalis intercepta a unidade-alvo.
卡尔达利斯的攻击对附近目标造成<d ref="Effect,FenixKaldalisZealotPsiBladesCleave,Amount"/>点伤害。<n/><n/>	Os ataques de Kaldalis causam <d ref="Effect,FenixKaldalisZealotPsiBladesCleave,Amount"/> de dano aos alvos próximos.<n/><n/>
卡尔达利斯的攻击对附近目标造成<d ref="Effect,FenixKaldalisZealotPsiBladesCleave,Amount-Effect,FenixNetworkedSuperiorityZealot,Amount"/> <c val="00ffff">（+<d ref="Effect,FenixNetworkedSuperiorityZealot,Amount"/>）</c>点伤害。<n/><n/><c val="00ffff">战术数据网</c><n/>每联网一位军团士兵，充能利刃即可造成额外<d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityZealot:Effect,FenixKaldalisZealotPsiBladesCleave,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,ZealotPurifier,Food*(-1)"/>点伤害（最多<d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityZealot:Effect,FenixKaldalisZealotPsiBladesCleave,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/>点伤害）。	Os ataques de Kaldalis causam <d ref="Effect,FenixKaldalisZealotPsiBladesCleave,Amount-Effect,FenixNetworkedSuperiorityZealot,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityZealot,Amount"/>)</c> de dano aos alvos próximos.<n/><n/><c val="00ffff">Rede de Dados Táticos</c><n/>Lâminas Energizadas causam <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityZealot:Effect,FenixKaldalisZealotPsiBladesCleave,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,ZealotPurifier,Food*(-1)"/> de dano extra para cada Legionário na rede (até <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityZealot:Effect,FenixKaldalisZealotPsiBladesCleave,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> de dano).
卡尔达利斯加入战场。<n/><n/>宿主机体可用：<c val="00ffff"><d ref="Effect,FenixChampionShellCountZealot,Amount" player="current"/></c>	Kaldalis está no campo de batalha.<n/><n/>Carapaças Hospedeiras disponíveis: <c val="00ffff"><d ref="Effect,FenixChampionShellCountZealot,Amount" player="current"/></c>
折跃一名军团士兵，为卡尔达利斯提供宿主机体。	Transdobre um Legionário para fornecer uma carapaça hospedeira a Kaldalis.
准备卡尔达利斯的智能人格，以便下载至任意可用的军团士兵机体。	Prepare a Personalidade I.A. de Kaldalis para download em qualquer carapaça de Legionário disponível.
创造一个范围为4的光环，使其中的友方单位受到的伤害降低2点。持续<d time="15"/>。	Cria uma aura com alcance 4 que reduz em 2 todo o dano de ataque recebido por unidades aliadas. Dura <d time="15"/>.
将卡尔达利斯的智能人格下载至任意可用的军团士兵机体。	A Personalidade I.A. de Kaldalis é baixada em qualquer carapaça de Legionário disponível.
该技能被锁定。	Esta habilidade está bloqueada.
