非晶态装甲云	Amorphe Deckungswolke
爆蚊巢穴自动孵化爆蚊。	Terrornester erschaffen automatisch Terrors.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>扎加拉的最大补给数提高到150。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Zagaras Versorgungslimit ist auf 150 erhöht.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>扎加拉的爆蚊巢穴数量限制为1个。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Terrornester sind auf 1 begrenzt.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>额外孵化1只爆蚊。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Erschafft einen zusätzlichen Terror.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>扎加拉的生命值和能量恢复速度提高。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Zagaras Trefferpunkte und Energieregeneration sind erhöht.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>额外孵化1只跳虫。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Erschafft einen zusätzlichen Zergling.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>可以收集的神器碎片还有<s val="Coop_Prestige_Tooltip"><d ref="Effect,ZeratulArtifactLimitDummy,Amount"/></s>个。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Es können nur <s val="Coop_Prestige_Tooltip"><d ref="Effect,ZeratulArtifactLimitDummy,Amount"/></s> Artefaktbruchstücke eingesammelt werden.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>可以收集的神器碎片没有数量限制。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Es können unbegrenzt viele Artefaktbruchstücke eingesammelt werden.
<n/><n/><s val="Coop_Prestige_Tooltip">威望：</s>每收集一个神器碎片都会使冷却时间缩短<s val="Coop_Prestige_Tooltip"><d time="[d ref='$UpgradeEffectArrayValue:CommanderPrestigeZeratulTornadoesShadowCleave1:Abil,ZeratulShadowCleave,Cost[0].Cooldown.TimeUse$'/]"/></s>秒。暗影顺劈生成一个龙卷风，可以对敌方单位造成伤害并使其减速。	<n/><n/><s val="Coop_Prestige_Tooltip">Prestige:</s> Jedes gesammelte Artefaktbruchstück verringert die Abklingzeit um <s val="Coop_Prestige_Tooltip"><d time="[d ref='$UpgradeEffectArrayValue:CommanderPrestigeZeratulTornadoesShadowCleave1:Abil,ZeratulShadowCleave,Cost[0].Cooldown.TimeUse$'/]"/></s>. "Schattenschlitzer" erschafft einen Tornado, der gegnerische Einheiten verlangsamt und ihnen Schaden zufügt.
在目标位置部署虚空寻觅者号，使范围内的所有友方单位和建筑隐形，且无法被侦测，持续<d ref="Effect,CommanderPrestigeZeratulVoidSeekerSuperCloakCP,PeriodCount*Effect,CommanderPrestigeZeratulVoidSeekerSuperCloakCP,PeriodicPeriodArray[0]"/>秒。	Ruft die Leerensucher an den Zielort, tarnt alle verbündeten Einheiten und Gebäude im Zielbereich und macht sie unaufdeckbar. Hält <d ref="Effect,CommanderPrestigeZeratulVoidSeekerSuperCloakCP,PeriodCount*Effect,CommanderPrestigeZeratulVoidSeekerSuperCloakCP,PeriodicPeriodArray[0]"/> Sek. lang an.
空投4台武装机器人，将着陆地点的敌方地面单位击晕。武装机器人可被控制，持续<d ref="Behavior,ARESTimedLife,Duration"/>秒。	Fordert 4 A.R.E.S.-Kriegsbots an, die gegnerische Bodeneinheiten in der Landezone betäuben. Die Kriegsbots können gesteuert werden und bleiben <d ref="Behavior,ARESTimedLife,Duration"/> Sek. lang bestehen.
将扎加拉的爆虫进化为分裂虫变种。<n/><n/>自毁型单位。死亡时能够造成小范围的伤害。在其死后分裂成若干个小单位。<n/><n/><c val="ffff8a">可以对地。</c>	Entwickelt Zagaras Berstlinge zur Gattung Splitterling.<n/><n/>Selbstmordeinheit. Verursacht beim Sterben in einem kleinen Bereich Schaden. Spaltet sich beim Sterben in kleinere Einheiten auf. <n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
泽拉图每找到一块神器碎片，就会获得额外的护盾、暗影顺劈伤害提高以及额外的闪现使用次数。	Jedes gefundene Xel'Naga-Artefaktbruchstück gewährt Zeratul zusätzliche Schilde, erhöhten Schaden mit der Fähigkeit "Schattenschlitzer" und zusätzliche Aufladungen für seine Fähigkeit "Transit".
核弹头卡车建造中。<n/><n/><c val="F2BE0D">建造结束后，你和你的盟友可以直接控制他们。</c>	Laster mit Nuklearsprengköpfen im Bau.<n/><n/><c val="F2BE0D">Nach Fertigstellung können Sie und Ihr Verbündeter sie direkt steuern.</c>
吞噬一只工蜂可以使德哈卡的重生倒计时缩短<d ref="Effect,DehakaDroneReviveTimerRefLink,Amount * (-1)"/>秒。	Verschlingt eine Drohne, um die Zeit bis zu Dehakas Wiederbelebung um <d ref="Effect,DehakaDroneReviveTimerRefLink,Amount * (-1)"/> Sek. zu verkürzen.
孵化6只原始蝗虫进行战斗，持续<d ref="Behavior,DehakaLocustTimedLife,Duration"/>秒。	Erschafft 6 Urschrecken, die <d ref="Behavior,DehakaLocustTimedLife,Duration"/> Sek. lang in den Kampf eingreifen.
孵化6只原始蝗虫和6只爆裂掘地虫进行战斗，持续<d ref="Behavior,DehakaLocustTimedLife,Duration"/>秒。	Erschafft 6 Urschrecken und 6 explosive Zecken, die <d ref="Behavior,DehakaLocustTimedLife,Duration"/> Sek. lang in den Kampf eingreifen.
对目标区域内的所有敌方单位发射强酸，降低他们的攻击速度和护甲。叠加3次。	Schleudert Säure auf alle gegnerischen Einheiten im Zielbereich und verringert deren Angriffsgeschwindigkeit und Panzerung. Bis zu 3-mal stapelbar.
破坏者的腐蚀胆汁的伤害提高<d ref="Upgrade,RavagerCorrosiveBileDamageIncrease,EffectArray[0].Value"/>点。	Erhöht den Schaden der Fähigkeit "Ätzende Galle" von Verheerern um <d ref="Upgrade,RavagerCorrosiveBileDamageIncrease,EffectArray[0].Value"/>.
破坏者的腐蚀胆汁的范围增大<d ref="($UpgradeEffectArrayValue:RavagerCorrosiveBileRadiusIncrease:Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius$/Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius-1)*100" player = "0"/>%。	Vergrößert den Wirkungsbereich der Fähigkeit "Ätzende Galle" von Verheerern um <d ref="($UpgradeEffectArrayValue:RavagerCorrosiveBileRadiusIncrease:Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius$/Effect,RavagerCorrosiveBileAoeSearch,AreaArray[0].Radius-1)*100" player = "0"/>%.
用异虫黏液覆盖目标敌方单位，使其受到的伤害提高<d ref="Behavior,Corruption,DamageResponse.ModifyFraction*100-100"/>%，持续<d ref="Behavior,Corruption,Duration"/>秒。	Bedeckt die feindliche Zieleinheit mit Zerg-Schleim und erhöht den erlittenen Schaden <d ref="Behavior,Corruption,Duration"/> Sek. lang um <d ref="Behavior,Corruption,DamageResponse.ModifyFraction*100-100"/>%.
对空空军，可以使用腐化技能。<n/><n/><c val="#ColorAttackInfo">可以对空。</c>	Fliegende Luftabwehreinheit. Kann die Fähigkeit "Korrumpierung" einsetzen.<n/><n/><c val="#ColorAttackInfo">Kann Lufteinheiten angreifen.</c>
爆蚊巢穴使你能变异腐化者。	Das Terrornest ermöglicht die Metamorphose von Schändern.
空中优势战机。可使用干扰网避免敌方地面单位和建筑进行攻击。<n/><n/><c val="ffff8a">可以对空。</c>	Luftüberlegenheitsjäger. Kann die Fähigkeit "Disruptornetz" einsetzen, um gegnerische Bodeneinheiten und Gebäude am Angreifen zu hindern.<n/><n/><c val="ffff8a">Kann Lufteinheiten angreifen.</c>
使目标区域内的单位移动速度降低<d ref="100 - (Behavior,QueenMPEnsnare,Modification.MoveSpeedMultiplier * 100)"/>%，持续<d ref="Behavior,Ensnare,Duration"/>秒。显示隐形和潜地的单位。	Verringert die Bewegungsgeschwindigkeit von Einheiten im Zielgebiet <d ref="Behavior,Ensnare,Duration"/> Sek. lang um <d ref="100 - (Behavior,QueenMPEnsnare,Modification.MoveSpeedMultiplier * 100)"/>%. Deckt getarnte und eingegrabene Einheiten auf.
穆尔瓦的巢穴使你可以进化掘地虫宿主。	Murvars Bau ermöglicht das Entwickeln von Zeckenwirten.
生长于当地的一种食腐类动物，夜间会阵阵嚎叫。	Einheimischer Aasfresser, der für seinen widerhallenden nächtlichen Ruf bekannt ist.
2000型自动机器人。多功能机器人之选。	Automaton 2000. Der Hilfsbot Ihrer Wahl.
丑陋的鸟类生物，常出没于战场之中。	Unansehnliche, gefiederte Kreatur, die häufig auf Schlachtfeldern anzutreffen ist.
为星灵空中单位提供武器和护甲升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃激励者	Bietet Upgrademöglichkeiten für Waffen und Panzerung für Protoss-Lufteinheiten.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Induktoren im Warpknoten
存储着星灵智能人格。可以消耗资源下载这些人格并保护他们。	Kann KI-Persönlichkeiten von Protoss-Kriegern speichern. Es können Ressourcen ausgegeben werden, um sie herunterzuladen und zu sichern.
压制塔曾是净化者的防御系统，现在已受到破坏，变成了净化者的敌人。会使用光束来伤害目标并使其减速。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Dieser Wehrturm war einst ein Verteidigungssystem der Richter, aber hat sich jetzt gegen sie gewandt. Verwendet Strahlen, um Zielen Schaden zuzufügen und sie zu verlangsamen.<n/><n/><c val="#ColorAttackInfo">Kann Boden- und Lufteinheiten angreifen.</c>
机动突击型载具。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Mobiles Kampffahrzeug. Kann die Fähigkeit "Erfassen" einsetzen, um während der Bewegung schnell zu feuern.<n/><n/><c val="#ColorAttackInfo">Kann Boden- und Lufteinheiten angreifen.</c>
锁定伤害提高<d ref="$UpgradeEffectArrayValue:CycloneLockOnDamageUpgrade:Effect,LockOnCP,PeriodCount$/Effect,LockOnCP,PeriodCount*100" player="0"/>%。	Erhöht den Schaden der Fähigkeit "Erfassen" um <d ref="$UpgradeEffectArrayValue:CycloneLockOnDamageUpgrade:Effect,LockOnCP,PeriodCount$/Effect,LockOnCP,PeriodCount*100" player="0"/>%.
允许<c val="ffff8a">飓风</c>的台风飞弹舱和锁定技能可以瞄准空中单位。	Ermöglicht dem <c val="ffff8a">Zyklon</c>, Lufteinheiten mit der Taifunraketenbatterie sowie der Fähigkeit "Erfassen" anzuvisieren.
能够造成大量范围伤害的定时爆炸装置。	Zeitgesteuerter Sprengstoff, der starken Flächenschaden verursacht.
向目标位置冲锋，击退该位置的单位并造成<d ref="Effect,DehakaDakrunCrashingChargeDamage,Amount"/>点伤害。	Stürmt auf einen Zielort zu. Einheiten in diesem Bereich werden zurückgestoßen und erleiden <d ref="Effect,DehakaDakrunCrashingChargeDamage,Amount"/> Schaden.
占位符	Placeholder
强大的攻击型施法者。可对敌人施展神经错乱和精神控制。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Mächtige offensive Spezialeinheit. Kann die Fähigkeiten "Verwirrung" und "Gedankenkontrolle" einsetzen.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c>
永久控制目标敌方单位。<n/><n/><c val="#ColorAttackInfo">英雄单位对此免疫。</c>	Übernimmt dauerhaft die Kontrolle über eine Zieleinheit. <n/><n/><c val="#ColorAttackInfo">Heroische Einheiten sind dagegen immun.</c>
牺牲2名黑暗圣堂武士，生成一名黑暗执政官。	Opfert zwei Dunkle Templer, um einen Dunklen Archon zu erschaffen.
黑暗圣坛能使你折跃黑暗执政官。	Der Dunkle Schrein ermöglicht das Heranwarpen von Dunklen Archons.
提供补给。<n/>拥有补给是折跃更多单位的前提。<n/>为附近的建筑提供能量并使附近的友方单位隐形。	Bietet Versorgung.<n/>Versorgung ermöglicht Ihnen, mehr Einheiten heranzuwarpen.<n/>Versorgt in der Nähe befindliche Gebäude mit Energie und tarnt verbündete Einheiten.
黑暗水晶塔使位于其能量场中的友方单位的能量恢复速度提高300%。	Dunkle Pylonen erhöhen die Energieregeneration befreundeter Einheiten innerhalb ihres Energiefelds um 300%.
将目标区域内的所有友方单位传送到黑暗水晶塔所在位置。	Teleportiert alle befreundeten Einheiten zur Position des Dunklen Pylonen.
传送到附近的目标区域。	Teleportiert die Einheit zu einem Zielort in der Nähe.
致命的近战杀手，该单位永远处于隐形状态，敌人在不借助侦测单位帮助的情况下无法发现他。可以传送至附近一处位置。<n/><n/><c val="ffff8a">可以对地。</c>	Todbringender Kriegerattentäter. Permanente Tarnung macht die Einheit unsichtbar gegenüber Feinden ohne Detektoreigenschaften. Kann sich zu einem Ort in der Nähe teleportieren.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
致命的近战杀手，该单位永远处于隐形状态，敌人在不借助侦测单位帮助的情况下无法发现他。可以传送至附近一处位置。<n/><n/><c val="ffff8a">可以对地</c>	Todbringender Kriegerattentäter. Permanente Tarnung macht die Einheit unsichtbar gegenüber Feinden ohne Detektoreigenschaften. Kann sich zu einem Ort in Nähe teleportieren und dabei Feinden Schaden zufügen.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
取消所选单位的隐形效果，使其显形。	Enttarnt die ausgewählte Einheit und macht sie für Feinde sichtbar.
在目标四周生成一道屏障，吸收<d ref="Behavior,DefensiveMatrix,Modification.VitalMaxArray[1]"/>点伤害。效果持续<d ref="Behavior,DefensiveMatrix,Duration"/>秒。	Umgibt das Ziel mit einem Schild, der bis zu <d ref="Behavior,DefensiveMatrix,Modification.VitalMaxArray[1]"/> Schaden absorbieren kann. Der Effekt hält <d ref="Behavior,DefensiveMatrix,Duration"/> Sek. lang an.
用一道护盾围绕目标，最多可以吸收<d ref="Behavior,NovaCoopCasterDefensiveMatrix,DamageResponse.ModifyLimit"/>点伤害。效果持续<d ref="Behavior,NovaCoopCasterDefensiveMatrix,Duration"/>秒。	Umgibt das Ziel mit einem Schild, der bis zu <d ref="Behavior,NovaCoopCasterDefensiveMatrix,DamageResponse.ModifyLimit"/> Schaden absorbiert. Hält bis zu <d ref="Behavior,NovaCoopCasterDefensiveMatrix,Duration"/> Sek. lang an.
允许德哈卡攻击空中单位。	Ermöglicht es Dehaka, Lufteinheiten anzugreifen.
允许<c val ="ffff8a">德哈卡</c>攻击空中单位。	Ermöglicht es <c val ="ffff8a">Dehaka</c>, Lufteinheiten anzugreifen.
护甲提高<d ref="Behavior,DehakaArmorUpgrade1,Modification.LifeArmorBonus"/>点。	Erhöht die Panzerung um <d ref="Behavior,DehakaArmorUpgrade1,Modification.LifeArmorBonus"/>.
原始异虫生产建筑。<n/><n/><c val="ffff8a">开启：</c><n/>- 原始跳虫	Produktionsstruktur der Urzerg.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Urzerglinge
可以召唤的建筑列表。	Eine Liste von Strukturen, die erschaffen werden können.
德哈卡使所有在他下方的单位隐形。<n/>范围：<d ref="Unit,DehakaCoop,Radius+0.5" precision="2"/>	Dehaka tarnt verbündete Einheiten unter sich. <n/>Radius: <d ref="Unit,DehakaCoop,Radius+0.5" precision="2"/>
立刻杀死目标敌方单位，恢复<d ref="Effect,DehakaConsumeEffectHealOther,VitalArray[Life].ChangeFraction*100"/>%生命值，并根据敌人种类的不同获得被动技能，持续<d ref="Behavior,DehakaConsumeEffectAir,Duration"/>秒。冷却时间取决于敌人被杀死时的生命值。<n/><n/><ul text="•"><li>空中：获得远程攻击</li><li>重甲：攻击重甲敌人时获得伤害加成</li><li>生物：恢复<d ref="Effect,DehakaConsumeEffectHealBiological,VitalArray[Life].ChangeFraction*100"/>%生命值</li><li>轻甲：获得移动速度</li><li>巨型：获得护甲并向攻击者反弹伤害</li><li>机械：获得攻击速度</li><li>灵能：发出灵能爆炸并使技能冷却速度加快50%</li>	Dehaka tötet eine gegnerische Zieleinheit sofort und heilt <d ref="Effect,DehakaConsumeEffectHealOther,VitalArray[Life].ChangeFraction*100"/>% seiner Trefferpunkte. Abhängig von der Art der Einheit erhält er <d ref="Behavior,DehakaConsumeEffectAir,Duration"/> Sek. lang passive Fähigkeiten. Die Abklingzeit basiert auf den Trefferpunkten des Gegners zum Zeitpunkt des Todes.<n/><n/><ul text="•"><li>Luft: Gewährt Distanzangriff.</li><li>Gepanzert: Gewährt Bonusschaden gegen gepanzerte Einheiten.</li><li>Biologisch: Heilt <d ref="Effect,DehakaConsumeEffectHealBiological,VitalArray[Life].ChangeFraction*100"/>% der Trefferpunkte.</li><li>Leicht: Erhöht die Bewegungsgeschwindigkeit.</li><li>Massiv: Gewährt Panzerung und reflektiert Schaden zurück auf Angreifer.</li><li>Mechanisch: Erhöht Angriffsgeschwindigkeit.</li><li>Psionisch: Explodiert mit psionischer Energie und Fähigkeitsabklingzeiten werden 50% schneller abgeschlossen.</li>
原始虫群首领。可以从死亡的敌人身上收集精华，用以进化和增强力量。<n/><n/><c val="ffff8a">可以对地。</c>	Anführer eines Urzerg-Rudels. Sammelt Essenz von gefallenen Gegnern, um durch Mutationen stärker zu werden.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
原始虫群首领。可以从死亡的敌人身上收集精华，用以转变和增强力量。<n/><n/><c val="ffff8a">可以对地。</c>	Anführer eines Urzerg-Rudels. Sammelt Essenz von gefallenen Gegnern, um durch Mutationen stärker zu werden.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
德哈卡的手臂掉落，变成了泽哈卡。然后泽哈卡的手臂掉落。不知道会变成什么。	Dehakas Arm ist abgefallen. Daraus ist Zweihaka entstanden. Sein Arm ist auch abgefallen. Keiner weiß, was damit passiert ist.
德哈卡会在这个巢穴中复活。	Dehaka wird in diesem Bau wiederbelebt.
掘地虫可以对空，并提高他们的移动速度。	Ermöglicht es Zecken, Lufteinheiten anzugreifen, und erhöht ihre Bewegungsgeschwindigkeit.
孵化自掘地虫宿主。爆裂掘地虫持续<d ref="Behavior,DehakaCreeperTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以对地。</c>	Wird von Zeckenwirten erschaffen. Explosive Zecken bleiben <d ref="Behavior,DehakaCreeperTimedLife,Duration"/> Sek. lang bestehen.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
孵化自掘地虫宿主。爆裂掘地虫持续<d ref="Behavior,DehakaCreeperTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Wird von Zeckenwirten erschaffen. Explosive Zecken bleiben <d ref="Behavior,DehakaCreeperTimedLife,Duration"/> Sek. lang bestehen.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c>
体型巨大的虫群首领，擅长向敌人冲锋，能够对缺乏警觉的猎物射出一阵脊针箭雨。	Ein gewaltiger Rudelführer, der seine Gegner anstürmt. Kann Projektile auf unachtsame Beute schleudern.
为原始雷兽和暴龙兽提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使原始战争之巢可以孵化原始雷兽。	Bietet Upgrademöglichkeiten für Urultralisken und Tyrannozors.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Urultralisken beim Urhüter
达克伦每次受到伤害，都会向攻击者发射一枚脊刺，造成<d ref="Effect,DehakaDakrunThornsDamage,Amount"/>点伤害。	Jedes Mal, wenn Dakrun Schaden erleidet, schießt er einen Stachel auf den Angreifer, der <d ref="Effect,DehakaDakrunThornsDamage,Amount"/> Schaden verursacht.
召唤原始虫群首领达克伦。达克伦是重甲巨兽，可以向目标位置冲锋，造成大量伤害，并击退该位置的敌方单位。达克伦在回到巢穴前会持续战斗<d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/>秒。	Ruft Rudelführer Dakrun in den Kampf. Dakrun ist ein schwer gepanzerter Koloss, der auf einen Zielort zustürmen kann. Gegnerische Einheiten im Zielbereich erleiden schweren Schaden und werden zurückgestoßen. Dakrun greift <d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/> Sek. lang in den Kampf ein, bevor er sich in seinen Bau zurückzieht.
快速潜地前往任意可见位置。	Gräbt sich schnell zu einem sichtbaren Zielort durch.
侦测隐形、潜地和幻像单位。	Deckt getarnte und eingegrabene Einheiten sowie Halluzinationen auf.
基础工作单位。用于采集晶体矿和高能瓦斯。可以召唤建筑。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Einfache Arbeitereinheit. Kann Mineralien und Vespingas abbauen. Kann Strukturen erschaffen.<n/><n/><c val="#ColorAttackInfo">Kann Bodeneinheiten angreifen.</c>
掘地虫宿主孵化的掘地虫可以飞行。掘地虫可以俯冲轰炸地面目标。	Zecken, die vom Zeckenwirt erzeugt werden, können fliegen und greifen Bodenziele im Sturzflug an.
原始宿主孵化的原始蝗虫可以飞行。飞行原始蝗虫可以使用飞扑降落至地面进行攻击。	Urschrecken, die vom Urwirt erzeugt werden, können fliegen. Flügelschrecken können die Fähigkeit "Sturzflug" einsetzen, um zu landen und anzugreifen.
该单位的攻击速度提高<d ref="Behavior,DehakaGeneAttackSpeed,Modification.AttackSpeedMultiplier-1*100" precision="1"/>%。	Die Angriffsgeschwindigkeit dieser Einheit ist um <d ref="Behavior,DehakaGeneAttackSpeed,Modification.AttackSpeedMultiplier-1*100" precision="1"/>% erhöht.
该单位的生命值提高<d ref="Behavior,DehakaGeneCarapace,Modification.VitalMaxAdditiveMultiplierArray[Life]*100" precision="1"/>%。	Die Trefferpunkte dieser Einheit sind um <d ref="Behavior,DehakaGeneCarapace,Modification.VitalMaxAdditiveMultiplierArray[Life]*100" precision="1"/>% erhöht.
该掘地虫宿主孵化的掘地虫数量翻倍。	Dieser Zeckenwirt erschafft die doppelte Menge Zecken.
该单位会把造成伤害的<d ref="Behavior,DehakaGeneLifeLeech,Modification.VitalDamageLeechArray[Life].KindArray[Melee]*100" precision="1"/>%转化为治疗。	Diese Einheit wandelt <d ref="Behavior,DehakaGeneLifeLeech,Modification.VitalDamageLeechArray[Life].KindArray[Melee]*100" precision="1"/>% ihres verursachten Schadens in eigene Trefferpunkte um.
该单位每次受到伤害，都会向攻击者发射一枚脊刺，造成<d ref="Effect,DehakaGeneThornsDamage,Amount"/>点伤害。	Jedes Mal, wenn diese Einheit Schaden erleidet, schießt sie einen Stachel auf den Angreifer, der <d ref="Effect,DehakaGeneThornsDamage,Amount"/> Schaden verursacht.
邪恶危险的虫群首领，能够喷吐酸液、钻入地下并且孵化虫卵。	Ein bösartiger und gefährlicher Rudelführer, der Säure speit, unterirdische Tunnel gräbt und Eier legt.
提高原始点火虫对轻甲敌人的伤害。	Erhöht den Schaden der Urfeuerschabe gegen leicht gepanzerte Gegner.
提高<c val ="ffff8a">原始点火虫</c>对轻甲敌人的伤害。	Erhöht den Schaden der <c val ="ffff8a">Urfeuerschabe</c> gegen leicht gepanzerte Gegner.
为原始蟑螂、原始刺蛇、穿刺者和掠食龙提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使原始战争之巢可以孵化原始蟑螂<n/>- 使原始战争之巢可以孵化原始刺蛇<n/>- 使原始工蜂可以孵化为原始蠕虫	Bietet Upgrademöglichkeiten für Urschaben, Urhydralisken, Urpfähler und Ravasaurier.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Urschaben beim Urhüter<n/>- Urhydralisken beim Urhüter<n/>- Urwürmer aus Urdrohnen
召唤原始虫群首领格里维格和一小群原始异虫。格里维格是强大的静态远程攻击单位，可以造成范围伤害，还可以通过深槽虫道移动到新的位置。格里维格在回到巢穴前会持续战斗<d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/>秒。	Ruft Rudelführer Glevig und ein kleines Rudel Urzerg in den Kampf. Er ist ein mächtiger stationärer Fernkämpfer, der Flächenschaden verursacht und Tiefentunnel einsetzen kann, um die Position zu wechseln. Glevig greift <d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/> Sek. lang in den Kampf ein, bevor er sich in seinen Bau zurückzieht.
移动速度提高。	Bewegungsgeschwindigkeit erhöht.
每次攻击暂时使攻击速度提高<d ref="(Behavior,DehakaGuardianRage1,Modification.AttackSpeedMultiplier - 1) * 100"/>%，最多提高<d ref="(Behavior,DehakaGuardianRage5,Modification.AttackSpeedMultiplier - 1) * 100"/>%。	Jeder Angriff erhöht vorübergehend die Angriffsgeschwindigkeit um <d ref="(Behavior,DehakaGuardianRage1,Modification.AttackSpeedMultiplier - 1) * 100"/>%, bis maximal <d ref="(Behavior,DehakaGuardianRage5,Modification.AttackSpeedMultiplier - 1) * 100"/>% Angriffsgeschwindigkeitsbonus.
向目标发射一个爆裂孢子，使目标和附近所有敌方地面单位受到<d ref="Effect,DehakaGuardianMineChargeExplodeDamage,Amount"/>点伤害。	Feuert eine explosive Spore auf das Ziel, die dem Ziel und allen gegnerischen Bodeneinheiten in der Nähe <d ref="Effect,DehakaGuardianMineChargeExplodeDamage,Amount"/> Schaden zufügt.
基础建筑。用于孵化原始工蜂和接收采集到的资源。为原始异虫提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 原始工蜂	Primärstruktur. Dient als Abgabestelle für abgebaute Ressourcen. Erschafft Urdrohnen. Bietet Upgrademöglichkeiten für Urzerg-Einheiten.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Urdrohnen
远程攻击单位。可以与另一只原始刺蛇战斗获得进化。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Fernkampfeinheit. Kann einen anderen Urhydralisken bekämpfen, um sich weiterzuentwickeln.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c>
两只原始刺蛇对决，幸存者可以进化为一只穿刺者。<n/><n/>远程反重甲伏击单位。必须潜地后才能发动攻击。<n/><n/><c val="ffff8a">可以对地。</c>	Zwei Urhydralisken liefern sich einen Kampf um Leben und Tod, der Überlebende entwickelt sich weiter zu einem Urpfähler.<n/><n/>Angriffsunterstützung aus dem Hinterhalt mit großer Reichweite. Besonders effektiv gegen gepanzerte Einheiten. Muss eingegraben sein, um anzugreifen.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
提高移动速度和攻击射程。	Erhöht die Bewegungsgeschwindigkeit und die Angriffsreichweite.
两只原始刺蛇对决，幸存者可以进化为一只原始异龙。<n/><n/>空中单位。能够利用弹射攻击同时伤害多个目标。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Zwei Urhydralisken liefern sich einen Kampf um Leben und Tod, der Überlebende entwickelt sich weiter zu einem Urmutalisken.<n/><n/>Lufteinheit, deren Angriff auf mehrere Ziele überspringt.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c>
被暴捶的单位会在<d ref="Behavior,ImpalerDehakaTenderize,Duration"/>秒内受到<d ref="(Effect,ImpalerDehakaTenderizeDamage,Amount*Behavior,ImpalerDehakaTenderize,PeriodCount)"/>点伤害。被暴捶的单位如果被德哈卡吞噬会使正常的冷却时间减少25%。	Ausgeblutete Einheiten erleiden im Verlauf von <d ref="Behavior,ImpalerDehakaTenderize,Duration"/> Sek. <d ref="(Effect,ImpalerDehakaTenderizeDamage,Amount*Behavior,ImpalerDehakaTenderize,PeriodCount)"/> Schaden. Wenn Dehaka ausgeblutete Einheiten verschlingt, beträgt die Abklingzeit 25% des Normalwerts.
