Amorphous Armorcloud	무정형 방어구름
Permanently cloaks all <c val="ffff8a">Disruptors</c>.	모든 <c val="ffff8a">분열기</c>를 영구히 은폐시킵니다.
The <c val="ffff8a">Disruptor's</c> Purification Nova explodes again after <d ref="Effect,FenixPurificationNovaUpgradedPersistent,PeriodicPeriodArray[0]"/> seconds, dealing <d ref="Effect,PurificationNovaUpgradedDamage,Amount"/> damage in a larger area.	<c val="ffff8a">분열기</c>의 정화 폭발이 <d ref="Effect,FenixPurificationNovaUpgradedPersistent,PeriodicPeriodArray[0]"/>초 후에 다시 폭발하여 넓은 범위에 <d ref="Effect,PurificationNovaUpgradedDamage,Amount"/>의 피해를 줍니다.
Allows <c val="ffff8a">Phoenixes</c> to cast Graviton Beam on two enemies at once.	<c val="ffff8a">불사조</c>가 두 대상에게 동시에 중력자 광선을 사용할 수 있게 해줍니다.
<c val="ffff8a">Dragoons</c> gain +20 life and their shield regeneration rate is doubled. Also allows the Dragoon to regenerate shields in combat.	<c val="ffff8a">용기병</c>의 생명력이 20만큼 증가하고, 보호막 회복 속도가 두 배로 증가합니다. 또한 용기병이 전투 중일 때에도 보호막이 회복됩니다.
Increases the <c val="ffff8a">Dragoon's</c> attack range by 2.	<c val="ffff8a">용기병</c>의 공격 사거리가 2만큼 증가합니다.
Enables the Concentrated Beam ability and increases the <c val="ffff8a">Drakken Laser Drill's</c> attack damage by 10.	집중 광선 능력을 사용 가능하게 하고 <c val="ffff8a">드라켄 레이저 천공기</c>의 공격력을 10만큼 증가시킵니다.
Enables the Pulse Cannon ability and increases the <c val="ffff8a">Drakken Laser Drill's</c> attack damage by 20.	파동포 능력을 사용 가능하게 하고 <c val="ffff8a">드라켄 레이저 천공기</c>의 공격력을 20만큼 증가시킵니다.
Extends the timed duration of Raven <c val="ffff8a">Auto-Turrets</c> and <c val="ffff8a">Point Defense Drones<c>, as well as the Hyperion's <c val="ffff8a">Point Defense Drones</c>.	밤까마귀의 <c val="ffff8a">자동 포탑</c>과 <c val="ffff8a">국지 방어기</c>, 히페리온의 <c val="ffff8a">국지 방어기</c>의 지속 시간을 연장합니다.
<c val="ffff8a">Energizers</c> gain the ability to temporarily take control of enemy mechanical units. Reclaimed units self-destruct after <d ref="Behavior,SentryReclamation,Duration"/> seconds.	<c val="ffff8a">동력기</c>가 적 기계 유닛을 일시적으로 조종하는 능력을 얻습니다. 교화된 유닛은 <d ref="Behavior,SentryReclamation,Duration"/>초 후에 자폭합니다.
<c val="ffff8a">Colossi</c> gain +3 range.	<c val="ffff8a">거신</c>의 사거리가 3만큼 증가합니다.
Grants Fenix's <c val="ffff8a">Cybros Arbiter Suit</c> detection, allowing him to detect cloaked enemies.	피닉스의 <c val="ffff8a">사이브로스 중재자 전투복</c>에 탐지 기능을 부여하여 은폐한 적을 탐지할 수 있게 해줍니다.
In addition to his Interceptors, <c val ="ffff8a">Clorarion</c> deploys 2 Interdictors that automatically bomb enemy ground units.	<c val ="ffff8a">클로라리온</c>이 요격기에 추가로 2기의 금제기를 생성해 자동으로 적 지상 유닛에게 폭격을 가합니다.
<c val="ffff8a">Mojo</c> fires a barrage of Anti-Matter Missiles, dealing area damage and stunning nearby enemy air units for <d time="[d ref='Behavior,FenixMojoScoutAirStun,Duration'/]"/>.	<c val="ffff8a">모조</c>가 반물질 미사일을 퍼부어 범위 피해를 주고 주위 적 공중 유닛을 <d time="[d ref='Behavior,FenixMojoScoutAirStun,Duration'/]"/> 동안 기절시킵니다.
<c val="ffff8a">Kaldalis'</c> attacks deal area damage.	<c val="ffff8a">칼달리스</c>의 공격이 범위 피해를 줍니다.
<c val="ffff8a">Scouts</c> gain +3 air attack range and +1 ground attack range.	<c val="ffff8a">정찰기</c>의 공중 공격 사거리가 3만큼 증가하고 지상 공격 사거리가 1만큼 증가합니다.
Increases the duration of the <c val="ffff8a">Conservator's</c> Protective Field by 100%.	<c val="ffff8a">보전기</c>의 보호장 지속 시간이 100%만큼 증가합니다.
Null Shield now reflects 50% damage back to the target.	무효화 보호막이 받은 피해의 50%를 대상에게 되돌립니다.
All <c val="ffff8a">Fenix Armor Suits</c> gain +<d ref="$UpgradeEffectArrayValue:FenixSuitAttackDamage:Effect,FenixSOAWeaponDamage,Amount$"/> attack damage.	모든 <c val="ffff8a">피닉스 전투복</c>의 공격력이 <d ref="$UpgradeEffectArrayValue:FenixSuitAttackDamage:Effect,FenixSOAWeaponDamage,Amount$"/>만큼 증가합니다.
<c val="ffff8a">Warbringer</c> fires a devastating blast that deals <d ref="Effect,FenixWarbringerColossusPowerShotDamage,Amount" player="0"/> damage the target unit.	<c val="ffff8a">전쟁인도자</c>가 파괴적인 폭발을 날려 대상 유닛에게 <d ref="Effect,FenixWarbringerColossusPowerShotDamage,Amount" player="0"/>의 피해를 줍니다.
Upgrades the damage dealt by <c val="ffff8a">Colossi</c> and causes their attacks to set fire to the ground, dealing an additional <d ref="Effect,ThermalLancesFireBeamDamage,Amount*Effect,ThermalLancesFireBeamCP,PeriodCount"/> damage to enemy ground units in the area over <d ref="Effect,ThermalLancesFireBeamCP,PeriodCount*Effect,ThermalLancesFireBeamCP,PeriodicPeriodArray[0]"/> seconds.	<c val="ffff8a">거신</c>의 공격력이 증가하고, 공격 시 지면에 불길을 일으켜 그 지역에 있는 적 지상 유닛에게 <d ref="Effect,ThermalLancesFireBeamCP,PeriodCount*Effect,ThermalLancesFireBeamCP,PeriodicPeriodArray[0]"/>초에 걸쳐 <d ref="Effect,ThermalLancesFireBeamDamage,Amount*Effect,ThermalLancesFireBeamCP,PeriodCount"/>의 추가 피해를 줍니다.
Calls in reinforcement <c val="FFFF8A">SCVs</c>. Prevents structure burndown and slowly repairs damaged structures to half health. <c val="00FF66"><n/><n/>Applies to you and your ally.</c>	<c val="FFFF8A">건설로봇</c> 지원 병력을 소환합니다. 구조물 파괴를 방지하고 피해를 받은 구조물의 체력을 절반까지 천천히 수리합니다.<c val="00FF66"><n/><n/>자신과 아군에게 적용됩니다.</c>
All structure fires are automatically extinguished and all structures automatically repair themselves to 50% of their maximum life.	구조물에 발생한 화재가 자동으로 진압되며 구조물의 체력이 최대 체력의 50%까지 자동으로 회복됩니다.
Calls in reinforcement <c val="FFFF8A">Mercenary Firebats</c>. Allows <c val="FFFF8A">Firebats</c> to be trained from a <c val="FFFF8A">Barracks</c>. <c val="FFFF8A">Firebats</c> are heavy anti-infantry attackers.<c val="00FF66"><n/><n/>Applies to you and your ally.</c>	<c val="FFFF8A">용병 화염방사병</c> 지원 병력을 소환합니다. <c val="FFFF8A">병영</c>에서 <c val="FFFF8A">화염방사병</c>을 훈련시킬 수 있습니다. <c val="FFFF8A">화염방사병</c>은 중장갑 대보병 공격 유닛입니다.<c val="00FF66"><n/><n/>자신과 아군에게 적용됩니다.</c>
<c val="ffff8a">Bunkers</c> gain +<d ref="$UpgradeEffectArrayValue:FortifiedBunkerCarapace:Unit,Bunker,LifeMax$"/> life.	<c val="ffff8a">벙커</c>의 체력이 <d ref="$UpgradeEffectArrayValue:FortifiedBunkerCarapace:Unit,Bunker,LifeMax$"/>만큼 증가합니다.
Allows Reapers to throw timed explosives that do heavy area damage.	사신이 강력한 범위 피해를 주는 시한폭탄을 던질 수 있게 합니다.
Anti-personnel charge with large blast radius. <c val="ffff8a">Reapers</c> eject smaller payloads in a radius for increased damage.	폭발 반경이 큰 대인 폭탄입니다. <c val="ffff8a">사신</c>이 일정 반경에 소형 폭탄을 발사해 위력을 증가시킵니다.
Allows <c val="ffff8a">Spec Ops Ghosts</c> to use EMP Round, which deals <d ref="Effect,EMPBlackOpsModifyUnit,VitalArray[Shields].Change*(-1)"/> damage to shields and depletes the energy of enemy units in the target area. Cloaked units are revealed for <d ref="Behavior,EMPDecloak,Duration"/> seconds after being hit.	<c val="ffff8a">특수 작전 유령</c>이 EMP 탄환을 사용하여 대상 지역에 있는 적 유닛의 보호막에 <d ref="Effect,EMPBlackOpsModifyUnit,VitalArray[Shields].Change*(-1)"/>의 피해를 주고 에너지를 고갈시킬 수 있습니다. 은폐한 유닛은 적중당한 후 <d ref="Behavior,EMPDecloak,Duration"/>초 동안 모습이 드러납니다.
<c val ="ffff8a">Spec Ops Ghosts</c> fire 2 additional shots that deal <d ref="Effect,Snipe_BlackOpsTripleTapDamage,Amount"/> damage each when using Snipe.	<c val ="ffff8a">특수 작전 유령</c>이 저격을 사용하면 탄환 2발이 추가로 발사되어 각각 <d ref="Effect,Snipe_BlackOpsTripleTapDamage,Amount"/>의 피해를 줍니다.
Calls in reinforcement <c val="FFFF8A">Mercenary Goliaths</c>. Allows <c val="FFFF8A">Goliaths</c> to be trained from a <c val="FFFF8A">Factory</c>. <c val="FFFF8A">Goliaths</c> are heavy general purpose attackers equipped with long range weapons. <c val="00FF66"><n/><n/>Applies to you and your ally.</c>	<c val="FFFF8A">용병 골리앗</c> 지원 병력을 소환합니다. <c val="FFFF8A">군수공장</c>에서 <c val="FFFF8A">골리앗</c>을 훈련시킬 수 있습니다. <c val="FFFF8A">골리앗</c>은 장거리 무기를 장착한 중장갑 다목적 공격 유닛입니다.<c val="00FF66"><n/><n/>자신과 아군에게 적용됩니다.</c>
Increases the movement speed of <c val="ffff8a">Observers</c> by 50%.	<c val="ffff8a">관측선</c>의 이동 속도가 50%만큼 증가합니다.
<c val="FFFF8A">Strike Fighter Platform</c> Precision Strikes ignite the target location with napalm. Enemies units that touch the napalm take an additional <d ref="Effect,HHBomberAreaBombFireDamage,Amount * (Behavior,HHBomberAreaBombFire,Duration / Behavior,HHBomberAreaBombFire,Period)"/> damage over <d ref="Behavior,HHBomberAreaBombFire,Duration"/> seconds.	<c val="FFFF8A">타격 전투기 플랫폼</c>정밀 타격이 네이팜으로 대상 지역을 불태웁니다. 네이팜에 접촉한 유닛은 <d ref="Behavior,HHBomberAreaBombFire,Duration"/>초에 걸쳐 <d ref="Effect,HHBomberAreaBombFireDamage,Amount * (Behavior,HHBomberAreaBombFire,Duration / Behavior,HHBomberAreaBombFire,Period)"/>의 추가 피해를 받습니다.
<c val="FFFF8A">Hellbat</c> attacks cause enemies to burn for an additional <d ref="Effect,HHHellionDoTDamage,Amount * Behavior,HHHellionDoT,Period * Behavior,HHHellionDoT,Duration"/> damage over <d ref="Behavior,HHHellionDoT,Duration"/> seconds.	<c val="FFFF8A">화염기갑병</c> 공격이 적들을 불태워 <d ref="Behavior,HHHellionDoT,Duration"/>초에 걸쳐 <d ref="Effect,HHHellionDoTDamage,Amount * Behavior,HHHellionDoT,Period * Behavior,HHHellionDoT,Duration"/>의 추가 피해를 줍니다.
<c val="FFFF8A">Hellbat</c> movement speed is increased by <d ref="$UpgradeEffectArrayValue:HHHellionFearDeath:Unit,HHHellionTank,Speed$/Unit,HHHellionTank,Speed*100" player="0"/>%. When <c val="FFFF8A">Hellbats</c> are killed, they ignite the surrounding area. Enemies in the fire run around in fear for <d ref="Behavior,HHHellionTankFear,Duration"/> seconds.	<c val="FFFF8A">화염기갑병</c>의 이동 속도가 <d ref="$UpgradeEffectArrayValue:HHHellionFearDeath:Unit,HHHellionTank,Speed$/Unit,HHHellionTank,Speed*100" player="0"/>%만큼 증가합니다. <c val="FFFF8A">화염기갑병</c>이 죽으면 주위 지역을 불태워 해당 지역 안의 적들이 <d ref="Behavior,HHHellionTankFear,Duration"/>초 동안 공포에 질려 도망다닙니다.
<c val="FFFF8A">Hellions</c> and <c val="FFFF8A">Hellbats</c> transform 75% faster. When <c val="FFFF8A">Hellions</c> are killed, nearby allied units gain <d ref="(Behavior,HHHellionStimDeath,Modification.MoveSpeedMultiplier - 1) * 100"/>% movement and <d ref="(Behavior,HHHellionStimDeath,Modification.AttackSpeedMultiplier - 1) * 100"/>% attack speed for <d ref="Behavior,HHHellionStimDeath,Duration"/> seconds.	<c val="FFFF8A">화염차</c>와 <c val="FFFF8A">화염기갑병</c>이 75% 더 빨리 변신합니다. <c val="FFFF8A">화염차</c>가 죽으면 <d ref="Behavior,HHHellionStimDeath,Duration"/>초 동안 주위 아군 유닛의 이동 속도가 <d ref="(Behavior,HHHellionStimDeath,Modification.MoveSpeedMultiplier - 1) * 100"/>% 증가하고 공격 속도가 <d ref="(Behavior,HHHellionStimDeath,Modification.AttackSpeedMultiplier - 1) * 100"/>% 증가합니다.
<c val="FFFF8A">Hellions</c> can launch a bomb that deals <d ref="Effect,HHHellionBombDamage,Amount"/> damage to the target unit. Nearby enemies have their movement speed reduced by <d ref="(1 - Behavior,HHHellionBombSlow,Modification.MoveSpeedMultiplier) *100"/>% and attack ranged reduced by <d ref="-(Behavior,HHHellionBombSlow,Modification.WeaponRange)"/> for <d ref="Behavior,HHHellionBombSlow,Duration"/> seconds.	<c val="FFFF8A">화염차</c>가 폭탄을 날려 대상 유닛에 <d ref="Effect,HHHellionBombDamage,Amount"/>의 피해를 줍니다. 주위의 적들은 <d ref="Behavior,HHHellionBombSlow,Duration"/>초 동안 이동 속도가 <d ref="(1 - Behavior,HHHellionBombSlow,Modification.MoveSpeedMultiplier) *100"/>% 감소하고 공격 사거리가 <d ref="-(Behavior,HHHellionBombSlow,Modification.WeaponRange)"/> 감소합니다.
Retrofits the Assault Galleon with a Drone Hangar bay that automatically builds and deploys Assault drones.<n/><n/><c val="ffff8a">Assault Drones can attack ground and air units.</c>	강습 갈레온에 비행정 격납고를 장착하여 자동으로 강습 비행정을 생산히고 배치합니다.<n/><n/><c val="ffff8a">강습 비행정은 지상 및 공중 유닛 공격 가능</c>
<c val="FFFF8A">Ravens</c> can target up to 4 units with Target Lock.	<c val="FFFF8A">밤까마귀</c>가 목표 고정으로 최대 4기의 유닛을 대상으로 삼을 수 있습니다.
Reduces the cooldown of <c val="FFFF8A">Reapers'</c> KD8 Charge by <d time="10"/>. When <c val="FFFF8A">Reapers</c> are killed, they throw multiple grenades towards the killing unit.	<c val="FFFF8A">사신</c>의 KD8 지뢰 재사용 대기시간이 <d time="10"/>만큼 감소합니다. <c val="FFFF8A">사신</c>이 죽으면 자신을 죽인 유닛을 향해 다수의 수류탄을 던집니다.
Increases the movement speed of <c val="FFFF8A">Reapers</c>, and grants them the ability to fly for <d ref="Behavior,HHReaperFlyingDuration,Duration"/> seconds. <c val="FFFF8A">Reapers</c> are able to attack air units while flying.	<c val="FFFF8A">사신</c>의 이동 속도가 증가하고, <d ref="Behavior,HHReaperFlyingDuration,Duration"/>초 동안 비행할 수 있는 능력을 얻습니다. <c val="FFFF8A">사신</c>이 비행 중에 공중 유닛을 공격할 수 있습니다.
<c val="FFFF8A">Wraiths</c>, <c val="FFFF8A">Vikings</c>, and <c val="FFFF8A">Ravens</c> can use Tactical Jump, warping them to any visible location.	<c val="FFFF8A">망령</c>, <c val="FFFF8A">바이킹</c>, <c val="FFFF8A">밤까마귀</c>가 전술 차원 도약을 사용해서 시야가 확보된 어디로든 순간이동할 수 있습니다.
[ph]Gives +5 armor to Warhound.	투견의 방어력이 5만큼 증가합니다.
Attacks from <c val="FFFF8A">Vikings</c> in Assault Mode pierce, dealing damage to enemy units behind the target. <c val="FFFF8A">Viking</c> transform time reduced by 75%.	돌격 모드 <c val="FFFF8A">바이킹</c>의 공격이 적을 관통해 대상 뒤의 유닛들에게 피해를 줍니다. <c val="FFFF8A">바이킹</c>의 변신 시간이 75%만큼 감소합니다.
<c val="FFFF8A">Vikings</c> in Fighter Mode can launch <d ref="Effect,HHVikingRocketsBurstPersistent,PeriodCount" player="current"/> rockets at an enemy. Each rocket deals <d ref="Effect,HHVikingRocketsDamage,Amount"/> (<d ref="Effect,HHVikingRocketsDamage,Amount+Effect,HHVikingRocketsDamage,AttributeBonus[Armored]"/> vs armored) damage to the target unit.	<c val="FFFF8A">바이킹</c>이 전투기 모드에서 적에게 로켓 <d ref="Effect,HHVikingRocketsBurstPersistent,PeriodCount" player="current"/>발을 발사할 수 있습니다. 로켓은 각각 대상 유닛에게 <d ref="Effect,HHVikingRocketsDamage,Amount"/> (중장갑 유닛에는 <d ref="Effect,HHVikingRocketsDamage,Amount+Effect,HHVikingRocketsDamage,AttributeBonus[Armored]"/>)의 피해를 줍니다.
Reduces the <c val="FFFF8A">Widow Mine's</c> Sentinel Missile cooldown by <d time="20"/>. When <c val="FFFF8A">Widow Mines</c> are killed, they launch 5 Sentinel Missiles at random nearby targets that deal <d ref="Effect,HHWidowMineBlossomExplodeSplash,Amount"/> (+<d ref="Effect,HHWidowMineBlossomExplodeSplash,ShieldBonus"/> vs. shields) area damage.	<c val="FFFF8A">땅거미 지뢰</c>의 감시 미사일 재사용 대기시간이 <d time="20"/>만큼 감소합니다. <c val="FFFF8A">땅거미 지뢰</c>가 파괴되면 주위의 무작위 대상에게 5발의 감시 미사일을 날려 <d ref="Effect,HHWidowMineBlossomExplodeSplash,Amount"/> (보호막에는 +<d ref="Effect,HHWidowMineBlossomExplodeSplash,ShieldBonus"/>)의 범위 피해를 줍니다.
<c val="FFFF8A">Widow Mines</c> range is increased by 50%, and can burrow and unburrow much faster.	<c val="FFFF8A">땅거미 지뢰</c>의 사거리가 50% 증가하고, 잠복 및 잠복 해제 속도가 증가합니다.
Allows <c val="ffff8a">Wraiths</c> to remain permanently cloaked.	<c val="ffff8a">망령</c>이 영구 은폐 상태가 됩니다.
<c val="FFFF8A">Battlecruiser</c> weapons systems are upgraded to a powerful particle cannon that deals <d ref="Effect,HHLaserBatteryU,Amount"/> damage per attack.	<c val="FFFF8A">전투순양함</c> 무기 시스템이 강력한 입자포로 업그레이드되어 공격당 <d ref="Effect,HHLaserBatteryU,Amount"/>의 피해를 줍니다.
Allows <c val="ffff8a">Havocs</c> to remain permanently cloaked.	<c val="ffff8a">교란기</c>가 영구 은폐 상태가 됩니다.
The <c val="ffff8a">High Templar's</c> Psionic Storm's radius is increased by 50%, range increased by 2, and restores <d ref="((Effect,HighArchonPsiStormPersistent,PeriodCount+1)*(Effect,HighArchonPsiStormHeal,RechargeVitalRate))/2"/> shields to friendly units in the target area.<c/>	<c val="ffff8a">고위 기사</c>의 사이오닉 폭풍 반경이 50%만큼 증가하고, 사거리가 2만큼 증가하며, 대상 지역에 있는 아군 유닛의 보호막을 <d ref="((Effect,HighArchonPsiStormPersistent,PeriodCount+1)*(Effect,HighArchonPsiStormHeal,RechargeVitalRate))/2"/>만큼 회복시킵니다.<c/>
The <c val="ffff8a">High Templar's</c> and <c val="ffff8a">Archon's</c> Psionic Storm restores <d ref="((Effect,HighArchonPsiStormPersistent,PeriodCount+1)*(Effect,HighArchonPsiStormHeal,RechargeVitalRate))/2"/> shields to friendly units in the target area.<c/>	<c val="ffff8a">고위 기사</c>와 <c val="ffff8a">집정관</c>의 사이오닉 폭풍이 대상 지역에 있는 아군 유닛의 보호막을 <d ref="((Effect,HighArchonPsiStormPersistent,PeriodCount+1)*(Effect,HighArchonPsiStormHeal,RechargeVitalRate))/2"/>만큼 회복시킵니다.<c/>
Increases the number of Broodlings spawned by Infest Structure by 50%.	구조물 감염으로 생성되는 공생충 수가 50%만큼 증가합니다.
<c val="ffff8a">Hellions</c> and <c val="ffff8a">Hellbats</c> gain +2 armor.	<c val="ffff8a">화염차</c>와 <c val="ffff8a">화염기갑병</c>의 방어력이 2만큼 증가합니다.
Launches the <c val ="ffff8a">Hellbat Ranger</c> toward nearby enemy ground units. Briefly stuns enemy units on impact and gains +<d ref="Behavior,HellbatLeapArmor,Modification.LifeArmorBonus"/> armor.	<c val ="ffff8a">화염기갑 특전병</c>이 주위의 적 지상 유닛을 향해 도약합니다. 충돌 시 적 유닛이 잠시 기절하고 방어력이 <d ref="Behavior,HellbatLeapArmor,Modification.LifeArmorBonus"/>만큼 증가합니다.
Calls in reinforcement <c val="FFFF8A">Mercenary Hellions</c>. Allows <c val="FFFF8A">Hellions</c> to be trained from a <c val="FFFF8A">Factory</c>. <c val="FFFF8A">Hellions</c> are fast anti-infantry vehicles whose attacks damage all enemies in a line.<c val="00FF66"><n/><n/>Applies to you and your ally.</c>	<c val="FFFF8A">용병 화염차</c> 지원 병력을 소환합니다. <c val="FFFF8A">군수공장</c>에서 <c val="FFFF8A">화염차</c>를 훈련시킬 수 있습니다. <c val="FFFF8A">화염차</c>는 일직선상의 모든 적에게 피해를 주는 고속 대보병 차량 유닛입니다.<c val="00FF66"><n/><n/>자신과 아군에게 적용됩니다.</c>
Grants <c val="ffff8a">Missile Turrets</c> a second attack that does area damage.	<c val="ffff8a">미사일 포탑</c>이 범위 피해를 주는 2차 공격을 할 수 있습니다.
Adds +2 range to all <c val="ffff8a">Turrets</c>.	모든 <c val="ffff8a">포탑</c>의 사거리가 2만큼 증가합니다.
<c val="ffff8a">Hellbats</c> deal +10 damage to light units in both modes.	<c val="ffff8a">화염기갑병</c>이 모든 모드에서 경장갑 유닛에게 10의 추가 피해를 줍니다.
<c val="ffff8a">Hellbat Rangers</c> deal +15 damage to light units in both modes.	<c val="ffff8a">화염기갑 특전병</c>이 모든 모드에서 경장갑 유닛에게 15의 추가 피해를 줍니다.
Increases the starting energy of <c val="ffff8a">High Templar</c> by <d ref="Upgrade,HighTemplarKhaydarinAmulet,EffectArray[0].Value"/>.	<c val="ffff8a">고위 기사</c>의 초기 에너지가 <d ref="Upgrade,HighTemplarKhaydarinAmulet,EffectArray[0].Value"/>만큼 증가합니다.
Increases the starting energy of <c val="ffff8a">High Templar</c> and <c val="ffff8a">Archons</c> by <d ref="Upgrade,HighTemplarKhaydarinAmulet,EffectArray[0].Value"/>.	<c val="ffff8a">고위 기사</c>와 <c val="ffff8a">집정관</c>의 초기 에너지가 <d ref="Upgrade,HighTemplarKhaydarinAmulet,EffectArray[0].Value"/>만큼 증가합니다.
Doubles the amount of shots from the <c val="ffff8a">Vanguard's</c> Scatter Cannon.	<c val="ffff8a">선봉대</c>의 확산포 발사 횟수가 두 배로 증가합니다.
Reduces the transformation time of <c val="ffff8a">Siege Tanks</c>. <c val="ffff8a">Siege Tanks</c> gain +3 armor in Siege Mode.	<c val="ffff8a">공성 전차</c>의 공성 모드 전환 시간이 감소합니다. 공성 모드에서는 <c val="ffff8a">공성 전차</c>의 방어력이 3만큼 증가합니다.
Increases the attack speed of <c val="ffff8a">all Turrets</c> by 25%.	모든 <c val="ffff8a">포탑</c>의 공격 속도가 25%만큼 증가합니다.
Increases the attack speed of <c val="ffff8a">all Turrets</c> by 50%.	모든 <c val="ffff8a">포탑</c>의 공격 속도가 50%만큼 증가합니다.
Widens the <c val="ffff8a">Firebat</c>'s damage radius by 40%.	<c val="ffff8a">화염방사병</c>의 공격 범위가 40%만큼 증가합니다.
Firebats gain a 40% larger area attack.	화염방사병의 공격 범위가 40%만큼 증가합니다.
<c val = "ffff8a">Infested Bunkers</c> gain +3 armor.	<c val = "ffff8a">감염된 벙커</c>의 방어력이 3만큼 증가합니다.
<c val="ffff8a">Infested Bunkers</c> regenerate life twice as fast while rooted.	<c val="ffff8a">감염된 벙커</c>가 뿌리를 박았을 때 체력을 두 배 빨리 회복합니다.
<c val = "ffff8a">Infested Siege Tanks</c> deal an additional +15 damage to armored units and structures in both modes.	<c val = "ffff8a">감염된 공성 전차</c>가 중장갑 유닛 및 구조물에 15의 추가 피해를 줍니다.
Marauder attack temporarily slows all units in target area.<n/><n/><c val="#ColorAttackInfo">Massive units are immune.</c>	불곰의 공격은 대상 지역의 모든 유닛 속도를 일시적으로 줄입니다.<n/><n/><c val="#ColorAttackInfo">거대 유닛은 면역</c>
<c val="ffff8a">Firebats</c> gain +100 life and +2 armor.	<c val="ffff8a">화염방사병</c>의 체력이 100만큼, 방어력이 2만큼 증가합니다.
Makes the <c val="ffff8a">Carrier</c> launch Interceptors more quickly and increases Interceptor attack speed by <d ref="(Weapon,InterceptorBeam,Period-$UpgradeEffectArrayValue:KaraxCarrierInterceptorLaunchSpeed:Weapon,InterceptorBeam,Period$)/$UpgradeEffectArrayValue:KaraxCarrierInterceptorLaunchSpeed:Weapon,InterceptorBeam,Period$*100" player = "0"/>%.	<c val="ffff8a">우주모함</c>이 요격기를 더 빨리 출격시키고 요격기의 공격 속도가 <d ref="(Weapon,InterceptorBeam,Period-$UpgradeEffectArrayValue:KaraxCarrierInterceptorLaunchSpeed:Weapon,InterceptorBeam,Period$)/$UpgradeEffectArrayValue:KaraxCarrierInterceptorLaunchSpeed:Weapon,InterceptorBeam,Period$*100" player = "0"/>% 증가합니다.
Increases the energy regeneration rate of <c val="ffff8a">Energizers</c> and <c val="ffff8a">Shield Batteries</c> by 200%.	<c val="ffff8a">동력기</c>와 <c val="ffff8a">보호막 충전소</c>의 에너지 재생 속도가 200%만큼 증가합니다.
Increases the attack speed of <c val="ffff8a">Photon Cannons</c> and <c val="ffff8a">Khaydarin Monoliths</c> by 25%.	<c val="ffff8a">광자포</c>와 <c val="ffff8a">케이다린 초석</c>의 공격 속도가 25%만큼 증가합니다.
<c val="ffff8a">Photon Cannons</c>, <c val="ffff8a">Khaydarin Monoliths</c>, and <c val="ffff8a">Shield Batteries</c> gain +2 range.	<c val="ffff8a">광자포</c>, <c val="ffff8a">케이다린 초석</c>, <c val="ffff8a">보호막 충전소</c>의 사거리가 2만큼 증가합니다.
Increases the <c val ="ffff8a">Elite Marine's</c> vision by 2 and its weapon range by 1.	<c val ="ffff8a">정예 해병</c>의 시야가 2만큼, 무기 사거리가 1만큼 증가합니다.
Allows <c val="ffff8a">Raid Liberators</c> to attack structures while in Defender Mode.	<c val="ffff8a">습격 해방선</c>이 수호기 모드에서 구조물을 공격할 수 있습니다.
Increases <c val="ffff8a">Cyclone</c> Lock On range by 3.	<c val="ffff8a">사이클론</c>의 목표물 고정 사거리가 3만큼 증가합니다.
This upgrade is locked until your reach the appropriate Commander level.	이 업그레이드는 사령관 레벨이 적정 수준에 도달할 때까지 잠겨 있습니다.
This upgrade unlocks at Commander Level 2.	이 업그레이드는 사령관이 2 레벨이 되면 사용할 수 있습니다.
This upgrade unlocks at Commander Level 3.	이 업그레이드는 사령관이 3 레벨이 되면 사용할 수 있습니다.
This upgrade unlocks at Commander Level 4.	이 업그레이드는 사령관이 4 레벨이 되면 사용할 수 있습니다.
This upgrade unlocks at Commander Level 6.	이 업그레이드는 사령관이 6 레벨이 되면 사용할 수 있습니다.
This upgrade unlocks at Commander Level 7.	이 업그레이드는 사령관이 7 레벨이 되면 사용할 수 있습니다.
This upgrade unlocks at Commander Level 8.	이 업그레이드는 사령관이 8 레벨이 되면 사용할 수 있습니다.
This upgrade unlocks at Commander Level 9.	이 업그레이드는 사령관이 9 레벨이 되면 사용할 수 있습니다.
This upgrade unlocks at Commander Level 10.	이 업그레이드는 사령관이 10 레벨이 되면 사용할 수 있습니다.
This upgrade unlocks at Commander Level 11.	이 업그레이드는 사령관이 11 레벨이 되면 사용할 수 있습니다.
This upgrade unlocks at Commander Level 12.	이 업그레이드는 사령관이 12 레벨이 되면 사용할 수 있습니다.
This upgrade unlocks at Commander Level 13.	이 업그레이드는 사령관이 13 레벨이 되면 사용할 수 있습니다.
This upgrade unlocks at Commander Level 14.	이 업그레이드는 사령관이 14 레벨이 되면 사용할 수 있습니다.
This upgrade unlocks at Commander Level 15.	이 업그레이드는 사령관이 15 레벨이 되면 사용할 수 있습니다.
Allows <c val="ffff8a">Raid Liberators</c> to transform between modes four times faster.	<c val="ffff8a">습격 해방선</c>이 모드를 4배 더 빨리 전환합니다.
<c val="ffff8a">Siege Tanks</c> gain +40 attack damage while in Siege Mode. Splash damage remains the same.	<c val="ffff8a">공성 전차</c>가 공성 모드에서 공격력이 40만큼 증가합니다. 방사 피해는 동일합니다.
