Amorphous Armorcloud	無定型防護雲
Hellbats deal +15 damage to light units in both modes.	戰狼兩種模式皆可對輕甲單位額外造成15點傷害。
Hellbat Rangers deal +15 damage to light units in both modes.	戰狼遊騎兵兩種模式皆可對輕甲單位額外造成15點傷害。
[ph]Allied units in the aura have a 33% chance to ignore 2 damage from any source.	靈氣範圍內的友方單位有33%的機率忽略2點來自任何來源的傷害。
[ph] When a unit affected by this aura takes damage, the attacker takes N% of that damage.	此靈氣影響的單位受到傷害時，攻擊者會受到該傷害N%的傷害。
[ph] Units affected by this aura regenerate life as they attack.	此靈氣影響的單位攻擊時會恢復生命值。
[ph] Units affected by this aura gain increased energy regeneration.	此靈氣影響的單位能量恢復速度提升。
[ph] Units affected by this aura gain increased movement speed and life regeneration.	此靈氣影響的單位移動速度與生命值恢復速度提升。
Factory allows you to build Perdition Turrets.	軍工廠可讓你建造地獄砲台。
Factory allows you to build Flaming Bettys.	軍工廠可讓你建造火焰貝蒂。
The Corsair is permanently cloaked.	海盜機為永久匿蹤。
The Kel-Morian Worker is permanently cloaked.	凱爾莫瑞亞工兵為永久匿蹤。
The Oracle is permanently cloaked.	先知艦為永久匿蹤。
The Xel'Naga Watcher is permanently cloaked.	薩爾納加守望者為永久匿蹤。
Air-superiority fighter. Can Graviton two enemy units simultaneously.<n/><n/><c val="ffff8a">Can attack air units.</c>	具有優異空戰性能的戰鬥機。可同時對兩個敵方單位使用重力子光束。<n/><n/><c val="ffff8a">可攻擊空中單位。</c>
Makes the target unit along with another nearby enemy unit float in the air, disabling their abilities. Effect lasts up to <d time="10"/>.<n/><n/><c val="#ColorAttackInfo">Massive units are immune.</c>	讓目標單位及其附近另一名敵方單位浮在空中，使其無法使用任何技能。此效果可持續<d time="10"/>。<n/><n/><c val="#ColorAttackInfo">對巨型單位無效。</c>
Air superiority starfighter. Can use Graviton Beam and can be upgraded to use Phasing Armor.<n/><n/><c val="ffff8a">Can attack air units.</c>	具有優異空戰性能的戰鬥機。可使用重力子光束，並且可透過升級使用相位裝甲。<n/><n/><c val="ffff8a">可攻擊空中單位。</c>
Primary defensive structure.<n/><n/><c val="ffff8a">Can attack ground and air units.</c><n/><c val="FFE303">Detector</c>	主要防禦性建築。<n/><n/><c val="ffff8a">可攻擊地面及空中單位。</c><n/><c val="FFE303">偵測單位</c>
Energizes the target Pylon's khaydarin crystal, turning it into a long-range weapon for <d ref="Behavior,Purify,Duration[0]"/> seconds that deals <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> damage.	為目標水晶塔的凱達林水晶充能，將其轉化為遠程武器，該武器可持續<d ref="Behavior,Purify,Duration[0]"/>秒，並且造成<d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>點傷害。
Player 1 <s val="Kicker_Gas">+50 </s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/><n/>Player 2 <s val="Kicker_Gas">+50 </s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/>	玩家1<s val="Kicker_Gas"> +50 </s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/><n/>玩家2<s val="Kicker_Gas"> +50 </s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/>
Player 1 <s val="Kicker_Minerals">+50 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/><n/>Player 2 <s val="Kicker_Minerals">+50 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/>	玩家1<s val="Kicker_Minerals"> +50 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/><n/>玩家2<s val="Kicker_Minerals"> +50 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/>
This item can be collected.	可採集此物品。
Player 1 <s val="Kicker_Minerals">+25 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/><n/>Player 2 <s val="Kicker_Minerals">+25 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/>	玩家1<s val="Kicker_Minerals"> +25 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/><n/>玩家2<s val="Kicker_Minerals"> +25 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/>
Deploys a drone to target a unit and track them briefly. It will then target the ground and after a tiny delay do heavy damage in a small area.	佈署無人機鎖定並短暫追蹤目標單位，經過一小段延遲之後，無人機會以地面為目標，在小範圍內造成大量傷害。
Uses a laser to shoot down enemy missiles.  <n/>Cannot target special attacks. <n/>Times out after <d ref="Behavior,PointDefenseDrone_BlackOpsTimedLife,Duration"/> seconds.<n/><n/><c val="f078ff">Each shot consumes 10 energy.</c>	使用雷射將敵方飛彈擊落。<n/>無法攔截特殊攻擊。<n/>在<d ref="Behavior,PointDefenseDrone_BlackOpsTimedLife,Duration"/>秒後損毀。<n/><n/><c val="f078ff">每發消耗10點能量。</c>
Allows this unit to teleport to a nearby target location. Xel'Naga Ambushers will automatically teleport to safety once their hulls have been breached.	此單位可以傳送到附近的目標地點。當薩爾納加伏擊者的外殼受損時，會自動傳送到安全處。
Murvar's Den allows you to evolve Primal Guardian.	莫瓦的巢穴能讓你進化原生守護者。
Murvar's Den allows you to spawn Primal Hosts.	莫瓦的巢穴能讓你孵化原生百生獸。
Glevig's Den allows you to spawn Primal Hydralisks.	葛雷維格的巢穴能讓你孵化原生刺蛇。
Glevig's Den allows you to evolve Primal Igniters.	葛雷維格的巢穴能讓你進化原生火蟑螂。
Glevig's Den allows you to evolve Primal Impalers.	葛雷維格的巢穴能讓你進化原生刺獸。
Murvar's Den allows you to evolve Primal Mutalisks.	莫瓦的巢穴能讓你進化原生飛螳。
Kerrigan leaps to her target and deals <d ref="Effect,PrimalSlash,Amount"/> damage. Can be used without a target to travel quickly.	凱莉根跳向目標，造成<d ref="Effect,PrimalSlash,Amount"/>點傷害。未選擇目標時可以作為快速移動的手段。
Dakrun's Den allows you to spawn Primal Ultralisks.	達克朗的巢穴能讓你孵化原生雷獸。
Glevig's Den allows you to summon Primal Wurms.	葛雷維格的巢穴能讓你召喚原生蠕蟲。
Shows the location of or unearths a hidden Xel'Naga Artifact Fragment.	發掘隱藏的薩爾納加神器部件，或是顯示神器部件位置。
Upgrades the armor of all Protoss units.	升級所有神族單位的裝甲。
Further upgrades the armor of all Protoss units.	進一步升級所有神族單位的裝甲。
Maximizes the armor of all Protoss units.	使所有神族單位的裝甲達最大值。
Upgrades the damage dealt by all Protoss units.	升級所有神族單位的攻擊傷害。
Further upgrades the damage dealt by all Protoss units.	進一步升級所有神族單位的攻擊傷害。
Maximizes the damage dealt by all Protoss units.	使所有神族單位的攻擊傷害達最大值。
Creates a storm of psionic energy that lasts <d time="4"/>, causing up to <d ref="Effect,PsiStormDamage,Amount*(Effect,PsiStormPersistent,PeriodCount+2)"/> damage to all enemy units in the target area. Does not damage friendly units.	產生一股持續<d time="4"/>的幽能風暴，對目標區域內的每個敵方單位最多造成<d ref="Effect,PsiStormDamage,Amount*(Effect,PsiStormPersistent,PeriodCount+2)"/>點傷害。不會對友方單位造成傷害。
Creates a storm of psionic energy that lasts <d time="4"/>, causing up to 80 damage to all enemy units in the target area. Does NOT damage friendly units.<n/><n/><c val="f078ff">Restores <d ref="((Effect,HighArchonPsiStormPersistent,PeriodCount+1)*(Effect,HighArchonPsiStormHeal,RechargeVitalRate))/2"/> shields to friendly units in the target area.<c/>	產生一股持續<d time="4"/>的幽能風暴，對目標區域內的每個敵方單位最多造成80點傷害。不會對友方單位造成傷害。<n/><n/><c val="f078ff">為目標區域內的友方單位恢復<d ref="((Effect,HighArchonPsiStormPersistent,PeriodCount+1)*(Effect,HighArchonPsiStormHeal,RechargeVitalRate))/2"/>點護盾值。<c/>
Creates a storm of psionic energy that lasts <d ref="Effect,KarassPsiStormPersistent,PeriodCount*Effect,KarassPsiStormPersistent,PeriodicPeriodArray[0]+Behavior,KarassPsiStorm,Duration"/> seconds, dealing <d ref="(Effect,KarassPsiStormPersistent,PeriodCount+2)*Effect,KarassPsiStormDamage,Amount"/> damage to all enemy units and restoring <d ref="Effect,KarassPsiStormPersistent,PeriodCount+1)*Effect,TelbrusPsiStormHeal,RechargeVitalRate*Effect,TelbrusPsiStormHeal,PeriodCount*Effect,TelbrusPsiStormHeal,PeriodicPeriod"/> shields to all friendly units in a large target area.	產生一股持續<d ref="Effect,KarassPsiStormPersistent,PeriodCount*Effect,KarassPsiStormPersistent,PeriodicPeriodArray[0]+Behavior,KarassPsiStorm,Duration"/>秒的幽能風暴，對大型目標區域內所有敵方單位造成<d ref="(Effect,KarassPsiStormPersistent,PeriodCount+2)*Effect,KarassPsiStormDamage,Amount"/>點傷害，並為所有友方單位恢復<d ref="Effect,KarassPsiStormPersistent,PeriodCount+1)*Effect,TelbrusPsiStormHeal,RechargeVitalRate*Effect,TelbrusPsiStormHeal,PeriodCount*Effect,TelbrusPsiStormHeal,PeriodicPeriod"/>點護盾值。
Kerrigan dashes through enemies, dealing <d ref="Effect,PsiStrikeDamage,Amount"/> damage to all enemies in her path.	凱莉根衝鋒穿越敵人，對路徑上所有敵人造成<d ref="Effect,PsiStrikeDamage,Amount"/>點傷害。
Enemies in target area are stunned and take <d ref="Effect,PsionicLiftPeriodicDamage,Amount*Effect,PsionicLiftDoT,Duration/Behavior,PsionicLiftDoT,Period"/> damage over <d time="[d ref='Effect,PsionicLiftControllerShort,Duration'/]"/>.<n/><n/><c val="ffff8a">Heroic units are slowed.</c>	在目標範圍內的敵人會昏迷，並受到<d ref="Effect,PsionicLiftPeriodicDamage,Amount*Effect,PsionicLiftDoT,Duration/Behavior,PsionicLiftDoT,Period"/>點傷害，持續<d time="[d ref='Effect,PsionicLiftControllerShort,Duration'/]"/>。<n/><n/><c val="ffff8a">英雄單位會緩速。</c>
Zeratul gains additional shields, increased Shadow Cleave damage, and additional charges of Blink with each Artifact Fragment he finds.	每找到一個神器部件，澤拉圖就能獲得額外護盾值，使暗影瞬劈斬的傷害提高，並且讓瞬移的使用次數上限提高。
Heals a biological unit or structure for <d ref="Effect,QueenBurstHeal,VitalArray[Life].Change*(Behavior,QueenBurstHeal,Duration +.07)/Behavior,QueenBurstHeal,Period"/> life over time.	在一定時間內為一個生物單位或建築治療<d ref="Effect,QueenBurstHeal,VitalArray[Life].Change*(Behavior,QueenBurstHeal,Duration +.07)/Behavior,QueenBurstHeal,Period"/>點生命值。
Increases a friendly unit's sight range by <d ref="Behavior,QueenClassicParasite,Modification.SightBonus"/> and grants it the ability to detect cloaked and burrowed units for <d ref="Behavior,QueenClassicParasite,Duration"/> seconds.	友方單位的視野距離提高<d ref="Behavior,QueenClassicParasite,Modification.SightBonus"/>格，並且能偵測匿蹤和遁地的單位，持續<d ref="Behavior,QueenClassicParasite,Duration"/>秒。
Defensive unit. Can use Spawn Larvae, Spawn Creep Tumor, and Transfusion. Moves much faster on creep.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	防禦性單位。可孵化幼蟲、孵化蟲苔瘤及使用輸血。在蟲苔上移動較快。<n/><n/><c val="ffff8a">可攻擊地面及空中單位。</c>
Kills target enemy ground or air unit and spawns <d ref="Effect,QueenMPSpawnBroodlingsCreate,SpawnCount"/> Broodlings from its corpse.<n/></n><c val="#ColorAttackInfo">Massive units and heroic units are immune.	殺死一名敵方生物單位，並且會從屍體孵化出<d ref="Effect,QueenMPSpawnBroodlingsCreate,SpawnCount"/>隻寄生蟲。<n/></n><c val="#ColorAttackInfo">對巨型單位與英雄單位無效。
Spawning Pool allows you to birth Queens from Hatcheries, Lairs, and Hives.	孵化池能讓孵化所、蟲穴或蟲巢孵化后蟲。
Deals <d ref="Effect,QueenStukovSpawnBroodlingsDamage,Amount"/> damage to a target enemy unit. When the unit dies, it will spawn <d ref="Effect,QueenStukovSpawnBroodlingsCreateUnit,SpawnCount"/> Broodlings from its corpse.	對目標敵方單位造成<d ref="Effect,QueenStukovSpawnBroodlingsDamage,Amount"/>點傷害。此單位死亡時，會從屍體生成<d ref="Effect,QueenStukovSpawnBroodlingsCreateUnit,SpawnCount"/>隻寄生蟲。
Sends constructed units to the designated point. Workers rallied to resources will begin gathering automatically.	派遣所建造的單位前往指定的地點。被派往資源點的工作單位在抵達後將自動開始採集。
Sends morphed worker units and Overlords to the designated point. Workers rallied to Mineral Fields or Extractors will begin gathering automatically.	將變形完畢的工作單位和王蟲派往指定地點。以晶礦或瓦斯萃取巢為集結點的工作單位會自動開始採集。
Sends worker units to the designated point. Workers rallied to Mineral Fields or Extractors will begin gathering automatically.	派遣工作單位前往指定的地點。派往晶礦或瓦斯萃取巢的工作單位將自動開始採集。
Sends the Legendary Legion to the designated point.	派遣傳說軍團前往指定的地點。
The Hercules deploys loaded troops twice as fast.	海克力士卸載部隊的速度提高一倍。
The Research Vessel deploys loaded troops almost instantly.	研究船卸載速度極快。
Launch a missile at the target location, dealing <d ref="Effect,RavagerCorrosiveBileAoeDamage,Amount"/> damage to enemy units in the area upon impact.<n/><n/><c val="#ColorAttackInfo">Can destroy Protoss Force Fields.</c>	朝目標位置發射一枚酸蝕彈，命中時對區域內的敵方單位造成<d ref="Effect,RavagerCorrosiveBileAoeDamage,Amount"/>點傷害。<n/><n/><c val="#ColorAttackInfo">可摧毀神族力場。</c>
Roach Warren enables you to morph Ravagers from Roaches.	蟑螂繁殖場可讓蟑螂變形為劫毀蟲。
Increases the healing of the Bio-Mechanical Repair Drone by 25% and allows it to cloak units that it is currently healing.	生化機械自動維修機的治療量提高25%，並且可以使受到治療的單位匿蹤。
[ph]Disables a target unit rendering it unable to attack or use abilities for <d ref="Behavior,RavenScramblerMissile,Duration"/> seconds. Reveals Cloaked units.<n/><n/><c val="#ColorAttackInfo">Can only target mechanical units.</c>	使一個單位無法攻擊或使用技能，持續<d ref="Behavior,RavenScramblerMissile,Duration"/>秒。使匿蹤單位現形。<n/><n/><c val="#ColorAttackInfo">只能以機械單位為目標。</c>
[ph]Deploys a Shredder Missile which pursues the target unit dealing <d ref="Effect,RavenShredderMissileDamage,Amount"/> splash damage upon contact, and reduces armor of affected units by <d ref="Behavior,RavenShredderMissileArmorReduction,Modification.LifeArmorBonus*(-1)"/> for <d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/> seconds.	部署一顆會追蹤敵人的粉碎者飛彈，命中時可造成<d ref="Effect,RavenShredderMissileDamage,Amount"/>點擴散傷害，並且使受影響的單位裝甲值降低<d ref="Behavior,RavenShredderMissileArmorReduction,Modification.LifeArmorBonus*(-1)"/>點，持續<d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/>秒。
Prototype aerial support unit. Can use Railgun Turret, Bio-Mechanical Repair Drone, and Predator Missile.<n/><n/><c val="FFE303">Detector</c>	原型空中支援單位。可部署磁軌砲台、生化機械自動維修機和獵殺飛彈。<n/><n/><c val="FFE303">偵測單位</c>
Raider. Capable of jumping up and down cliffs. <n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	突擊單位。可跳上及跳下山崖。<n/><n/><c val="#ColorAttackInfo">可攻擊地面單位。</c>
Upon taking fatal damage, friendly cloaked or burrowed units are recalled to their owner's primary structure. This effect cannot occur more than once every <d ref="Behavior,SOARecallOnDeathRecentlyRecalled,Duration"/> seconds.<n/><n/><c val="ffff8a">Passive ability.</c>	受到致命傷害時，友方匿蹤或遁地單位會被召回所屬的主要建築。此效果毎<d ref="Behavior,SOARecallOnDeathRecentlyRecalled,Duration"/>秒只能啟動一次。<n/><n/><c val="ffff8a">被動技能。</c>
Gigantic lava worm. Burrows through the planet's crust. Breathes fire and spits molten lava.	巨大的熔岩蜥蜴。能遁地鑽入星球地殼底下，會噴吐火焰和熔岩。
Vehicles slowly regenerate life.	載具會緩慢恢復生命值。
The Drakken Laser Drill has been damaged and will take some time to repair.	達肯雷射鑽洞機受到損傷，需要一些時間來修復。
The Solar Forge has been damaged and will take some time to repair.	太陽能冶煉廠受到損傷，需要一些時間來修復。
Allows <c val="ffff8a">Thors</c> to use the 330mm Barrage Cannon ability.	讓<c val="ffff8a">雷神</c>可使用330毫米彈幕加農砲。
You gain 2 charges of Toxic Nest and the cooldown is reduced by 5 seconds.	獲得2次毒液蟲巢的使用次數，並且冷卻時間降低5秒。
Swarm Host's Locusts can attack air.	百生獸的蝗蟲可攻擊空中單位。
Increases Mutalisk Life by 25. Can upgrade 10 times.	飛螳的生命值提高25點。可升級10次。
When Carapace is activated, all nearby allied units also gain Carapace.	啟動蟲殼加護後，所有附近的友方單位也會獲得蟲殼加護的效果。
Increases Roach Max Range by 1. Can upgrade 10 times.	蟑螂的最大攻擊距離提高1格。可升級10次。
<c val="ffff8a">Adept</c> attacks summon an invulnerable Shade that will attack enemies for a short time.	<c val="ffff8a">教士</c>攻擊時會召喚一個無敵的幽影，在一小段時間內攻擊敵人。
Enemies that touched by the Adept's Shade take <d ref="Effect,AdeptPsionicTransferDamage,Amount"/> extra damage from all sources for <d ref="Behavior,AdeptPsionicTransferDamageDebuff,Duration"/> seconds.	若敵人接觸到教士的幽影，受到的傷害會提高<d ref="Effect,AdeptPsionicTransferDamage,Amount"/>點，持續<d ref="Behavior,AdeptPsionicTransferDamageDebuff,Duration"/>秒。
The <c val="ffff8a">Medivac/c> can heal two targets at once.	<c val="ffff8a">醫療艇</c>可同時治療兩個目標。
Allows <c val="ffff8a">Alarak's</c> attacks to stun enemy units for <d ref="Behavior,AlarakBaneBladesStun,Duration"/> seconds.</n></n><c val="ffff8a">Heroic units are slowed.</c>	<c val="ffff8a">亞拉瑞克</c>的攻擊能使敵方單位昏迷<d ref="Behavior,AlarakBaneBladesStun,Duration"/>秒。</n></n><c val="ffff8a">可使英雄單位緩速。</c>
Allows <c val="ffff8a">Wrathwalkers</c> to attack air units.	讓<c val="ffff8a">怒行者</c>能攻擊空中單位。
Reduces the charging time and weapon speed of the <c val="ffff8a">Wrathwalker's</c> Charged Blast.	降低<c val="ffff8a">怒行者</c>充能光彈的充能時間和武器速度。
Increases the knockback distance of <c val="ffff8a">Alarak's</c> Destruction Wave by 100%.	<c val="ffff8a">亞拉瑞克</c>破滅衝擊的擊退距離提高100%。
Increases the radius of the <c val="ffff8a">Havoc's</c> Squad Sight and the range of Target Lock and Force Field.	提高<c val="ffff8a">浩劫者</c>同步視野的半徑，以及目標鎖定和力場的距離。
<c val="ffff8a">Ascendants</c> permanently gain +<d ref="Behavior,AscendantSacrificeSelfBuff,Modification.DamageDealtFraction[Spell]*100"/>% ability damage and +<d ref="Behavior,AscendantSacrificeSelfBuff,Modification.VitalMaxArray[Shields]"/> shields each time they use Sacrifice.<n/><n/>This effect stacks up to a maximum of <d ref="Behavior,AscendantSacrificeSelfBuff,MaxStackCount"/>.	<c val="ffff8a">飛升者</c>每次使用獻祭，技能傷害永久提高<d ref="Behavior,AscendantSacrificeSelfBuff,Modification.DamageDealtFraction[Spell]*100"/>%，最大護盾值永久提高<d ref="Behavior,AscendantSacrificeSelfBuff,Modification.VitalMaxArray[Shields]"/>點。<n/><n/>此效果最多可堆疊<d ref="Behavior,AscendantSacrificeSelfBuff,MaxStackCount"/>層。
Increases the travel distance of the <c val="ffff8a">Ascendant's </c>Psionic Orb by 25%.	<c val="ffff8a">飛升者</c>的幽能光球移動距離提高25%。
Increases Psionic Orb's travel distance by 25%.	幽能光球的移動距離提高25%。
Causes the Stalker's Blink to deal damage and knockback enemies.	使屠敵者的瞬移可造成傷害並且擊退敵人。
<c val="ffff8a">Supplicants</c> gain +<d ref="Effect,AlarakSupplicantMaxShieldsDisplayDummy,Amount"/> shields.	<c val="ffff8a">侍奴</c>的最大護盾值提高<d ref="Effect,AlarakSupplicantMaxShieldsDisplayDummy,Amount"/>點。
Increases the damage bonus from the <c val="ffff8a">Havoc's</c> Target Lock by an additional 15%.	<c val="ffff8a">浩劫者</c>目標鎖定的傷害加成額外提高15%。
Increases the area of the <c val="ffff8a">Vanguard's</c> splash damage by <d ref="($UpgradeEffectArrayValue:AlarakVanguardIncreaseSplashArea:Effect,ImmortalTaldarimWeaponSearch,AreaArray[0].Radius$/Effect,ImmortalTaldarimWeaponSearch,AreaArray[0].Radius-1)*100" player="0"/>%	<c val="ffff8a">先驅者</c>的擴散傷害範圍提高<d ref="($UpgradeEffectArrayValue:AlarakVanguardIncreaseSplashArea:Effect,ImmortalTaldarimWeaponSearch,AreaArray[0].Radius$/Effect,ImmortalTaldarimWeaponSearch,AreaArray[0].Radius-1)*100" player="0"/>%。
Allows Zealots to attack enemies with a flurry of attacks and regenerate shields with each attack.	可讓侍奴朝敵人發動一連串的攻擊，並且每次攻擊可產生護盾值。
Increases the <c val="ffff8a">Goliath's</c> anti-air weapon range by 3 and its ground weapon range by 1.	<c val="ffff8a">巨人</c>對空攻擊距離提高3格，對地攻擊距離提高1格。
Increases the <c val="ffff8a">Strike Goliath's</c> anti-air weapon range by 3 and its ground weapon range by 1.	<c val="ffff8a">特攻巨人</c>對空攻擊距離提高3格，對地攻擊距離提高1格。
<c val="ffff8a">Infested Siege Tanks</c> automatically spawn 1 round of Volatile Biomass every <d ref="Behavior,InfestedSiegeTankAmmoAuto,Period"/> seconds.	<c val="ffff8a">受感染的攻城坦克</c>每<d ref="Behavior,InfestedSiegeTankAmmoAuto,Period"/>秒會自動產生一發易爆生物質。
Enables <c val="ffff8a">Banshees</c> to use the Cloak ability. Cloak renders the <c val="ffff8a">Banshee</c> invisible to enemies unless the unit is revealed by detectors or effects. Cloaked <c val="ffff8a">Banshees</c> also have their range increased by 2.	讓<c val="ffff8a">女妖轟炸機</c>可使用匿蹤。匿蹤可讓<c val="ffff8a">女妖轟炸機</c>隱形，需透過偵測單位或效果才看得見。匿蹤的<c val="ffff8a">女妖轟炸機</c>的攻擊距離提高2格。
Allows <c val="ffff8a">Covert Banshees</c> to use Rocket Barrage, which deals <d ref="Effect,Banshee_BlackOpsAirstrikeDamage,Amount"/> damage to enemy ground units in the target area.	讓<c val="ffff8a">隱形女妖轟炸機</c>可使用火箭彈幕，對目標區域中的敵方地面單位造成<d ref="Effect,Banshee_BlackOpsAirstrikeDamage,Amount"/>點傷害。
Increases the amount of damage absorbed by the <c val="ffff8a">Immortal's</c> Barrier by 100%.	<c val="ffff8a">不朽者</c>的能量屏障傷害吸收量提高100%。
Teleports the <c val="ffff8a">Stalker</c> to a nearby target location. Ability can only be used once every <d ref="Abil,BlinkShieldRestore,Cost[0].Cooldown.TimeUse"/> seconds.	將<c val="ffff8a">追獵者</c>瞬間傳送至附近的目標地點。每<d ref="Abil,BlinkShieldRestore,Cost[0].Cooldown.TimeUse"/>秒可使用一次。
Blink now cloaks the <c val="ffff8a">Stalker</c> and restores <d ref="Effect,VoidStalkerBlinkRestoreModifyUnit,VitalArray[Shields].Change*(Behavior,VoidStalkerBlinkShieldRestore,Duration/Behavior,VoidStalkerBlinkShieldRestore,Period)"/> shields over <d ref="Behavior,VoidStalkerBlinkShieldRestore,Duration"/> seconds.	瞬移會使<c val="ffff8a">追獵者</c>匿蹤，並在<d ref="Behavior,VoidStalkerBlinkShieldRestore,Duration"/>秒內恢復<d ref="Effect,VoidStalkerBlinkRestoreModifyUnit,VitalArray[Shields].Change*(Behavior,VoidStalkerBlinkShieldRestore,Duration/Behavior,VoidStalkerBlinkShieldRestore,Period)"/>點護盾值。
Calls in reinforcement <c val="FFFF8A">SCVs</c>. Increases friendly <c val="FFFF8A">Bunker</c> slots by 2 and life by 150.<c val="00FF66"><n/><n/>Applies to you and your ally.</c>	呼叫<c val="FFFF8A">太空工程車</c>前來支援。友方<c val="FFFF8A">碉堡</c>的裝載空間增加2格，生命值提高150點。<c val="00FF66"><n/><n/>適用於你和盟友。</c>
<c val="ffff8a">Carriers</c> gain two repair drones that automatically heal nearby friendly mechanical units.	<c val="ffff8a">航空母艦</c>可建造兩架自動維修機，自動修理附近的友方機械單位。
Increases the blast radius and trigger radius of the <c val="ffff8a">Vulture's</c> Spider Mine by 33%.	<c val="ffff8a">禿鷹</c>的蜘蛛詭雷爆炸範圍和觸發範圍提高33%。
Allows <c val="ffff8a">Sentinels</c> to intercept nearby enemies. Also increases the movement speed of <c val="ffff8a">Sentinels</c>.	讓<c val="ffff8a">哨兵</c>可攔截附近的敵人，並且提高<c val="ffff8a">哨兵</c>的移動速度。
Grants <c val="ffff8a">Corsairs</c> the ability to create a web of energy on the ground that prevents enemy structures and ground units from attacking for <d time="10"/>.	讓<c val="ffff8a">海盜機</c>可在地面上產生一張能量網，被網住的敵方建築和地面單位無法攻擊，持續<d time="10"/>。
Permanently cloaks all <c val="ffff8a">Corsairs</c> and <c val="ffff8a">Oracles</c>.	使所有<c val="ffff8a">海盜機</c>和<c val="ffff8a">先知艦</c>永久匿蹤。
Increases <c val="ffff8a">Cyclone</c> Lock On damage by <d ref="$UpgradeEffectArrayValue:CycloneLockOnDamageUpgrade:Effect,LockOnCP,PeriodCount$/Effect,LockOnCP,PeriodCount*100" player="0"/>%	<c val="ffff8a">颶風飛彈車</c>鎖定目標的傷害提高<d ref="$UpgradeEffectArrayValue:CycloneLockOnDamageUpgrade:Effect,LockOnCP,PeriodCount$/Effect,LockOnCP,PeriodCount*100" player="0"/>%。
<c val="ffff8a">Dark Archons</c> start with full energy.	<c val="ffff8a">黑暗執政官</c>的起始能量為全滿。
Allows a <c val="ffff8a">Dark Archon</c> to take control of a targeted unit permanently.<n/><n/><c val="#ColorAttackInfo">Heroic units are immune.</c>	讓<c val="ffff8a">黑暗執政官</c>可永久控制目標敵方單位。<n/><n/><c val="#ColorAttackInfo">對英雄單位無效。</c>
Surrounds the <c val="ffff8a">Battlecruiser</c> with a shield that can absorb <d ref="Behavior,DefensiveMatrix,Modification.VitalMaxArray[1]"/> damage. Ability can only be used once every <d ref="Abil,DefensiveMatrix,Cost[0].Cooldown.TimeUse"/> seconds.	環繞在<c val="ffff8a">戰巡艦</c>周圍的防禦矩陣可吸收<d ref="Behavior,DefensiveMatrix,Modification.VitalMaxArray[1]"/>點傷害。每<d ref="Abil,DefensiveMatrix,Cost[0].Cooldown.TimeUse"/>秒可使用一次。
Enables <c val="ffff8a">Science Vessels</c> to surround a target with a shield that can absorb <d ref="Behavior,DefensiveMatrix,Modification.VitalMaxArray[1]"/> damage over <d ref="Behavior,DefensiveMatrix,Duration"/> seconds.	讓<c val="ffff8a">科學研究船</c>可為目標提供護盾。此護盾可吸收<d ref="Behavior,DefensiveMatrix,Modification.VitalMaxArray[1]"/>點傷害，持續<d ref="Behavior,DefensiveMatrix,Duration"/>秒。
<c val ="ffff8a">Primal Guardians</c> can fire an Explosive Spore at the target, causing the target and all nearby enemy ground units to take <d ref="Effect,DehakaGuardianMineChargeExplodeDamage,Amount"/> damage.	<c val ="ffff8a">原生守護者</c>可以對目標發射爆炸孢子，讓目標及附近所有敵方地面單位受到<d ref="Effect,DehakaGuardianMineChargeExplodeDamage,Amount"/>點傷害。
<c val ="ffff8a">Primal Guardian</c> attacks temporarily increases its attack speed by <d ref="(Behavior,DehakaGuardianRage1,Modification.AttackSpeedMultiplier - 1) * 100"/>%. Can stack up to <d ref="(Behavior,DehakaGuardianRage5,Modification.AttackSpeedMultiplier - 1) * 100"/>% increased attack speed.	<c val ="ffff8a">原生守護者</c>每次攻擊時，會使自己的攻擊速度暫時提高<d ref="(Behavior,DehakaGuardianRage1,Modification.AttackSpeedMultiplier - 1) * 100"/>%，最多可提高至<d ref="(Behavior,DehakaGuardianRage5,Modification.AttackSpeedMultiplier - 1) * 100"/>%。
Increases <c val ="ffff8a">Primal Hydralisk</c> movement speed and attack range.	提高<c val ="ffff8a">原生刺蛇</c>的移動速度與攻擊距離。
